strategy,total_return_mean,total_return_std,total_return_min,total_return_max,annualized_return_mean,annualized_return_std,annualized_return_min,annualized_return_max,annualized_volatility_mean,annualized_volatility_std,annualized_volatility_min,annualized_volatility_max,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_min,sharpe_ratio_max,sortino_ratio_mean,sortino_ratio_std,sortino_ratio_min,sortino_ratio_max,calmar_ratio_mean,calmar_ratio_std,calmar_ratio_min,calmar_ratio_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,turnover_mean,turnover_std,turnover_min,turnover_max,annualized_turnover_mean,annualized_turnover_std,annualized_turnover_min,annualized_turnover_max,average_holding_time_days_mean,average_holding_time_days_std,average_holding_time_days_min,average_holding_time_days_max
buy_hold,1.0031316764189238,0.0,1.0031316764189238,1.0031316764189238,0.1070781128659914,0.0,0.1070781128659914,0.1070781128659914,0.1760852727607003,0.0,0.1760852727607003,0.1760852727607003,0.6081037396665789,0.0,0.6081037396665789,0.6081037396665789,0.6904732815999463,0.0,0.6904732815999463,0.6904732815999463,0.3139683552004408,0.0,0.3139683552004408,0.3139683552004408,-0.3410474689324394,0.0,-0.3410474689324394,-0.3410474689324394,,,,,,,,,,,,
momentum_126,0.4512123510717143,0.0,0.4512123510717143,0.4512123510717143,0.0560432346470187,0.0,0.0560432346470187,0.0560432346470187,0.1218502468081045,0.0,0.1218502468081045,0.1218502468081045,0.4599353396081199,0.0,0.4599353396081199,0.4599353396081199,0.4761802754959793,0.0,0.4761802754959793,0.4761802754959793,0.25770825665534,0.0,0.25770825665534,0.25770825665534,-0.2174677496731166,0.0,-0.2174677496731166,-0.2174677496731166,,,,,,,,,,,,
transformer_tdqn_stitched,0.09496813521518241,0.18382089640243449,-0.0702087609031246,0.3446083251844727,0.01199040808229894,0.024349413953953056,-0.0106025375463744,0.0443109501137359,0.1665451688632753,0.0015462169493371694,0.1641643110393868,0.1684972307035659,0.0719402470400751,0.14596394764575776,-0.0629241056491145,0.2657544285649046,0.08559789152991013,0.1744975609486754,-0.0755759373046267,0.3200448189558481,0.03547318712655841,0.06558022590395311,-0.0242603287795403,0.1166677337859021,-0.4092001602769807,0.05703643103810255,-0.4765753337046843,-0.3279781388825206,225.4247541849376,64.57802000690135,145.42466325433006,288.39479348154094,33.00815691725989,9.455933202637503,21.294023904759545,42.22863913849408,14.80221710023334,5.311607415222898,10.486301369863014,21.47945205479452
