date,account_value,fold,split
2012-01-31,10000.0,fold1,val
2012-02-01,10077.484300830984,fold1,val
2012-02-02,10093.459129640209,fold1,val
2012-02-03,10234.95627448529,fold1,val
2012-02-06,10224.721318210804,fold1,val
2012-02-07,10240.326954015447,fold1,val
2012-02-08,10270.71663231971,fold1,val
2012-02-09,10260.44591568739,fold1,val
2012-02-10,10174.460104644984,fold1,val
2012-02-13,10250.185469771703,fold1,val
2012-02-14,10237.312296357444,fold1,val
2012-02-15,10189.604946574851,fold1,val
2012-02-16,10302.436156585516,fold1,val
2012-02-17,10329.69733425023,fold1,val
2012-02-21,10319.36763691598,fold1,val
2012-02-22,10342.28639023227,fold1,val
2012-02-23,10296.66825442302,fold1,val
2012-02-24,10274.060666966481,fold1,val
2012-02-27,10256.802601137184,fold1,val
2012-02-28,10226.891123094309,fold1,val
2012-02-29,10267.036896883887,fold1,val
2012-03-01,10213.836574022529,fold1,val
2012-03-02,10244.98296763371,fold1,val
2012-03-05,10286.765543933452,fold1,val
2012-03-06,10437.211840736867,fold1,val
2012-03-07,10426.77462889613,fold1,val
2012-03-08,10519.98094429404,fold1,val
2012-03-09,10560.667881349202,fold1,val
2012-03-12,10561.435117386949,fold1,val
2012-03-13,10751.813905141033,fold1,val
2012-03-14,10741.062091235892,fold1,val
2012-03-15,10668.198710446666,fold1,val
2012-03-16,10700.03941457873,fold1,val
2012-03-19,10658.09319787212,fold1,val
2012-03-20,10689.118097076022,fold1,val
2012-03-21,10706.62344776493,fold1,val
2012-03-22,10783.749142945733,fold1,val
2012-03-23,10748.88812059428,fold1,val
2012-03-26,10598.02600957558,fold1,val
2012-03-27,10630.95558586399,fold1,val
2012-03-28,10683.669594247678,fold1,val
2012-03-29,10701.923594158596,fold1,val
2012-03-30,10657.659631600402,fold1,val
2012-04-02,10579.700845995409,fold1,val
2012-04-03,10622.96259177317,fold1,val
2012-04-04,10728.244224007301,fold1,val
2012-04-05,10733.614277406488,fold1,val
2012-04-09,10722.880663129083,fold1,val
2012-04-10,10532.355407310242,fold1,val
