Date,Open,High,Low,Close,Adj Close,Volume,log_return,rolling_vol_20,rsi_14,macd,macd_signal,ma_10,ma_20,ma_50
1993-01-29,43.96875,43.96875,43.75,43.9375,24.241403579711914,1003200,,,,0.0,0.0,,,
1993-02-01,43.96875,44.25,43.96875,44.25,24.413814544677734,480500,0.007087078971074294,,,0.013753581250835367,0.0027507162501670735,,,
1993-02-02,44.21875,44.375,44.125,44.34375,24.46554183959961,201300,0.002116530087893664,,,0.028498837025161095,0.007900340405165879,,,
1993-02-03,44.40625,44.84375,44.375,44.8125,24.724159240722656,529400,0.010515200473698525,,,0.06035706272682617,0.01839168486949794,,,
1993-02-04,44.96875,45.09375,44.46875,45.0,24.827621459960938,531500,0.004175929426810377,,,0.09288277770039599,0.03328990343567755,,,
1993-02-05,44.96875,45.0625,44.71875,44.96875,24.810361862182617,492100,-0.0006954190045103941,,,0.11593056051844997,0.04981803485223204,,,
1993-02-08,44.96875,45.125,44.90625,44.96875,24.810361862182617,596100,0.0,,,0.13266679423038852,0.06638778672786334,,,
1993-02-09,44.8125,44.8125,44.5625,44.65625,24.637950897216797,122100,-0.006973409364932381,,,0.1305137745005247,0.07921298428239562,,,
1993-02-10,44.65625,44.75,44.53125,44.71875,24.672443389892578,379600,0.0013989950313777072,,,0.13009113709656006,0.08938861484522852,,,
1993-02-11,44.78125,45.125,44.78125,44.9375,24.793119430541992,19500,0.004879203760194366,,,0.13790406958575474,0.09909170579333376,24.639677810668946,,
1993-02-12,44.875,44.875,44.59375,44.59375,24.603477478027344,42500,-0.007678378516613953,,,0.1273256236762812,0.10473848936992325,24.67588520050049,,
1993-02-16,44.46875,44.46875,43.40625,43.46875,23.982786178588867,374800,-0.025551463395581633,,,0.06807282736833997,0.0974053569696066,24.6327823638916,,
1993-02-17,43.46875,43.53125,43.28125,43.4375,23.965545654296875,210900,-0.000719129295053318,,,0.01949862516226375,0.08182401060813804,24.582782745361328,,
1993-02-18,43.9375,43.9375,42.8125,43.40625,23.948312759399414,378100,-0.0007193282365924542,,,-0.020154996388871638,0.06142820920873611,24.505198097229005,,
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.03451919555664,34900,0.0035932238843646245,,44.44477450190062,-0.04411609533076799,0.04031934830083529,24.425887870788575,,
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.120725631713867,513600,0.0035803588396749442,,41.747998260057024,-0.05550942187007024,0.021153594266654186,24.3569242477417,,
1993-02-23,43.84375,43.875,43.46875,43.6875,24.10346794128418,373700,-0.0007157275171547963,,39.603918102329374,-0.06517991316026794,0.00388689278126976,24.286234855651855,,
1993-02-24,43.71875,44.25,43.71875,44.25,24.413814544677734,26300,0.012793413826424625,,41.34626226181081,-0.04725672386438262,-0.006341830547860717,24.26382122039795,,
1993-02-25,44.21875,44.375,44.125,44.34375,24.46554183959961,44500,0.002116530087893664,,39.60371964643643,-0.02854940702780695,-0.010783345843849964,24.24313106536865,,
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.50002098083496,66200,0.0014083018737219312,,41.17652800704543,-0.010816855139601955,-0.010790047703000363,24.21382122039795,24.426749515533448,
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.431060791015625,66500,-0.002818667929624928,0.007853073610322983,39.62280298025514,-0.0023016589148916466,-0.00909236994537862,24.19657955169678,24.436232376098634,
1993-03-02,44.3125,44.9375,44.25,44.9375,24.793119430541992,182400,0.014710866378541238,0.008363705830646462,53.846102932764005,0.03327819152440625,-0.000618257651421646,24.27761287689209,24.455197620391846,
1993-03-03,45.0,45.15625,44.9375,45.125,24.89657974243164,280100,0.004164261934405918,0.008393527118700318,55.37191820524027,0.06902814832674053,0.013311023544210791,24.370716285705566,24.47674951553345,
1993-03-04,45.1875,45.1875,44.875,44.875,24.758644104003906,89500,-0.005555749528051318,0.00818864851189477,49.180503277533504,0.0852473154246276,0.027698281920294155,24.451749420166017,24.47847375869751,
1993-03-05,44.9375,45.125,44.71875,44.75,24.689680099487305,40000,-0.002789338176428298,0.008152856862397166,52.17379593493667,0.09148175862620889,0.04045497726147711,24.51726551055908,24.471576690673828,
1993-03-08,44.84375,45.75,44.84375,45.75,25.24139404296875,50800,0.022099921054426437,0.009562961096922666,82.88260544142432,0.1393351354450445,0.06023100889819059,24.62933235168457,24.493128299713135,
1993-03-09,45.65625,45.6875,45.5,45.59375,25.15520477294922,169300,-0.0034204432868494535,0.009609644460896166,80.00040403029843,0.1683637352252525,0.08185755416360298,24.734506034851073,24.510370445251464,
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.206918716430664,194400,0.0020536847167759863,0.009441270910099967,81.19655371953964,0.19331359396068493,0.10414876212301938,24.813816452026366,24.538818836212158,
1993-03-11,45.71875,45.84375,45.5,45.5625,25.137954711914062,70900,-0.0027396651518207162,0.00948060420855653,77.58620360798197,0.2051567980915543,0.12435036931672637,24.881057739257812,24.56209440231323,
1993-03-12,45.1875,45.21875,44.8125,45.09375,24.879335403442383,643600,-0.010341288488385263,0.009754237056206427,67.4602575336404,0.1914670924118269,0.1377737139357465,24.918989181518555,24.56640520095825,
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.000028610229492,310800,0.00483941384281099,0.009624639264853194,69.69748271018481,0.18818752648153492,0.14785647644490418,24.975885963439943,24.58623275756836,
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.000028610229492,30800,0.0,0.007375864301799098,64.91275399645019,0.18347347879846865,0.15497987691561707,24.996576881408693,24.63709487915039,
