date,account_value,fold,split
2012-04-11,10092.096320031678,fold1,val
2012-04-12,10223.956062045272,fold1,val
2012-04-13,10102.409366200129,fold1,val
2012-04-16,10095.779791671353,fold1,val
2012-04-17,10245.319523132746,fold1,val
2012-04-18,10235.074203609614,fold1,val
2012-04-19,10290.491683654283,fold1,val
2012-04-20,10280.20119197063,fold1,val
2012-04-23,10356.279426606294,fold1,val
2012-04-24,10345.923147179688,fold1,val
2012-04-25,10194.06578281662,fold1,val
2012-04-26,10183.871717033804,fold1,val
2012-04-27,10156.993319941472,fold1,val
2012-04-30,10146.836326621531,fold1,val
2012-05-01,10073.637904233008,fold1,val
2012-05-02,10063.564266328774,fold1,val
2012-05-03,10130.1634644894,fold1,val
2012-05-04,10120.03330102491,fold1,val
2012-05-07,10117.29321686831,fold1,val
2012-05-08,10076.705748618273,fold1,val
2012-05-09,10016.931989023742,fold1,val
2012-05-10,10037.594495401552,fold1,val
2012-05-11,10007.33828034042,fold1,val
2012-05-14,9896.645799306947,fold1,val
2012-05-15,9839.823343756896,fold1,val
2012-05-16,9802.188305573489,fold1,val
2012-05-17,9656.812090401088,fold1,val
2012-05-18,9574.162064889848,fold1,val
2012-05-21,9738.724571406745,fold1,val
2012-05-22,9755.697103212342,fold1,val
2012-05-23,9760.863292817869,fold1,val
2012-05-24,9780.049584162363,fold1,val
2012-05-25,9748.318280090063,fold1,val
2012-05-29,9866.389584245813,fold1,val
2012-05-30,9723.227128612312,fold1,val
2012-05-31,9701.827077728918,fold1,val
2012-06-01,9457.565849745264,fold1,val
2012-06-04,9453.138330667469,fold1,val
2012-06-05,9524.71955848422,fold1,val
2012-06-06,9738.724571406741,fold1,val
2012-06-07,9744.628305517852,fold1,val
2012-06-08,9822.113267445711,fold1,val
2012-06-11,9697.399558651121,fold1,val
2012-06-12,9808.829584190178,fold1,val
2012-06-13,9746.104520551164,fold1,val
2012-06-14,9849.417052440214,fold1,val
2012-06-15,9898.859558845841,fold1,val
2012-06-18,9918.045850190338,fold1,val
2012-06-19,10013.979558957111,fold1,val
2012-06-20,10003.965579398155,fold1,val
2012-06-21,10218.212995321437,fold1,val
2012-06-22,10207.994782326115,fold1,val
2012-06-25,10034.267707645218,fold1,val
2012-06-26,10084.69795401664,fold1,val
2012-06-27,10175.627000649578,fold1,val
2012-06-28,10146.590520968772,fold1,val
2012-06-29,10399.511270838624,fold1,val
2012-07-02,10389.111759567786,fold1,val
2012-07-03,10310.295823553943,fold1,val
2012-07-05,10299.985527730389,fold1,val
2012-07-06,10387.473876546457,fold1,val
2012-07-09,10377.086402669911,fold1,val
2012-07-10,10457.10835991546,fold1,val
2012-07-11,10446.651251555546,fold1,val
2012-07-12,10385.640882718015,fold1,val
2012-07-13,10559.889205573922,fold1,val
2012-07-16,10534.996079321825,fold1,val
2012-07-17,10607.34068889359,fold1,val
2012-07-18,10685.90739305879,fold1,val
2012-07-19,10675.22148566573,fold1,val
2012-07-20,10762.108669811345,fold1,val
2012-07-23,10751.346561141534,fold1,val
2012-07-24,10648.366847418514,fold1,val
2012-07-25,10650.753172406115,fold1,val
2012-07-26,10826.46287919525,fold1,val
2012-07-27,10815.636416316054,fold1,val
2012-07-30,10804.820779899737,fold1,val
2012-07-31,10794.015959119837,fold1,val
2012-08-01,10792.619216100558,fold1,val
2012-08-02,10781.826596884457,fold1,val
2012-08-03,10984.668919681813,fold1,val
2012-08-06,10973.684250762131,fold1,val
2012-08-07,10907.746868709579,fold1,val
2012-08-08,10896.839121840869,fold1,val
2012-08-09,10876.644397682112,fold1,val
2012-08-10,10865.76775328443,fold1,val
2012-08-13,10860.296454643325,fold1,val
2012-08-14,10849.436158188682,fold1,val
2012-08-15,10826.268988879598,fold1,val
2012-08-16,10815.442719890718,fold1,val
2012-08-17,10790.170339244183,fold1,val
2012-08-20,10779.38016890494,fold1,val
2012-08-21,10736.034618795326,fold1,val
2012-08-22,10725.29858417653,fold1,val
2012-08-23,10626.93442219269,fold1,val
2012-08-24,10691.151660435278,fold1,val
2012-08-27,10693.418083384473,fold1,val
2012-08-28,10682.84105868515,fold1,val
2012-08-29,10691.151660435276,fold1,val
2012-08-30,10614.090974544168,fold1,val
2012-08-31,10664.709675091584,fold1,val
2012-09-04,10654.887740438917,fold1,val
2012-09-05,10645.822048642136,fold1,val
2012-09-06,10861.896541336211,fold1,val
2012-09-07,10904.204640133503,fold1,val
2012-09-10,10893.30043549337,fold1,val
2012-09-11,10912.739952645914,fold1,val
2012-09-12,10901.827212693268,fold1,val
2012-09-13,11056.864873761424,fold1,val
2012-09-14,11045.808008887663,fold1,val
2012-09-17,10997.290176329743,fold1,val
2012-09-18,10986.292886153413,fold1,val
2012-09-19,10969.318019722798,fold1,val
2012-09-20,10958.348701703075,fold1,val
2012-09-21,10884.709319472177,fold1,val
2012-09-24,10873.824610152704,fold1,val
2012-09-25,10747.348713322912,fold1,val
2012-09-26,10736.601364609589,fold1,val
2012-09-27,10826.918455577486,fold1,val
2012-09-28,10776.766246152933,fold1,val
2012-10-01,10805.211226077528,fold1,val
2012-10-02,10816.438906476611,fold1,val
2012-10-03,10860.602638959925,fold1,val
2012-10-04,10938.451697010867,fold1,val
2012-10-05,10939.199828309078,fold1,val
2012-10-08,10928.260628480768,fold1,val
2012-10-09,10809.388222499125,fold1,val
