fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
fold1,val,1260,250,250,0.1158242639878222,0.11729857391976761,0.12705841982806892,0.923186153884898,1.4276663509261738,1.2108909112318955,-0.09686964600339953,0.9238739020745059,0.9350049129428734,249.0
fold1,test,1260,252,252,0.2632159080034773,0.26439240776664774,0.10857414169459001,2.435132377194945,3.394607882597576,4.371758224918332,-0.06047736269120574,0.8889215417332935,0.8924630618198803,251.0
fold2,val,1259,252,252,-0.04562194593756974,-0.045799479494028184,0.1089864185228924,-0.4202310720432389,-0.7575740537739976,-0.29358851894663107,-0.15599887781154576,2.9867182726857355,2.9986175486725313,121.5
fold2,test,1259,252,252,0.0802269219990619,0.08055909391460747,0.1125856142765476,0.7155363003725114,1.043578341025923,0.9030535976379716,-0.08920743367317063,2.894616544645648,2.9061488814769056,125.0
fold3,val,1258,252,252,0.12253693061597026,0.12305400359798657,0.11240557779580199,1.0947321833221542,1.4411190841847457,1.5970903558512748,-0.07704886774073394,0.947645325850124,0.951420805235981,251.0
fold3,test,1258,252,252,-0.00858622215157645,-0.008620282341751162,0.1558671542392429,-0.05530531678611234,-0.07771711885665204,-0.070165100257016,-0.12285712284561578,0.9973210350370163,1.001294425614853,251.0
fold4,val,1258,252,252,-0.00858622215157645,-0.008620282341751162,0.1558671542392429,-0.05530531678611234,-0.07771711885665204,-0.070165100257016,-0.12285712284561578,0.9973210350370163,1.001294425614853,251.0
fold4,test,1258,252,252,0.11086689898707736,0.11133232444481189,0.13054179678630753,0.8528481083116936,1.1196827133738492,1.21177713071131,-0.0918752480329944,0.9607486651401359,0.964576349064997,251.0
fold5,val,1258,252,252,0.038481208462355365,0.03863744448308659,0.1288396611656916,0.2998878150835689,0.37916368875388146,0.42054247809171674,-0.0918752480329944,33.59918585934333,33.73304715758773,13.764705882352942
fold5,test,1258,251,251,0.040174247116720574,0.04050206386242161,0.06626720396144624,0.6111931912199797,0.845045576384468,0.6623687533219803,-0.06114730451775008,47.28602443752474,47.664312633024934,9.458333333333334
fold6,val,1258,251,251,0.01990710484003655,0.020067949116416406,0.059172423437397356,0.3391436069480523,0.478063051308593,0.48493498755279446,-0.041382761878429375,133.50093580654186,134.5689432929942,2.746268656716418
fold6,test,1258,251,251,-0.107074502581054,-0.10788314192939119,0.1665701186023829,-0.6476740416263823,-0.8152487533950022,-0.586545701179072,-0.183929643866667,63.095335480698026,63.60009816454361,7.096774193548387
fold7,val,1259,251,251,-0.07106415010466027,-0.07161180508012077,0.17113466787055898,-0.4184529410153514,-0.5142744830219504,-0.3548919014108504,-0.20178483869435326,0.9806748159235265,0.9885202144509146,250.0
fold7,test,1259,252,252,0.2852271755515867,0.2865127149213489,0.12570241285813885,2.279293677876272,2.817842373210823,4.329052939876472,-0.06618369396275492,0.8605957370124179,0.8640244052873678,251.0
fold8,val,1258,252,252,-0.013067724446033768,-0.013119444076340914,0.10860441292277502,-0.12080028539604291,-0.16438360213077058,-0.10166305240898876,-0.1290482999031114,17.02930027131208,17.097146089126074,23.0
fold8,test,1258,112,112,-0.01985042938670245,-0.04449868266059631,0.45050004893572954,-0.09877619939380895,-0.11528979814146137,-0.1392303361478558,-0.3196047922583545,5.301568671248281,12.03599374013123,29.333333333333332
