epoch,train_total_loss,train_dir_loss,train_reg_loss,train_dir_acc,train_reg_acc,train_num_samples,val_total_loss,val_dir_loss,val_reg_loss,val_dir_acc,val_reg_acc,val_num_samples
1,2.184244877302204,0.9237846216015361,2.184244877302204,0.4555735056542811,0.24717285945072698,1238,1.9717959535532985,0.8959264570269091,1.9717959535532985,0.40086206896551724,0.3879310344827586,232
2,1.8776545168317385,0.8688841606573064,1.8776545168317385,0.47495961227786754,0.327140549273021,1238,1.8871245466429611,0.885787585685993,1.8871245466429611,0.40086206896551724,0.40086206896551724,232
3,1.6424692557200862,0.8717388208347684,1.6424692557200862,0.481421647819063,0.3877221324717286,1238,1.6635404373037403,0.8975742932023674,1.6635404373037403,0.45689655172413796,0.40948275862068967,232
4,1.4852409237613586,0.8782483746624147,1.4852409237613586,0.481421647819063,0.4184168012924071,1238,1.2811206003715252,0.9097023174680513,1.2811206003715252,0.5043103448275862,0.47413793103448276,232
5,1.217560982665646,0.869901600581186,1.217560982665646,0.4991922455573506,0.4806138933764136,1238,1.0162164425027782,0.9247215492972012,1.0162164425027782,0.5560344827586207,0.4870689655172414,232
6,1.045308465622546,0.8675788114259624,1.045308465622546,0.49515347334410337,0.5525040387722132,1238,0.8370175813806469,0.936036229133606,0.8370175813806469,0.5818965517241379,0.6120689655172413,232
7,0.8834650136157268,0.899646811030793,0.8834650136157268,0.4862681744749596,0.6090468497576736,1238,0.7499129957166212,0.9534251422717653,0.7499129957166212,0.5862068965517241,0.6681034482758621,232
8,0.7328965589765201,0.9059222914483127,0.7328965589765201,0.5040387722132472,0.6768982229402262,1238,0.6992610857404512,0.9436166389235134,0.6992610857404512,0.5818965517241379,0.7327586206896551,232
9,0.629957413201571,0.9181770153692735,0.629957413201571,0.48465266558966075,0.7148626817447497,1238,0.6461878984138884,0.966003652276664,0.6461878984138884,0.5862068965517241,0.7327586206896551,232
10,0.5770958447302293,0.9228880978362434,0.5770958447302293,0.4878836833602585,0.7673667205169629,1238,0.6045461615611767,0.9806783404843561,0.6045461615611767,0.5732758620689655,0.7543103448275862,232
11,0.5392279204143654,0.9427939903755372,0.5392279204143654,0.48546042003231016,0.778675282714055,1238,0.5694014758899294,0.9955516704197588,0.5694014758899294,0.5905172413793104,0.7629310344827587,232
12,0.5018132404094752,0.9566801879825808,0.5018132404094752,0.4878836833602585,0.8045234248788369,1238,0.5156877595802833,0.9980290552665447,0.5156877595802833,0.5905172413793104,0.7758620689655172,232
13,0.4341694657271051,0.9265513842826129,0.4341694657271051,0.4894991922455573,0.8303715670436187,1238,0.46730028349777747,0.9995607528193243,0.46730028349777747,0.5862068965517241,0.7974137931034483,232
14,0.39091182443552525,0.9558041415422529,0.39091182443552525,0.49353796445880455,0.8424878836833603,1238,0.42884019274136115,1.0072188541806977,0.42884019274136115,0.5603448275862069,0.8103448275862069,232
15,0.3694928265831197,0.9663620763526016,0.3694928265831197,0.47415185783521807,0.8554119547657512,1238,0.35818117291762913,1.0125906590757698,0.35818117291762913,0.5474137931034483,0.8491379310344828,232
16,0.3527046424217871,0.9401076736473305,0.3527046424217871,0.48546042003231016,0.8618739903069467,1238,0.3497960562336034,1.003767995998777,0.3497960562336034,0.5431034482758621,0.8448275862068966,232
17,0.32070980771100194,0.9605835248657498,0.32070980771100194,0.46526655896607433,0.8836833602584814,1238,0.2871149053861355,1.0110292146945823,0.2871149053861355,0.5172413793103449,0.8793103448275862,232
18,0.2904325250373711,0.9544767435995173,0.2904325250373711,0.4806138933764136,0.8869143780290791,1238,0.2775535871242655,1.0121973650208835,0.2775535871242655,0.521551724137931,0.8663793103448276,232
