date,account_value,fold,split
2012-05-21,10324.043411913115,fold1,val
2012-05-22,10342.036030339303,fold1,val
2012-05-23,10347.512719342114,fold1,val
2012-05-24,10367.852149141347,fold1,val
2012-05-25,10334.213723662011,fold1,val
2012-05-29,10459.381373785736,fold1,val
2012-05-30,10307.614538603246,fold1,val
2012-05-31,10284.928297430968,fold1,val
2012-06-01,10025.986430550942,fold1,val
2012-06-04,10021.292807804855,fold1,val
2012-06-05,10097.1762253961,fold1,val
2012-06-06,10324.043411913113,fold1,val
2012-06-07,10330.301973474085,fold1,val
2012-06-08,10412.4439526263,fold1,val
2012-06-11,10280.234674684882,fold1,val
2012-06-12,10398.361890689475,fold1,val
2012-06-13,10331.866912288966,fold1,val
2012-06-14,10441.388755359547,fold1,val
2012-06-15,10493.802865521793,fold1,val
2012-06-18,10514.142295321028,fold1,val
2012-06-19,10615.841831714317,fold1,val
2012-06-20,10598.63108584629,fold1,val
2012-06-21,10360.811715022217,fold1,val
2012-06-22,10440.60688280139,fold1,val
2012-06-25,10273.194240565754,fold1,val
2012-06-26,10324.825284471277,fold1,val
2012-06-27,10417.919447930552,fold1,val
2012-06-28,10388.191578940581,fold1,val
2012-06-29,10647.134639519169,fold1,val
2012-07-02,10679.208126183621,fold1,val
2012-07-03,10749.616048470618,fold1,val
2012-07-05,10701.112494797737,fold1,val
2012-07-06,10599.41415210301,fold1,val
2012-07-09,10586.11515642291,fold1,val
2012-07-10,10493.802865521795,fold1,val
2012-07-11,10495.367804336678,fold1,val
2012-07-12,10444.517439290752,fold1,val
2012-07-13,10619.753581902241,fold1,val
2012-07-16,10594.71933565836,fold1,val
2012-07-17,10667.4740693184,fold1,val
2012-07-18,10746.48617084085,fold1,val
2012-07-19,10774.649101015937,fold1,val
2012-07-20,10676.079442252416,fold1,val
2012-07-23,10568.121344298157,fold1,val
2012-07-24,10477.373992211926,fold1,val
2012-07-25,10479.721997283532,fold1,val
2012-07-26,10652.610134823417,fold1,val
2012-07-27,10848.967579792301,fold1,val
2012-07-30,10848.967579792301,fold1,val
2012-07-31,10773.085355899619,fold1,val
2012-08-01,10763.696916708881,fold1,val
2012-08-02,10689.378437932519,fold1,val
2012-08-03,10901.382883653108,fold1,val
2012-08-06,10922.504186010501,fold1,val
2012-08-07,10977.266301244352,fold1,val
2012-08-08,10990.565296924453,fold1,val
2012-08-09,10999.952542416628,fold1,val
2012-08-10,11017.945160842817,fold1,val
2012-08-13,11012.469665538569,fold1,val
2012-08-14,11014.033410654889,fold1,val
2012-08-15,11026.55053377683,fold1,val
2012-08-16,11107.910640370887,fold1,val
2012-08-17,11122.77338116731,fold1,val
2012-08-20,11123.556447424031,fold1,val
2012-08-21,11089.916828246134,fold1,val
2012-08-22,11094.611644690784,fold1,val
2012-08-23,11003.864292604552,fold1,val
2012-08-24,11070.35927100506,fold1,val
2012-08-27,11072.706082378103,fold1,val
2012-08-28,11061.753898071045,fold1,val
2012-08-29,11070.35927100506,fold1,val
2012-08-30,10990.56529692445,fold1,val
2012-08-31,11042.979407086694,fold1,val
2012-09-04,11032.809095337796,fold1,val
2012-09-05,11023.421849845621,fold1,val
2012-09-06,11247.16035243143,fold1,val
2012-09-07,11290.969089659662,fold1,val
2012-09-10,11226.819728933635,fold1,val
2012-09-11,11258.112536738488,fold1,val
2012-09-12,11295.662712405749,fold1,val
2012-09-13,11467.768977387472,fold1,val
2012-09-14,11456.301208410085,fold1,val
2012-09-17,11483.70949725948,fold1,val
2012-09-18,11472.225787762221,fold1,val
2012-09-19,11472.225787762221,fold1,val
2012-09-20,11472.225787762221,fold1,val
2012-09-21,11472.225787762221,fold1,val
2012-09-24,11472.225787762221,fold1,val
2012-09-25,11472.225787762221,fold1,val
2012-09-26,11472.225787762221,fold1,val
2012-09-27,11472.225787762221,fold1,val
2012-09-28,11472.225787762221,fold1,val
2012-10-01,11472.225787762221,fold1,val
2012-10-02,11472.225787762221,fold1,val
2012-10-03,11472.225787762221,fold1,val
2012-10-04,11472.225787762221,fold1,val
2012-10-05,11472.225787762221,fold1,val
2012-10-08,11472.225787762221,fold1,val
2012-10-09,11472.225787762221,fold1,val
2012-10-10,11472.225787762221,fold1,val
2012-10-11,11472.225787762221,fold1,val
2012-10-12,11472.225787762221,fold1,val
2012-10-15,11472.225787762221,fold1,val
2012-10-16,11472.225787762221,fold1,val
2012-10-17,11472.225787762221,fold1,val
