fold,variant,best_epoch,best_val_total_loss,test_total_loss,test_dir_loss,test_reg_loss,test_ret_loss,test_dir_acc,test_reg_acc,test_num_samples,test_pred_rows,latent_rows_train,latent_rows_val,latent_rows_test,latent_rows_all
fold1,no_gating,95,0.25973497849443683,0.24409644048789453,0.0938570573925972,0.07253377923163874,0.17311094752673445,0.5818965517241379,0.9827586206896551,232,232,1241,231,233,1705
fold2,no_gating,40,0.2772619066567257,0.27180309747827464,0.11175145774052062,0.034370739398331476,0.18994474719310628,0.5431034482758621,0.9913793103448276,232,232,1240,233,233,1706
fold3,no_gating,44,0.2813546544518964,0.34220554499790584,0.10864843376751604,0.18653998601025548,0.34473336051250325,0.5517241379310345,0.9267241379310345,232,232,1239,233,233,1705
fold4,no_gating,75,0.3553653472456439,0.3061906387066019,0.10415484216706507,0.1548085487608252,0.2571919272685873,0.5603448275862069,0.9439655172413793,232,232,1239,233,233,1705
fold5,no_gating,83,0.2732245809045331,0.29780102885646736,0.12538374566928648,0.027585014039690877,0.1937902056938642,0.3246753246753247,0.9913419913419913,231,231,1239,233,232,1704
fold6,no_gating,24,0.33174638404990686,0.46378463842136003,0.12262778971102331,0.3478035184658572,0.5709399526769464,0.45454545454545453,0.8917748917748918,231,231,1239,232,232,1703
fold7,no_gating,67,0.3870931910229968,0.3952646820709623,0.11376332568711248,0.261120045268587,0.4470100628918615,0.40086206896551724,0.9181034482758621,232,232,1240,232,233,1705
fold8,no_gating,72,0.3967200332674487,0.8174990726553876,0.22262493002673853,0.15970314132130664,1.621691407068916,0.44565217391304346,0.9565217391304348,92,92,1239,233,93,1565
