epoch,train_total_loss,train_dir_loss,train_reg_loss,train_ret_loss,train_dir_acc,train_reg_acc,train_num_samples,val_total_loss,val_dir_loss,val_reg_loss,val_ret_loss,val_dir_acc,val_reg_acc,val_num_samples
1,1.5945831782592699,0.4921901691238951,1.4827851265837244,0.8268364428319308,0.4721549636803874,0.34786117836965297,1239,0.8496917991927175,0.20290548189893945,0.993985933142823,0.728425201141473,0.5324675324675324,0.5541125541125541,231
2,1.3622160306180842,0.3866778507263455,1.4525216673534662,0.7655190972669939,0.5278450363196125,0.3648103309120258,1239,0.8824911509757434,0.2461846357300168,0.8501839147501694,0.6753334586238449,0.5454545454545454,0.6796536796536796,231
3,1.2720748183225026,0.35190590662856175,1.4212954792887862,0.7093717099871724,0.4939467312348668,0.3833736884584342,1239,0.8041690711851244,0.234812162139199,0.6937123246781238,0.6321550661867316,0.5238095238095238,0.7489177489177489,231
4,1.0690375143621504,0.2805485704596529,1.2451876686695027,0.6719202547904655,0.5084745762711864,0.47861178369652946,1239,0.7193680330788418,0.2089073264495635,0.6066518851043858,0.5977890530189911,0.5194805194805194,0.7532467532467533,231
5,0.9569082824427625,0.23642988608814805,1.2090495005069575,0.6066682320433917,0.5246166263115416,0.4979822437449556,1239,0.6575031120539744,0.18391094192281945,0.5821591309267721,0.5751674028186055,0.5411255411255411,0.7272727272727273,231
6,0.8066865154290218,0.17885915084747273,1.1322899495910694,0.5464060011171736,0.5230024213075061,0.5213882163034705,1239,0.6114270601953778,0.16393761433564225,0.5740744470421112,0.5566474550214164,0.5324675324675324,0.7272727272727273,231
7,0.7357254012926054,0.16508675067774994,0.9988430630689287,0.5294948224823162,0.510088781275222,0.5867635189669088,1239,0.5741890397938815,0.14637102064116175,0.5805901311241187,0.5363497566351126,0.5627705627705628,0.7229437229437229,231
8,0.6755622072119786,0.14656959533017908,0.939715999331178,0.5025410224007829,0.5262308313155771,0.6045197740112994,1239,0.5541693906247358,0.13794994431656676,0.575011002617481,0.5288309266556909,0.5497835497835498,0.7489177489177489,231
9,0.6241244570779839,0.12897226355122018,0.9019783930108853,0.4779320546366497,0.5383373688458434,0.6263115415657788,1239,0.5403986715135121,0.13252993631156493,0.5712046061775514,0.5198869661335305,0.5324675324675324,0.7402597402597403,231
10,0.5811159641536808,0.11835375456462664,0.8418928582019821,0.45920292497931997,0.536723163841808,0.6561743341404358,1239,0.5274377372357753,0.12678249831839558,0.5674774716789652,0.5181474641804055,0.5151515151515151,0.7445887445887446,231
11,0.5543659363570379,0.11115268372522429,0.8071870729267068,0.44952218416143175,0.5375302663438256,0.6747376916868443,1239,0.5145249779606278,0.12163269106959884,0.558148761320198,0.5190748345284235,0.5367965367965368,0.7445887445887446,231
12,0.5377069225803895,0.11226627380978782,0.7526462911789796,0.4369023758812813,0.519774011299435,0.6828087167070218,1239,0.5117213911824412,0.11914031768774057,0.5668629816051943,0.5169092158734541,0.5454545454545454,0.7445887445887446,231
13,0.5110844976484439,0.10767175197673479,0.7029771766323923,0.42423914429446785,0.5359160613397902,0.7046004842615012,1239,0.5046339344668698,0.11946171676957762,0.5457568747874397,0.5099171921288296,0.5411255411255411,0.7575757575757576,231
14,0.49393205860625167,0.10431813962210369,0.667284609474801,0.42555191138754744,0.5117029862792575,0.7207425343018563,1239,0.5062940786411236,0.12326912775442198,0.5266461670882516,0.5088098126572448,0.5238095238095238,0.7835497835497836,231
15,0.4713480852610455,0.10004051355607477,0.6301060403615261,0.4111761870982668,0.5447941888619855,0.7247780468119451,1239,0.506986268671044,0.12317352106560876,0.5277297756880587,0.5116015066316117,0.5541125541125541,0.7705627705627706,231
16,0.4640935208164366,0.10074443208945193,0.6034269242925544,0.40788287107169,0.5399515738498789,0.7336561743341404,1239,0.4917351154537944,0.12204854558040569,0.48009834912690247,0.5180425135604231,0.5411255411255411,0.8051948051948052,231
17,0.45585999568688285,0.10095792083344794,0.5718338131134889,0.41197000846832005,0.5310734463276836,0.7562550443906376,1239,0.48603547135472813,0.12024636405370968,0.46289926143242166,0.5333647340923161,0.5411255411255411,0.8008658008658008,231
18,0.45165648625876464,0.10250527438759516,0.5549717681411777,0.4007720102986758,0.5310734463276836,0.774818401937046,1239,0.48538788572534336,0.12159744704956617,0.4482763950910532,0.5385503100626396,0.5584415584415584,0.8008658008658008,231
19,0.4355417588624962,0.09947989754757638,0.5283554122272858,0.3903766447637618,0.5504439063761097,0.784503631961259,1239,0.4811262013592245,0.1210834595548126,0.43275805082156027,0.5456593201790021,0.5454545454545454,0.8051948051948052,231
20,0.4300793679949735,0.09796809316090367,0.5156305119142695,0.3972701206382385,0.5472154963680388,0.7941888619854721,1239,0.4753983833573081,0.12058645512634542,0.41977230470740434,0.5414688605250735,0.5324675324675324,0.8051948051948052,231
21,0.4307918327291518,0.10021270133849591,0.4983043614609574,0.40437553646200797,0.5665859564164649,0.7893462469733656,1239,0.46751014804427243,0.11975184547436701,0.3992454796481184,0.5411640898489849,0.5108225108225108,0.8138528138528138,231
22,0.412640633652343,0.09584496591820459,0.47957662710073595,0.38538854000932077,0.5690072639225182,0.7917675544794189,1239,0.47067925424286816,0.1222945058887655,0.3964521319149828,0.5357730104809716,0.5064935064935064,0.8138528138528138,231
23,0.4079489018332102,0.09787868939285994,0.4471882097513277,0.3901752631110083,0.5520581113801453,0.8127522195318806,1239,0.47104696690778197,0.12296582313327047,0.3885952462059208,0.5426836516950038,0.48917748917748916,0.8181818181818182,231
24,0.4020318584975165,0.0950220970194892,0.4451474141362601,0.3922171714423259,0.559322033898305,0.8264729620661824,1239,0.46714847376852325,0.12175114536698246,0.38135030148429916,0.5462054723785037,0.4675324675324675,0.8441558441558441,231
25,0.4039078170344943,0.09866828441956622,0.42358642992134343,0.3974765464603372,0.5326876513317191,0.8329297820823245,1239,0.4647414849434064,0.12124495524348634,0.3781248994163556,0.544070518894113,0.47619047619047616,0.8441558441558441,231
26,0.3909230950958215,0.09623216290426793,0.3993244908383241,0.39330709004613834,0.5609362389023406,0.8539144471347861,1239,0.4609000739597139,0.12028802150771731,0.3704778126872334,0.5459033978449834,0.5064935064935064,0.8484848484848485,231
27,0.38662056132994704,0.09661515567021758,0.3881766299887758,0.3846862652159391,0.5673930589184827,0.8458434221146085,1239,0.46377370342031704,0.12056084280406242,0.373095059009406,0.5536175377957233,0.4805194805194805,0.8484848484848485,231
28,0.3822776668489316,0.09372495345717193,0.39528749013639825,0.3812075462718468,0.5641646489104116,0.8523002421307506,1239,0.4549464237638366,0.11815710462533034,0.35833346076890243,0.5556608531382177,0.48484848484848486,0.8614718614718615,231
29,0.38567935126360814,0.0968816565880379,0.3839909855976905,0.3835936616129025,0.5625504439063761,0.8498789346246973,1239,0.45203259393766326,0.11623555176701897,0.36329322020841753,0.5528675782216059,0.5021645021645021,0.8484848484848485,231
30,0.37833900825451994,0.09658460403830896,0.3617965396947684,0.3831541448278327,0.549636803874092,0.8531073446327684,1239,0.4503207715042742,0.11586266510930412,0.36543184183779864,0.5448293866533221,0.4805194805194805,0.8571428571428571,231
31,0.37410932779312134,0.09521181848955501,0.35532173058551775,0.3854458140595677,0.5504439063761097,0.8635996771589992,1239,0.44683430153570136,0.11601508412010227,0.35317719847899237,0.5442548407104625,0.47619047619047616,0.8787878787878788,231
