fold,split,train_rows_mean,train_rows_std,train_rows_min,train_rows_max,eval_rows_mean,eval_rows_std,eval_rows_min,eval_rows_max,account_points_mean,account_points_std,account_points_min,account_points_max,total_return_mean,total_return_std,total_return_min,total_return_max,annualized_return_mean,annualized_return_std,annualized_return_min,annualized_return_max,annualized_volatility_mean,annualized_volatility_std,annualized_volatility_min,annualized_volatility_max,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_min,sharpe_ratio_max,sortino_ratio_mean,sortino_ratio_std,sortino_ratio_min,sortino_ratio_max,calmar_ratio_mean,calmar_ratio_std,calmar_ratio_min,calmar_ratio_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,turnover_mean,turnover_std,turnover_min,turnover_max,annualized_turnover_mean,annualized_turnover_std,annualized_turnover_min,annualized_turnover_max,average_holding_time_days_mean,average_holding_time_days_std,average_holding_time_days_min,average_holding_time_days_max
fold1,test,1241.0,0.0,1241,1241,233.0,0.0,233,233,233.0,0.0,233,233,-0.11821820744448966,0.08861242654606465,-0.1977141124469115,0.0175849184158165,-0.12740533013298133,0.09543517538452452,-0.21280619785658,0.0191152606465665,0.1077348140194381,0.003596592496856842,0.1047108801202416,0.1118119122928168,-1.1651302109114878,0.8577086608473642,-1.903251572151596,0.1817019751217322,-2.0044864074605915,1.4803129097938328,-3.3550366226616126,0.2699607521515263,-0.7225377645101956,0.5107693255707886,-1.0546903338961058,0.1702052857007651,-0.15862410872041716,0.04417993895010579,-0.2017712602622021,-0.1113825985542104,25.740069491693742,24.563314091409463,1.1097253613692588,60.3370700434113,27.95904099959838,26.680841168255103,1.205391340797643,65.5385415988778,76.07777777777778,98.25698197162804,6.633333333333334,232.0
fold1,val,1241.0,0.0,1241,1241,231.0,0.0,231,231,231.0,0.0,231,231,0.11952149873248405,0.05146152826140256,0.0735967550912979,0.1856553065139676,0.13177678213823604,0.05704054672540723,0.0809141871971517,0.2051267758286536,0.1272854434985095,0.002598914900316411,0.1240769496111806,0.1305943450270836,1.0375944524807612,0.45575914106643906,0.6195841571882085,1.6371187283446558,1.5902879224621933,0.7047976529407933,0.9650474361309068,2.540242427267718,1.4677595137644388,0.6418904194222975,0.8352893866703275,2.275030249529702,-0.09013104896761301,0.004312126215363686,-0.0968696460033999,-0.0848986138144946,29.519289369909178,23.041093032459514,4.975022895055373,61.80806302379895,32.342873570509184,25.245023670346946,5.450894650234582,67.72013861737972,28.69032258064516,28.055526461580087,6.451612903225806,74.0
fold2,test,1240.0,0.0,1240,1240,233.0,0.0,233,233,233.0,0.0,233,233,0.09798343909962856,0.10311865971371971,-0.0012997875540373,0.254355537426199,0.10722820001276448,0.11312066668640383,-0.0014117590752167,0.2791020361874128,0.09975083838887382,0.0030200803641063693,0.0943690706123176,0.101418700518438,1.0992000326619098,1.1944133031835837,-0.0139603176227917,2.9575583862005588,2.1504074277321465,2.561036798155255,-0.0187568833391176,6.337614506147827,1.2744246419935286,1.389076661342345,-0.0227661234930337,3.4086588728279,-0.08842993906390162,0.023929411445185574,-0.1275442307679235,-0.0620113949416429,64.40652378316847,27.048594600335814,31.32363412066804,106.60284433646548,69.95881031620024,29.380369996916496,34.02394740693252,115.79274471029872,7.107368249837346,3.355655309926453,3.3773584905660377,12.5625
fold2,val,1240.0,0.0,1240,1240,233.0,0.0,233,233,233.0,0.0,233,233,0.055205050508972245,0.07194180262373097,-0.0108029560768753,0.1655419472534243,0.06028673125350512,0.07864865249227405,-0.0117287633320805,0.1810358281723123,0.10240939534886362,0.005250748518891921,0.0945209827303883,0.1076093330422937,0.6155724521483474,0.8279050481859429,-0.1160055503279747,1.915297777729406,0.9175491065464986,1.210092393865594,-0.2020429502069125,2.781619116183569,1.1885614115708827,1.6899199360467383,-0.1284480813890089,3.908502631147644,-0.07531277164758862,0.02329981708533135,-0.098550292351411,-0.0463184613794555,65.21093135627066,46.08456823908614,21.30695448710389,142.0069628222591,70.83256336974226,50.05737584590391,23.143760908405955,154.24894237590215,8.818859236926262,6.158803037043121,2.267605633802817,18.63636363636364
fold3,test,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,-0.02608139662439854,0.05455532072285297,-0.1095618980473158,0.0211387728169403,-0.02818226052119906,0.059036279856371804,-0.1184250734003329,0.0229818685377902,0.1523983062978141,0.0025073526684367374,0.1494213544258247,0.1544223971610463,-0.18966933879130776,0.392994828231409,-0.7925578901047983,0.1488247104066296,-0.2440196077743967,0.5150732256044935,-1.030386650475452,0.202963885773078,-0.19517181111493037,0.4156079582520967,-0.789085196843575,0.1870617511258966,-0.12770787502989467,0.012571674213753398,-0.1500789444207619,-0.1198890621918639,5.767746858419406,5.282192115086859,0.9669736957025212,13.151022933919377,6.264966415179699,5.737553504318486,1.0503334970561868,14.284731807533117,121.68190476190475,101.56870168018163,32.142857142857146,232.0
fold3,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.13431185572619658,0.03631144226068717,0.0851049067862252,0.1852529737915322,0.14674657602080624,0.03987481567883668,0.0927721919371487,0.2027464272264478,0.106246286530989,0.0030628290885248237,0.1021841454613898,0.1091205430767091,1.3854902767605763,0.3920285956958235,0.8501808121678062,1.946603964480713,1.9120590847857237,0.4957400047070673,1.1833346080663922,2.576148740583125,2.26525188046076,0.6791821721390511,1.2040695036469908,3.044401577278524,-0.06593147167947656,0.007136526863593826,-0.0770488677407343,-0.0587670034497667,22.908410016220877,13.340007309540681,13.37782222163172,45.240946165661015,24.883272948653715,14.4900079396735,14.531082757979284,49.14102773166628,21.277006688963212,8.1526279223547,9.08695652173913,28.0
fold4,test,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.20201608250015585,0.03773890420405002,0.1534074093029622,0.2528821300258377,0.2212796707532898,0.04164883100858193,0.1676860082172835,0.2774701196459588,0.10663467671864553,0.009243735063178046,0.090669566846032,0.1146270626327944,2.0965916657818404,0.4681201591295583,1.4628832351262668,2.5316694436670497,3.237890128091526,1.057300526465873,1.9740834073445872,4.756830885009927,4.287357528583218,1.3010797394960067,2.788684994810772,5.776676954439406,-0.05346079963680148,0.00846166382952025,-0.0601308532621347,-0.0397365775626797,26.710946628852856,15.331788136598076,9.967818443931076,39.58254198379296,29.013614441685,16.653494010442742,10.827113137373413,42.994830085844086,20.425555555555555,13.5737500845575,9.65,37.833333333333336
fold4,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.0695202531566102,0.0657155483405698,0.0144480996107387,0.169790908368755,0.0758854166165563,0.0719135231156682,0.0157033561306281,0.1857131649157783,0.14964153192205862,0.004175287965583643,0.1445968882241023,0.1544223971610463,0.511972516683305,0.4858249224511538,0.1023519166731427,1.2500996605704584,0.704415372483008,0.6668478188209992,0.1388888840043046,1.7043764010128422,0.6818274044080308,0.6818864664946865,0.1226952011919653,1.7422867985412287,-0.11747500882801339,0.008307250162294123,-0.1279867181281124,-0.1065916157266824,18.187801953626263,11.616067529746157,0.9669736957025212,30.440860712062605,19.755715915145764,12.617452661620828,1.0503334970561868,33.06507284241283,62.67743506493506,94.92938971293918,13.5625,232.0
fold5,test,1239.0,0.0,1239,1239,232.0,0.0,232,232,232.0,0.0,232,232,-0.12133156270455192,0.02725948103744805,-0.150184969231742,-0.0827570242924157,-0.13157012871190163,0.029400529125350624,-0.1626647885858917,-0.089931913819505,0.06549958225864065,0.002609294507800356,0.0613266603885845,0.0678363782867535,-1.997307713809802,0.37919964958703833,-2.397899072652223,-1.466440749417445,-2.946485911343605,0.48271008806093535,-3.482504731408284,-2.263465360058752,-1.029426876661419,0.04395237220717264,-1.0535447937572058,-0.9511481911647032,-0.12713662245050708,0.024640464227548776,-0.1543976008896481,-0.0945508961220662,22.63509860945001,16.013419925450325,3.163695229112667,39.54338648866729,24.692834846672735,17.469185373218533,3.451303886304728,43.138239805818856,39.70700854700855,44.29002692384478,10.4,115.0
fold5,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.03539190435778282,0.04692516060611788,-0.0136295720243712,0.1053004622684592,0.038580389815396375,0.05116642237896299,-0.0147958013937526,0.1148813687274705,0.10669105622172734,0.0013750508660912465,0.1049908334931855,0.1082412993938948,0.36505654074624705,0.4857877721078745,-0.1366927547673843,1.0942037976575067,0.5771179557865083,0.767091471953942,-0.1963571738515288,1.7419445823261164,0.6485870598156795,0.844124408899317,-0.1606068145582484,1.9780368846768943,-0.07708770402165069,0.022539424393904706,-0.1070131056565448,-0.0538072560396714,40.858410994831225,9.30279396651804,31.469640939010915,51.26125144313089,44.38068780473047,10.104758963631667,34.182541019960134,55.6803248434008,10.526970695970697,2.5693089680754295,7.884615384615385,13.3125
