fold,variant,best_epoch,best_val_total_loss,test_total_loss,test_dir_loss,test_reg_loss,test_ret_loss,test_dir_acc,test_reg_acc,test_num_samples,test_pred_rows,latent_rows_train,latent_rows_val,latent_rows_test,latent_rows_all
fold1,no_gating,79,1.0152763345967168,1.0397158778946975,0.47439495551175087,0.1515003359266396,0.0909516688050895,0.47413793103448276,0.9396551724137931,232,232,1241,231,233,1705
fold2,no_gating,35,1.0275285922247788,0.9954336778870945,0.44880482246135844,0.17922534665157056,0.08811282520664149,0.521551724137931,0.9267241379310345,232,232,1240,233,233,1706
fold3,no_gating,61,1.0021263237657219,1.1685480619299,0.4767321399573622,0.2718477901713601,0.26705885344538194,0.4396551724137931,0.8793103448275862,232,232,1239,233,233,1705
fold4,no_gating,20,1.2888771007800925,1.205412009666706,0.46861305832862854,0.5023935457755779,0.23493567520174488,0.44396551724137934,0.771551724137931,232,232,1239,233,233,1705
fold5,no_gating,44,1.1632535210971175,1.0289527391974544,0.4368275649103767,0.31882464326111787,0.11930039196045368,0.5930735930735931,0.8787878787878788,231,231,1239,233,232,1704
fold6,no_gating,42,1.0288615237066756,1.310357987622678,0.47568679758996674,0.19277629777320432,0.6023029635994981,0.4199134199134199,0.9307359307359307,231,231,1239,232,232,1703
fold7,no_gating,36,1.3454089113128134,1.2579919593087558,0.4786604262631515,0.3831809561314254,0.3714336619294923,0.41379310344827586,0.8232758620689655,232,232,1240,232,233,1705
fold8,no_gating,52,1.1809639766298492,2.186641470245693,0.4955010828764542,0.1480789048516232,2.3024313346199365,0.31521739130434784,0.9239130434782609,92,92,1239,233,93,1565
