Date,Open,High,Low,Close,Adj Close,Volume,log_return,rolling_vol_20,rsi_14,macd,macd_signal,ma_10,ma_20,ma_50,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2011-01-03,126.70999908447266,127.5999984741211,125.6999969482422,127.0500030517578,97.19286346435548,138725200,0.0102850129612537,0.0033612421622733,81.19306209103728,1.1889417209604858,1.176292948460765,96.18231048583984,95.2809787750244,92.91042190551758,1.0,1.1147501794399549e-118,1.0,0.0,0.0
2011-01-04,127.33000183105467,127.37000274658205,126.19000244140624,126.9800033569336,97.13931274414062,137409700,-0.0005511256305064,0.0033393834797666,79.64345810902253,1.1986482431555745,1.180764007399727,96.3643783569336,95.4669563293457,93.05193328857422,1.0,1.6558294020116473e-09,0.9999999983442649,5.0591563781691695e-139,2.589721239461415e-83
2011-01-05,126.58000183105467,127.72000122070312,126.45999908447266,127.63999938964844,97.64422607421876,133975300,0.005184364798454,0.0033977539497701,91.1573757449035,1.2328712456433664,1.1911854550484549,96.53650131225588,95.67551689147948,93.19821548461914,1.0,2.9810451873807835e-09,0.9999999970189037,1.9781800609293868e-29,1.7926954118670647e-23
2011-01-06,127.69000244140624,127.83000183105467,127.01000213623048,127.38999938964844,97.45297241210938,122519000,-0.0019605993818193,0.0035001283551314,84.85779373187906,1.2303776221747285,1.1990238884737097,96.65966873168944,95.85739135742188,93.34036834716797,1.0,5.532596173423661e-09,0.9999999944673164,1.6727040837389907e-29,7.635269154118842e-23
2011-01-07,127.55999755859376,127.7699966430664,126.1500015258789,127.13999938964844,97.26171875,156034600,-0.0019644508842448,0.0035693886183732,79.95724661465566,1.1991458287797483,1.1990482765349175,96.77747955322266,96.01144065856934,93.48387100219726,1.0,9.058227409658694e-09,0.9999999909416601,2.943862803475759e-29,8.526003808538847e-23
2011-01-10,126.58000183105467,127.16000366210938,126.1999969482422,126.9800033569336,97.13931274414062,122401700,-0.0012593145323898,0.003481065886096,75.86894685722214,1.151246413786012,1.1894879039851365,96.87922286987305,96.13197288513184,93.62462112426758,1.0,4.715835342684819e-09,0.99999999528427,1.0547463745153747e-27,1.4422434816810482e-22
2011-01-11,127.44000244140624,127.73999786376952,126.9499969482422,127.43000030517578,97.48358154296876,110287000,0.0035378074009614,0.0035142310894471,73.94307011239427,1.1280618029278031,1.17720268377367,97.00162353515626,96.26667556762696,93.7708871459961,1.0,6.2656624472063054e-09,0.9999999937342636,3.076563744281864e-28,1.5652316507974836e-21
2011-01-12,128.2100067138672,128.72000122070312,127.45999908447266,128.5800018310547,98.3633270263672,107929200,0.0089840723767283,0.0038973397196837,77.88814545223376,1.1672209434903067,1.1752063357169975,97.20511016845704,96.44117851257325,93.93413940429689,1.0,1.4256437735622288e-07,0.9999998574355788,7.571726775476889e-28,1.2348463076937006e-21
2011-01-13,128.6300048828125,128.69000244140625,128.0500030517578,128.3699951171875,98.20266723632812,129048400,-0.0016346655118757,0.0036933845909174,77.42501170072218,1.1717833530619115,1.1745217391859804,97.40783386230468,96.62933807373048,94.07987121582032,1.0,2.1301334139416796e-08,0.9999999786987248,9.82655013338182e-27,3.2051876108999264e-20
2011-01-14,128.19000244140625,129.3300018310547,128.10000610351562,129.3000030517578,98.91414642333984,117677900,0.0072188897896485,0.0037844618400801,80.77505221839904,1.2187604084928836,1.1833694730473612,97.67941284179688,96.82567558288574,94.23252731323242,1.0,5.4299113039921366e-08,0.999999945700894,5.808922428451504e-25,4.422347590795845e-21
