fold,state_id,occupancy_viterbi,occupancy_posterior,T
fold1,0,0.18412698412698414,0.1849221249919394,1260
fold1,1,0.31587301587301586,0.3154560190472901,1260
fold1,2,0.12777777777777777,0.12909679948216146,1260
fold1,3,0.37222222222222223,0.37052505647860917,1260
fold2,0,0.2652899126290707,0.26664716783210024,1259
fold2,1,0.12629070691024621,0.12744175886589063,1259
fold2,2,0.26052422557585386,0.2563063253160521,1259
fold2,3,0.34789515488482925,0.3496047479859551,1259
fold3,0,0.1971383147853736,0.19653416106247468,1258
fold3,1,0.1971383147853736,0.19750943035555818,1258
fold3,2,0.34578696343402227,0.34607505853593334,1258
fold3,3,0.2599364069952305,0.2598813500460322,1258
fold4,0,0.3235294117647059,0.31677985031267625,1258
fold4,1,0.31001589825119236,0.3129994167640098,1258
fold4,2,0.13036565977742448,0.12982819572818127,1258
fold4,3,0.23608903020667726,0.24039253719512935,1258
fold5,0,0.2933227344992051,0.292816341592943,1258
fold5,1,0.22575516693163752,0.22691369705140665,1258
fold5,2,0.10651828298887123,0.10764502946931793,1258
fold5,3,0.3744038155802862,0.37262493188633333,1258
fold6,0,0.2082670906200318,0.2111701377364823,1258
fold6,1,0.17090620031796502,0.17281999794927483,1258
fold6,2,0.29252782193958665,0.28971798854810016,1258
fold6,3,0.32829888712241656,0.3262918757661437,1258
fold7,0,0.17394757744241462,0.17187436749008297,1259
fold7,1,0.29706115965051627,0.29473077711771006,1259
fold7,2,0.18903891977760126,0.19310123926360678,1259
fold7,3,0.3399523431294678,0.3402936161285988,1259
fold8,0,0.3672496025437202,0.36871574244152305,1258
fold8,1,0.18282988871224165,0.18379053914563695,1258
fold8,2,0.19236883942766295,0.19406312223644284,1258
fold8,3,0.2575516693163752,0.25343059617639707,1258
