fold,switches,years_covered,switches_per_year
fold1,38,4.988364134154689,7.617727771679473
fold2,35,4.996577686516085,7.004794520547945
fold3,47,4.993839835728953,9.41159539473684
fold4,67,4.988364134154689,13.431256860592754
fold5,73,4.991101984941821,14.626028524410312
fold6,83,4.991101984941821,16.629594075699394
fold7,62,4.988364134154689,12.428924259055982
fold8,52,4.993839835728953,10.412828947368421
