fold,state_rank_by_vol,mean_vol,mean_return,state_id
fold1,0,0.005563412209315903,0.001152058976811737,0
fold1,1,0.00998207837659092,-0.0006664173819558225,3
fold1,2,0.015663169017907954,0.0008317043030668731,1
fold1,3,0.033272889586889176,-0.00186604065715301,2
fold2,0,0.00639730115557812,0.000816989982464589,0
fold2,1,0.010347943786610138,-0.00022352957559965071,3
fold2,2,0.016082594571565828,0.0006687788535334401,2
fold2,3,0.033446968710145165,-0.0019273243838879353,1
fold3,0,0.005941736648870094,0.0007682202504028715,2
fold3,1,0.008926378955663656,0.0005548346790598562,3
fold3,2,0.011956233075115997,0.001376477285550519,1
fold3,3,0.020755424009139524,-0.00014827562502640543,0
fold4,0,0.0048473533540317445,0.0007626276329888085,3
fold4,1,0.006958808109139839,0.0005227169643661297,0
fold4,2,0.01005460113847428,0.0007977096789127219,1
fold4,3,0.018737284185745898,-0.00024124577115854009,2
fold5,0,0.004864505433901329,0.0004526391150414727,1
fold5,1,0.006704098405438326,0.00010323739332260756,0
fold5,2,0.009501593413124244,0.0009533372393688392,3
fold5,3,0.01916657581733231,-0.00021029482141991156,2
fold6,0,0.004575331215358762,0.00030192135304279956,0
fold6,1,0.006383324554427665,0.00033823431502248875,3
fold6,2,0.008590789958344204,0.0008938127063710228,2
fold6,3,0.01235391991325904,0.0006227101628079049,1
fold7,0,0.0041951728532154346,0.0006034578166690994,3
fold7,1,0.006199795938018974,0.00020985283470333971,1
fold7,2,0.0083015275828137,0.001018636194868167,2
fold7,3,0.012071497819369994,0.0006665249181207029,0
fold8,0,0.004169589323968777,0.0008081550874468479,0
fold8,1,0.006264865720540567,0.00011125359251599044,3
fold8,2,0.00876663260429792,0.0005632439158699782,1
fold8,3,0.01348181584129686,-0.0005693742787177916,2
