epoch,train_total_loss,train_dir_loss,train_reg_loss,train_dir_acc,train_reg_acc,train_num_samples,val_total_loss,val_dir_loss,val_reg_loss,val_dir_acc,val_reg_acc,val_num_samples
1,2.5175108141818288,0.9407363414285652,2.12344921818657,0.46184738955823296,0.39063761097659405,1239,2.902753191076832,1.1241327404975892,1.828399041514376,0.24,0.5238095238095238,231
2,2.316508105919186,0.8479928594516463,2.0317363612011037,0.5100401606425703,0.37126715092816787,1239,3.0666369235876836,1.2281588780879975,1.6300599791786887,0.3,0.5324675324675324,231
3,2.1699648469181385,0.8382034976798368,1.7240114959619812,0.5220883534136547,0.43664245359160614,1239,3.3666673408442245,1.43568230509758,1.3189261697587513,0.36,0.5454545454545454,231
4,2.098410503050317,0.8191510716595324,1.5568595939917946,0.5823293172690763,0.4430992736077482,1239,2.9440449161446973,1.3040620481967926,0.9714756476414668,0.36,0.5844155844155844,231
5,1.911514159745993,0.75086842974027,1.3962610478936135,0.5783132530120482,0.4665052461662631,1239,2.693718082461006,1.2240874016284942,0.8332142982131991,0.38,0.6060606060606061,231
6,1.755818775818173,0.6887936399404304,1.2771210721464672,0.6104417670682731,0.510088781275222,1239,2.6954983818582643,1.2328692936897279,0.8302229339684243,0.4,0.6103896103896104,231
7,1.7897174487294836,0.709608997087402,1.175661958254952,0.6144578313253012,0.5480225988700564,1239,2.7857726796880944,1.286472350358963,0.7816561652726425,0.4,0.6277056277056277,231
8,1.7289459382073353,0.6903469326745075,1.1606525768186895,0.606425702811245,0.5262308313155771,1239,2.725447553576845,1.2711133062839508,0.7081647524327943,0.4,0.658008658008658,231
9,1.546182715479071,0.609331049593577,1.1041930426119604,0.6666666666666666,0.5569007263922519,1239,3.1434017043093068,1.4725610518455505,0.7338877052584768,0.4,0.6753246753246753,231
10,1.5177593235049736,0.6046238292053522,0.956818851855034,0.6706827309236948,0.6012913640032284,1239,2.834650607336135,1.337390934228897,0.650746135291083,0.4,0.683982683982684,231
11,1.4603668157856151,0.6031611268539505,0.9523847865615764,0.714859437751004,0.6150121065375302,1239,3.04514090529768,1.4374171161651612,0.6980939989675691,0.4,0.683982683982684,231
12,1.5062694157006955,0.6265714495296938,0.91384027781652,0.6586345381526104,0.6303470540758677,1239,3.0842904549140435,1.4701685917377472,0.646390546564803,0.4,0.6926406926406926,231
13,1.4407998008820393,0.5856931032425907,0.891699392483829,0.6987951807228916,0.645682001614205,1239,3.3263654574687345,1.6036654245853423,0.5878800663822915,0.4,0.7012987012987013,231
14,1.4834849450547816,0.60852965975861,0.8143477050694272,0.6626506024096386,0.6650524616626311,1239,3.3494724886757985,1.6101363241672515,0.601289532320711,0.4,0.7012987012987013,231
15,1.5807469621408938,0.6699754543093792,0.8219198421954724,0.6867469879518072,0.6698950766747377,1239,3.398105250808584,1.6246998631954193,0.6425547466423862,0.4,0.7012987012987013,231
16,1.4166534354938818,0.5907154624241902,0.7722105303534199,0.7188755020080321,0.682001614205004,1239,3.3854894638061523,1.6094972312450408,0.6506872240502339,0.4,0.7012987012987013,231
17,1.3928601608534221,0.5921921169901468,0.8035273073756762,0.6867469879518072,0.6763518966908797,1239,3.385926493318566,1.6135421216487884,0.6356759425655846,0.4,0.7012987012987013,231
18,1.3863811668029613,0.5756001385100874,0.7579958845859001,0.6827309236947792,0.6933010492332526,1239,3.75445700001407,1.803036391735077,0.6343142971380319,0.4,0.70995670995671,231
19,1.3062245466711062,0.5342050272537523,0.7174187401689955,0.7349397590361446,0.7110573042776432,1239,3.891005277633667,1.8800124859809875,0.6012073560694466,0.4,0.70995670995671,231
20,1.250076477136989,0.5265787456887793,0.7064602989357648,0.7550200803212851,0.7102502017756255,1239,4.020346506333454,1.9450482439994812,0.6077302495799798,0.4,0.7142857142857143,231
21,1.3097410355968953,0.5570518714955532,0.7057990518378288,0.7469879518072289,0.7142857142857143,1239,4.023790828077308,1.9614810609817506,0.5722493410828117,0.4,0.7272727272727273,231
22,1.328443759193913,0.5632561612799465,0.6727418009555561,0.7188755020080321,0.7207425343018563,1239,3.7079048125774827,1.8051819443702697,0.5768342017442053,0.4,0.7272727272727273,231
23,1.1979931857530102,0.5220759512190838,0.6616806384533812,0.7590361445783133,0.7409200968523002,1239,4.034504978171674,1.9633961391448975,0.5826574332439602,0.4,0.7186147186147186,231
24,1.25292947149931,0.5320054472210896,0.6358748212083873,0.7590361445783133,0.7255851493139629,1239,4.0514255488589725,1.9749796986579895,0.5652194539754293,0.4,0.7186147186147186,231
25,1.1940277673430362,0.5066862637738148,0.6399694906789705,0.7550200803212851,0.7489911218724778,1239,3.953763320848539,1.9281162667274474,0.5560300687884355,0.4,0.7229437229437229,231
26,1.2221474114495772,0.49524696440581817,0.615102827837623,0.7831325301204819,0.7409200968523002,1239,4.2404444217681885,2.0662384486198424,0.5513932143108218,0.4,0.7229437229437229,231
27,1.1183030265199263,0.47338600815778753,0.6149811131565488,0.7951807228915663,0.7530266343825666,1239,4.440094263522656,2.169331328868866,0.5459727215947527,0.4,0.7272727272727273,231
28,1.2195382295259072,0.5328742298017065,0.5903481555331417,0.7469879518072289,0.7619047619047619,1239,4.253932065261907,2.074716475009918,0.5527202786547152,0.4,0.7272727272727273,231
29,1.1187300255839339,0.4454270495348666,0.5993563964830665,0.7991967871485943,0.7570621468926554,1239,4.260695816634537,2.0766723489761354,0.5480673450258967,0.42,0.7186147186147186,231
30,1.0854646099296859,0.4576174080611233,0.6043678552898503,0.7991967871485943,0.7530266343825666,1239,4.320478142081917,2.108284542560577,0.5436703473353734,0.42,0.7316017316017316,231
31,1.1005980358477847,0.47162652332859345,0.5677742936180137,0.7871485943775101,0.7651331719128329,1239,4.551842887680252,2.2304055762290953,0.5356227779494864,0.42,0.7272727272727273,231
32,1.0857370454905204,0.457712167477512,0.54280388831515,0.7871485943775101,0.7820823244552058,1239,4.391375528269516,2.156012763977051,0.520736418253222,0.42,0.7316017316017316,231
33,0.9995384444576584,0.42242385961683876,0.5522855852668184,0.7911646586345381,0.7836965294592413,1239,4.286450089830341,2.1012595987319944,0.522228287915937,0.42,0.7402597402597403,231
34,1.0475222664652957,0.4387804164465173,0.5428830050383007,0.7791164658634538,0.7812752219531881,1239,4.239036809830439,2.080304684638977,0.5260583292209096,0.42,0.7402597402597403,231
35,0.9908377055298233,0.41355096037129324,0.5555329139767586,0.8192771084337349,0.7635189669087974,1239,4.258712952271169,2.0941641521453858,0.5189830561156397,0.42,0.7489177489177489,231
36,1.064524040624343,0.44097591990447904,0.5575334831434839,0.8032128514056225,0.7812752219531881,1239,4.352187945213153,2.1477206635475157,0.5121447474844915,0.42,0.7489177489177489,231
37,1.0134799803236592,0.4234023914638772,0.5234912163889918,0.8192771084337349,0.7925746569814366,1239,4.50314145170765,2.227247724533081,0.5068019953560391,0.42,0.7532467532467533,231
38,0.9856296742125997,0.40543655506578313,0.5274609294603485,0.7951807228915663,0.7828894269572235,1239,4.534870637959732,2.2435159993171694,0.5097379803524485,0.42,0.7532467532467533,231
39,0.9873068165259558,0.40428443007679826,0.5127803901446453,0.8433734939759037,0.7966101694915254,1239,4.489827095172106,2.2205426859855653,0.50721273008226,0.42,0.7532467532467533,231
40,1.09116634560555,0.44826672289026787,0.5104802834400735,0.7871485943775101,0.7917675544794189,1239,4.450238619015846,2.2027632784843445,0.5009627031521202,0.42,0.7532467532467533,231
41,0.9314728062224061,0.3953038474402753,0.5060740093053397,0.8393574297188755,0.7990314769975787,1239,4.510209521173914,2.2370337295532225,0.4867736734389388,0.42,0.7575757575757576,231
42,1.0047352277433996,0.4343369791067269,0.5183762144041792,0.7791164658634538,0.8062953995157385,1239,4.481763004740595,2.2234576892852784,0.4856535243092194,0.42,0.7619047619047619,231
