date,account_value,strategy,seed
2013-01-02,10000.0,buy_hold,42
2013-01-02,10000.0,momentum_126,42
2013-01-02,10000.0,rl_only_stitched,42
2013-01-03,9977.406419514537,buy_hold,42
2013-01-03,9977.406419514537,momentum_126,42
2013-01-03,9967.42901309502,rl_only_stitched,42
2013-01-04,10021.22398766092,buy_hold,42
2013-01-04,10021.22398766092,momentum_126,42
2013-01-04,10011.202763673258,rl_only_stitched,42
2013-01-07,9993.83839932939,buy_hold,42
2013-01-07,9993.83839932939,momentum_126,42
2013-01-07,9983.844560930062,rl_only_stitched,42
2013-01-08,9965.083218173317,buy_hold,42
2013-01-08,9965.083218173317,momentum_126,42
2013-01-08,9955.118134955144,rl_only_stitched,42
2013-01-09,9990.414939614642,buy_hold,42
2013-01-09,9990.414939614642,momentum_126,42
2013-01-09,9980.424524675029,rl_only_stitched,42
2013-01-10,10069.8346083466,buy_hold,42
2013-01-10,10069.8346083466,momentum_126,42
2013-01-10,10059.76477373825,rl_only_stitched,42
2013-01-11,10069.15033428094,buy_hold,42
2013-01-11,10069.15033428094,momentum_126,42
2013-01-11,10059.08118394666,rl_only_stitched,42
2013-01-14,10062.303414851443,buy_hold,42
2013-01-14,10062.303414851443,momentum_126,42
2013-01-14,10052.241111436591,rl_only_stitched,42
2013-01-15,10069.15033428094,buy_hold,42
2013-01-15,10069.15033428094,momentum_126,42
2013-01-15,10059.08118394666,rl_only_stitched,42
2013-01-16,10067.780741456394,buy_hold,42
2013-01-16,10067.780741456394,momentum_126,42
2013-01-16,10057.712960714938,rl_only_stitched,42
2013-01-17,10132.822297263698,buy_hold,42
2013-01-17,10132.822297263698,momentum_126,42
2013-01-17,10047.655247754225,rl_only_stitched,42
2013-01-18,10155.415877749165,buy_hold,42
2013-01-18,10155.415877749165,momentum_126,42
2013-01-18,10059.988868756032,rl_only_stitched,42
2013-01-22,10210.18809910545,buy_hold,42
2013-01-22,10210.18809910545,momentum_126,42
2013-01-22,10049.928879887277,rl_only_stitched,42
2013-01-23,10226.619034227077,buy_hold,42
2013-01-23,10226.619034227077,momentum_126,42
2013-01-23,10056.03581296446,rl_only_stitched,42
2013-01-24,10229.358219876169,buy_hold,42
2013-01-24,10229.358219876169,momentum_126,42
2013-01-24,10045.979777151497,rl_only_stitched,42
2013-01-25,10286.868582188315,buy_hold,42
2013-01-25,10286.868582188315,momentum_126,42
2013-01-25,10092.356710368658,rl_only_stitched,42
2013-01-28,10274.545380847096,buy_hold,42
2013-01-28,10274.545380847096,momentum_126,42
2013-01-28,10082.26435365829,rl_only_stitched,42
2013-01-29,10314.939489278731,buy_hold,42
2013-01-29,10314.939489278731,momentum_126,42
2013-01-29,10111.780611709037,rl_only_stitched,42
2013-01-30,10274.545380847096,buy_hold,42
2013-01-30,10274.545380847096,momentum_126,42
2013-01-30,10101.668831097326,rl_only_stitched,42
2013-01-31,10249.21261471254,buy_hold,42
2013-01-31,10249.21261471254,momentum_126,42
2013-01-31,10066.685544503422,rl_only_stitched,42
2013-02-01,10354.64932364471,buy_hold,42
2013-02-01,10354.64932364471,momentum_126,42
2013-02-01,10170.244542991157,rl_only_stitched,42
2013-02-04,10238.257961502635,buy_hold,42
2013-02-04,10238.257961502635,momentum_126,42
2013-02-04,10055.925981475635,rl_only_stitched,42
2013-02-05,10341.640803544602,buy_hold,42
2013-02-05,10341.640803544602,momentum_126,42
2013-02-05,10157.46769015671,rl_only_stitched,42
2013-02-06,10349.171997039755,buy_hold,42
2013-02-06,10349.171997039755,momentum_126,42
2013-02-06,10164.864761477264,rl_only_stitched,42
2013-02-07,10335.479202873994,buy_hold,42
2013-02-07,10335.479202873994,momentum_126,42
2013-02-07,10151.415820736736,rl_only_stitched,42
2013-02-08,10392.989565186142,buy_hold,42
2013-02-08,10392.989565186142,momentum_126,42
2013-02-08,10207.901987500005,rl_only_stitched,42
2013-02-11,10390.935698295938,buy_hold,42
2013-02-11,10390.935698295938,momentum_126,42
2013-02-11,10205.884697693344,rl_only_stitched,42
2013-02-12,10408.05195217645,buy_hold,42
2013-02-12,10408.05195217645,momentum_126,42
2013-02-12,10222.696130141108,rl_only_stitched,42
2013-02-13,10416.95169380292,buy_hold,42
2013-02-13,10416.95169380292,momentum_126,42
2013-02-13,10231.437377273827,rl_only_stitched,42
2013-02-14,10426.53675418828,buy_hold,42
2013-02-14,10426.53675418828,momentum_126,42
2013-02-14,10240.85173840104,rl_only_stitched,42
2013-02-15,10414.21355284706,buy_hold,42
2013-02-15,10414.21355284706,momentum_126,42
2013-02-15,10228.747999561085,rl_only_stitched,42
2013-02-19,10492.263628754472,buy_hold,42
2013-02-19,10492.263628754472,momentum_126,42
2013-02-19,10305.408090479352,rl_only_stitched,42
2013-02-20,10361.495198380975,buy_hold,42
2013-02-20,10361.495198380975,momentum_126,42
2013-02-20,10176.968500317216,rl_only_stitched,42
2013-02-21,10298.507509463876,buy_hold,42
2013-02-21,10298.507509463876,momentum_126,42
2013-02-21,10115.102552040053,rl_only_stitched,42
2013-02-22,10399.15116585675,buy_hold,42
2013-02-22,10399.15116585675,momentum_126,42
2013-02-22,10213.953856919978,rl_only_stitched,42
2013-02-25,10201.28731278575,buy_hold,42
2013-02-25,10201.28731278575,momentum_126,42
2013-02-25,10019.61373886736,rl_only_stitched,42
2013-02-26,10271.121921132348,buy_hold,42
2013-02-26,10271.121921132348,momentum_126,42
2013-02-26,10088.204670558993,rl_only_stitched,42
2013-02-27,10400.520758681296,buy_hold,42
2013-02-27,10400.520758681296,momentum_126,42
2013-02-27,10215.299058820554,rl_only_stitched,42
2013-02-28,10379.981045086037,buy_hold,42
2013-02-28,10379.981045086037,momentum_126,42
2013-02-28,10195.125134665555,rl_only_stitched,42
2013-03-01,10414.21355284706,buy_hold,42
2013-03-01,10414.21355284706,momentum_126,42
2013-03-01,10228.747999561085,rl_only_stitched,42
2013-03-04,10469.670048269008,buy_hold,42
2013-03-04,10469.670048269008,momentum_126,42
2013-03-04,10283.216876517692,rl_only_stitched,42
2013-03-05,10563.466785232384,buy_hold,42
2013-03-05,10563.466785232384,momentum_126,42
2013-03-05,10375.34319798315,rl_only_stitched,42
2013-03-06,10577.844898157036,buy_hold,42
2013-03-06,10577.844898157036,momentum_126,42
2013-03-06,10389.46525271817,rl_only_stitched,42
2013-03-07,10597.015018927752,buy_hold,42
