fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed
fold1,val,1260,250,250,0.1086776344789965,0.1100565640374595,0.1270385346182193,0.8663242564014565,1.340765031212116,1.136130548403132,-0.0968696460033995,3.050968044803799,3.0877266959460132,124.0,42
fold1,test,1260,252,252,0.1469120212319572,0.1475385302261964,0.1066537402414772,1.3833413614201528,1.893305615175965,2.4150137972689496,-0.0610922100706183,69.37049696905231,69.64687345100073,6.2,42
fold2,val,1259,252,252,-0.0990055662345136,-0.0993797285830101,0.0995238251223345,-0.998552140262422,-1.7753993789650375,-0.8393570217840651,-0.1183998298742734,52.971039517831585,53.182079515910594,8.333333333333334,42
fold2,test,1259,252,252,-0.060082243234083,-0.0603142465894682,0.1004594768845538,-0.6003838409270265,-0.9889643883296774,-0.4586263858366493,-0.1315106336052601,78.1277992406093,78.43906537304201,5.461538461538462,42
fold3,val,1258,252,252,0.1225369306159702,0.1230540035979865,0.1124055777958019,1.0947321833221542,1.4411190841847457,1.5970903558512748,-0.0770488677407339,0.947645325850124,0.951420805235981,251.0,42
fold3,test,1258,252,252,-0.0085862221515764,-0.0086202823417511,0.1558671542392429,-0.0553053167861123,-0.077717118856652,-0.070165100257016,-0.1228571228456157,0.9973210350370164,1.001294425614853,251.0,42
fold4,val,1258,252,252,-0.0220573701827805,-0.02214426790671,0.1508465075187906,-0.1468000039971202,-0.2056002067177569,-0.1699502708503963,-0.1302985149473708,84.46655966054631,84.80307981855645,5.0,42
fold4,test,1258,252,252,-0.0144301802566922,-0.0144872525514146,0.1226829189687259,-0.1180869567923124,-0.1701605481398175,-0.1469879907755203,-0.0985607904086504,116.82231991946664,117.2877474888669,3.3448275862068964,42
fold5,val,1258,252,252,0.1469902644503924,0.1476171280924896,0.1246691285791778,1.1840712273747656,1.864579692568559,1.606712702854169,-0.0918752480329944,63.97063138971943,64.22549446298524,7.129032258064516,42
fold5,test,1258,251,251,-0.1280744299822638,-0.1290298937611713,0.0619412451856488,-2.08310138703938,-3.0228068931673935,-0.9212107291817012,-0.140065556852325,65.09764168177863,65.61842281523286,6.606060606060606,42
fold6,val,1258,251,251,0.0099102565569215,0.0099899333136315,0.0619436521617297,0.1612745287854294,0.2284751264250805,0.2311913421274967,-0.0432106722583162,126.4641684112074,127.47588175849708,2.9682539682539684,42
fold6,test,1258,251,251,-0.1360648834254154,-0.1370751489537603,0.1677466324886042,-0.8171558911209289,-1.003825753738331,-0.6405407627885243,-0.2139991034403785,54.09695095451114,54.52972656214723,8.296296296296296,42
fold7,val,1259,251,251,-0.0710641501046602,-0.0716118050801207,0.1711346678705589,-0.4184529410153514,-0.5142744830219504,-0.3548919014108504,-0.2017848386943532,0.9806748159235265,0.9885202144509146,250.0,42
fold7,test,1259,252,252,0.2852271755515867,0.2865127149213489,0.1257024128581388,2.279293677876272,2.817842373210823,4.329052939876472,-0.0661836939627549,0.8605957370124179,0.8640244052873678,251.0,42
fold8,val,1258,252,252,0.0224729602012465,0.0225634965063248,0.1190784345764622,0.1894843225524302,0.2873641679064355,0.2059296588585294,-0.1095689500550555,40.08666663301521,40.24637446820651,11.0,42
fold8,test,1258,112,112,-0.1463216934280541,-0.3017364566511802,0.4580845551971381,-0.6586916175799182,-0.8112788626378533,-0.9434990034392668,-0.3198058032401547,19.21492438407054,43.62307157464663,10.2,42
fold1,val,1260,250,250,0.1158242639878222,0.1172985739197676,0.1270584198280689,0.923186153884898,1.4276663509261738,1.2108909112318955,-0.0968696460033995,0.923873902074506,0.9350049129428734,249.0,52
fold1,test,1260,252,252,0.1239986734670588,0.1245222499363141,0.104903539017807,1.1870166736241083,1.6516933286720616,1.8038353030816323,-0.0690319397361738,81.48558249644474,81.81022625141065,5.146341463414634,52
fold2,val,1259,252,252,-0.219349498186766,-0.2201192806027831,0.1085146513773353,-2.028475213336564,-3.530389302202096,-0.9948205267074364,-0.2212653184100587,1.129681550913156,1.134182274223567,251.0,52
fold2,test,1259,252,252,-0.1221120931242581,-0.1225674846405232,0.1123939023312501,-1.0905172086586088,-1.8062840733641643,-0.7024674795683908,-0.1744813649107728,1.061728152006144,1.0659581446436188,251.0,52
fold3,val,1258,252,252,0.1225369306159702,0.1230540035979865,0.1124055777958019,1.0947321833221542,1.4411190841847457,1.5970903558512748,-0.0770488677407339,0.947645325850124,0.951420805235981,251.0,52
fold3,test,1258,252,252,-0.0085862221515764,-0.0086202823417511,0.1558671542392429,-0.0553053167861123,-0.077717118856652,-0.070165100257016,-0.1228571228456157,0.9973210350370164,1.001294425614853,251.0,52
fold4,val,1258,252,252,-0.0085862221515764,-0.0086202823417511,0.1558671542392429,-0.0553053167861123,-0.077717118856652,-0.070165100257016,-0.1228571228456157,0.9973210350370164,1.001294425614853,251.0,52
fold4,test,1258,252,252,0.1108668989870773,0.1113323244448118,0.1305417967863075,0.8528481083116936,1.1196827133738492,1.21177713071131,-0.0918752480329944,0.960748665140136,0.964576349064997,251.0,52
fold5,val,1258,252,252,0.1182160275137003,0.1187139208014549,0.1273100614584175,0.932478701537896,1.1367689813910746,1.2921208197317973,-0.0918752480329944,7.19660484711091,7.22527657956952,54.5,52
fold5,test,1258,251,251,0.0468503450379982,0.0472338638642886,0.0577925469332698,0.8173002639739543,0.8846720814419624,1.1683409813605945,-0.0404281495024528,14.066262812151718,14.178792914648932,23.0,52
fold6,val,1258,251,251,0.0549178126878662,0.0553691005865688,0.065453793230951,0.8459265361627127,1.2258083374788729,1.687078895265962,-0.0328195087627126,88.48441573965077,89.19229106556797,4.681818181818182,52
fold6,test,1258,251,251,-0.1076594409351712,-0.108472224284508,0.1702230656576688,-0.637235758064972,-0.7851329769054415,-0.5375637980850132,-0.2017848386943529,17.61402405010775,17.754936242508613,26.88888888888889,52
fold7,val,1259,251,251,-0.0710641501046602,-0.0716118050801207,0.1711346678705589,-0.4184529410153514,-0.5142744830219504,-0.3548919014108504,-0.2017848386943532,0.9806748159235265,0.9885202144509146,250.0,52
fold7,test,1259,252,252,0.2852271755515867,0.2865127149213489,0.1257024128581388,2.279293677876272,2.817842373210823,4.329052939876472,-0.0661836939627549,0.8605957370124179,0.8640244052873678,251.0,52
fold8,val,1258,252,252,-0.1132348887185286,-0.1136593573156001,0.1208349839446499,-0.9406163149544784,-1.5886186780224123,-0.8332547075070156,-0.1364040986406827,17.25826216835756,17.327020184964564,27.0,52
fold8,test,1258,112,112,0.0820863849279542,0.1961450493907963,0.4268192822787574,0.4595505815566533,0.7463260713364254,0.9673352364981632,-0.2027684322767547,7.352242167047072,16.691576811674434,27.0,52
fold1,val,1260,250,250,0.1227773852920726,0.1243450293986436,0.1267273000487634,0.9812015986357866,1.5082312622658876,1.2836325363910168,-0.0968696460033995,2.969333305199487,3.005108405262131,124.0,63
