strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,
transformer_tdqn_stitched,0.0354086400650031,0.005108083271172,0.1650879792804771,0.0309415821396278,0.0375285940418965,0.0143672762940999,-0.3555359531346755,191.6543366778531,28.063273005705398,15.673684210526316
