fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
fold1,val,1241,231,231,0.056392274687176114,0.06195019828664061,0.12998627829428097,0.47659029167978145,0.7365687289135773,0.5981215967778111,-0.10357458854583668,17.005946034241536,18.632601741864637,24.666666666666668
fold1,test,1241,233,233,-0.01209495227214652,-0.01313074610146936,0.10086757488902535,-0.13017806877894927,-0.19101443452203237,-0.11156521849244096,-0.11769569655222811,55.31713490515607,60.08585343146263,7.321428571428571
fold2,val,1240,233,233,0.006736862105893859,0.007319746640964908,0.10105715672539535,0.07243174930059633,0.10908692459406699,0.1321812234078973,-0.055376599279739924,57.21124858583723,62.14325277427148,6.586206896551724
fold2,test,1240,233,233,0.17539392503455775,0.19188331023807637,0.09936125405183606,1.9311683620455535,2.71221790260146,3.667157220265527,-0.052324811485497946,44.948250841545104,48.82310005202313,8.869565217391305
fold3,val,1239,233,233,0.19595642302362082,0.21454876074684281,0.10949217388896401,1.9594894605382176,3.4268863950015724,3.8501498405312677,-0.05572478205607656,17.192384344149197,18.67448644278275,24.77777777777778
fold3,test,1239,233,233,0.09648772061638144,0.1052292588558732,0.15121469977529464,0.6958930514840429,1.018858089567782,0.6909605595603022,-0.15229416122222172,14.697341046476415,15.964353205655417,27.875
fold4,val,1239,233,233,0.023297144270605807,0.025330751912824745,0.15439758283374175,0.1640618424713383,0.2233077907870313,0.20618057240894108,-0.12285712284561623,3.0136271748370236,3.2734226209436637,115.5
fold4,test,1239,233,233,0.14868644688423016,0.16249550199885943,0.11792122747738283,1.378000428549015,1.8440443750888915,2.675833270507676,-0.060727065392990554,17.702833437137024,19.2289397679247,24.88888888888889
fold5,val,1239,233,233,0.04554863629627248,0.049571058741697094,0.102633394215462,0.48299151675360924,0.754674763614474,0.7648308525087323,-0.06481310028106002,87.35535294781691,94.88598682262872,4.204545454545454
fold5,test,1239,232,232,-0.1346749670265326,-0.14597950736286702,0.054324695176998936,-2.687166617083472,-3.5670428925313242,-1.0488646978065788,-0.13917858773218728,139.36471352820058,152.03423293985517,2.3142857142857145
fold6,val,1239,232,232,0.0716747422484938,0.07844001736298978,0.06265345701522756,1.2519663095992513,1.5368690708002666,2.4553063937828306,-0.031947140105043736,24.315716186994027,26.52623584035712,14.75
fold6,test,1239,232,232,-0.0697113060606247,-0.07580245525845597,0.1692049404602252,-0.44799197382936207,-0.5652730804436814,-0.3756598154199046,-0.20178483869435326,11.052108049714501,12.056845145143091,36.833333333333336
fold7,val,1240,232,232,0.04519020456627354,0.049398311282452534,0.1647535450924335,0.2998315529704569,0.40216017545588145,0.24271665109512133,-0.20352254803933167,18.403326299784577,20.076355963401355,21.6
fold7,test,1240,233,233,-0.022207606618681486,-0.02409880737197212,0.11666353223194958,-0.20656675578842448,-0.2916140138975585,-0.20018969309398976,-0.12037986071869167,20.83882468531758,22.63527508922427,20.181818181818183
fold8,val,1239,233,233,0.06719301499763475,0.07319270813759804,0.11689517849169685,0.6261396670248206,0.7735693104530919,0.7201592941694723,-0.10163405336871745,38.91734505251295,42.27228859152269,10.65
fold8,test,1239,93,93,0.04542307092236397,0.12938892264530066,0.5092500430147334,0.2540773916862629,0.334437358581091,0.45023492008334276,-0.2873809135491968,13.747117778994818,37.65514869898581,12.285714285714286
