variant,dir_mae,reg_mae,ret_mae_std
gating,0.4777476318658852,0.31955836205273985,0.9360456040131719
no_gating,0.5171495015479274,0.09473580985481286,0.9305370689859291
no_sentiment,0.4942367493201451,0.2089950357613401,0.9449395577512314
