date,account_value,fold,split
2012-01-03,10000.0,fold1,val
2012-01-04,10005.654761962893,fold1,val
2012-01-05,10032.17447631836,fold1,val
2012-01-06,10006.434928588867,fold1,val
2012-01-09,10030.615333251953,fold1,val
2012-01-10,10117.195380859375,fold1,val
2012-01-11,10122.654761962891,fold1,val
2012-01-12,10146.834571533203,fold1,val
2012-01-13,10094.574714355469,fold1,val
2012-01-17,10133.574714355469,fold1,val
2012-01-18,10245.115333251953,fold1,val
2012-01-19,10298.935523681641,fold1,val
2012-01-20,10337.154761962891,fold1,val
2012-01-23,10310.635047607422,fold1,val
2012-01-24,10298.935523681641,fold1,val
2012-01-25,10384.734809570313,fold1,val
2012-01-26,10331.695380859375,fold1,val
2012-01-27,10327.015571289063,fold1,val
2012-01-30,10291.914619140625,fold1,val
2012-01-31,10288.015571289063,fold1,val
2012-02-01,10377.715095214844,fold1,val
2012-02-02,10394.094428710938,fold1,val
2012-02-03,10539.17447631836,fold1,val
2012-02-06,10532.154761962891,fold1,val
2012-02-07,10558.67447631836,fold1,val
2012-02-08,10589.875190429688,fold1,val
2012-02-09,10603.135047607422,fold1,val
2012-02-10,10525.135047607422,fold1,val
2012-02-13,10603.135047607422,fold1,val
2012-02-14,10589.875190429688,fold1,val
2012-02-15,10540.734809570313,fold1,val
2012-02-16,10656.95523803711,fold1,val
2012-02-17,10685.035285644532,fold1,val
2012-02-21,10689.715095214844,fold1,val
2012-02-22,10655.394904785157,fold1,val
2012-02-23,10702.195380859375,fold1,val
2012-02-24,10725.594428710938,fold1,val
2012-02-27,10743.535285644532,fold1,val
2012-02-28,10774.734809570313,fold1,val
2012-02-29,10732.615333251953,fold1,val
2012-03-01,10787.994666748047,fold1,val
2012-03-02,10755.234809570313,fold1,val
2012-03-05,10711.555,fold1,val
2012-03-06,10555.555,fold1,val
2012-03-07,10628.875190429688,fold1,val
2012-03-08,10734.17447631836,fold1,val
2012-03-09,10775.515571289063,fold1,val
2012-03-12,10776.295142822266,fold1,val
2012-03-13,10969.734809570313,fold1,val
2012-03-14,10958.035285644532,fold1,val
2012-03-15,11021.215095214844,fold1,val
2012-03-16,10988.45523803711,fold1,val
2012-03-19,11031.355476074219,fold1,val
2012-03-20,10999.375190429688,fold1,val
2012-03-21,10981.435523681641,fold1,val
2012-03-22,10902.654761962891,fold1,val
2012-03-23,10937.754523925782,fold1,val
2012-03-26,11090.635047607422,fold1,val
2012-03-27,11056.314857177735,fold1,val
2012-03-28,11001.715095214844,fold1,val
2012-03-29,10982.994666748047,fold1,val
2012-03-30,11028.234809570313,fold1,val
2012-04-02,11108.574714355469,fold1,val
2012-04-03,11063.334571533203,fold1,val
2012-04-04,10954.135047607422,fold1,val
2012-04-05,10948.67447631836,fold1,val
