fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
fold1,val,1260,250,250,0.1158242639878222,0.11729857391976761,0.12705841982806892,0.923186153884898,1.4276663509261736,1.2108909112318955,-0.09686964600339953,0.9238739020745059,0.9350049129428734,249.0
fold1,test,1260,252,252,0.25968868044561577,0.2608478490620265,0.10850862146932283,2.403936623006242,3.3529684624043052,4.313148547728561,-0.060477362691205516,2.880313731870901,2.891789085384331,125.0
fold2,val,1259,252,252,-0.14864722489065485,-0.1491928949263165,0.10862743834305776,-1.37343655711689,-2.313539673107615,-0.9622532900277427,-0.15504534665920977,5.0531402180413085,5.073272250782509,83.0
fold2,test,1259,252,252,-0.03239405585620225,-0.03252099417949972,0.11201560412816466,-0.290325570554351,-0.46610073481033315,-0.2558503989971727,-0.1271094135751537,5.045030940503502,5.065130665366066,83.0
fold3,val,1258,252,252,0.12253693061597204,0.12305400359798835,0.11240557779580165,1.0947321833221733,1.4411190841847743,1.597090355851291,-0.07704886774073427,0.947645325850123,0.95142080523598,251.0
fold3,test,1258,252,252,-0.008586222151575229,-0.00862028234174994,0.15586715423924297,-0.05530531678610449,-0.07771711885664094,-0.07016510025700619,-0.12285712284561556,0.9973210350370155,1.0012944256148522,251.0
fold4,val,1258,252,252,-0.011343197285619278,-0.011388130999876456,0.1558453379115576,-0.07307328632659664,-0.10265376381702705,-0.09269410463231312,-0.12285712284561578,5.091588251911481,5.111873464070491,83.0
fold4,test,1258,252,252,0.07888497702848918,0.07921139159146273,0.12978722772299808,0.610317309192564,0.8047862702038578,0.8621624788758775,-0.09187524803299463,26.106100332198466,26.21010870005583,18.384615384615383
fold5,val,1258,252,252,0.062333262878575546,0.0625892173265532,0.12817522044351956,0.48830980832315524,0.7739380977948022,0.6812413426527665,-0.09187524803299463,29.69118295163116,29.809474517175506,15.8
fold5,test,1258,251,251,-0.14421601800619832,-0.1452815739215091,0.06723851514834679,-2.1606898010906055,-3.054191528109509,-0.978602302174399,-0.14845823844753037,5.0691929151947255,5.109746458516283,82.66666666666667
fold6,val,1258,251,251,-0.07563830813597727,-0.07621974719355895,0.05282375726386424,-1.4429065848691431,-2.084471795741975,-0.9331690101978515,-0.08167839518952602,186.19767737944045,187.68725879847597,1.6881720430107527
fold6,test,1258,251,251,-0.19491888863981066,-0.1963140898625414,0.16733252831391202,-1.173197416190716,-1.486674931067945,-0.7772404288029751,-0.25257833044645395,91.58985049750285,92.32256930148287,4.5777777777777775
fold7,val,1259,251,251,-0.07106415010466038,-0.07161180508012088,0.17113466787055898,-0.4184529410153521,-0.5142744830219513,-0.35489190141085114,-0.20178483869435315,0.9806748159235266,0.9885202144509148,250.0
fold7,test,1259,252,252,0.2852271755515856,0.2865127149213478,0.12570241285813885,2.279293677876263,2.8178423732108144,4.329052939876455,-0.06618369396275492,0.8605957370124182,0.8640244052873681,251.0
fold8,val,1258,252,252,0.2866885395603824,0.2879813719653763,0.12284122933295656,2.344338082003507,2.8855701829370792,4.351243557475626,-0.06618369396275503,25.092243712790133,25.192212811247465,18.384615384615383
fold8,test,1258,112,112,-0.01621446328860421,-0.03643267367089176,0.44179016932744775,-0.08246601260130904,-0.09949948668257699,-0.11411054957594292,-0.31927524498201687,47.13127390354273,107.00072994317807,3.8260869565217392
