strategy,total_return_mean,total_return_std,total_return_min,total_return_max,annualized_return_mean,annualized_return_std,annualized_return_min,annualized_return_max,annualized_volatility_mean,annualized_volatility_std,annualized_volatility_min,annualized_volatility_max,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_min,sharpe_ratio_max,sortino_ratio_mean,sortino_ratio_std,sortino_ratio_min,sortino_ratio_max,calmar_ratio_mean,calmar_ratio_std,calmar_ratio_min,calmar_ratio_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,turnover_mean,turnover_std,turnover_min,turnover_max,annualized_turnover_mean,annualized_turnover_std,annualized_turnover_min,annualized_turnover_max,average_holding_time_days_mean,average_holding_time_days_std,average_holding_time_days_min,average_holding_time_days_max
buy_hold,1.0581267313178555,0.0,1.0581267313178555,1.0581267313178555,0.1019848892724483,0.0,0.1019848892724484,0.1019848892724484,0.1686839845515771,0.0,0.1686839845515771,0.1686839845515771,0.6045914171612738,0.0,0.6045914171612738,0.6045914171612738,0.6852637390981535,0.0,0.6852637390981535,0.6852637390981535,0.299034294527051,0.0,0.299034294527051,0.299034294527051,-0.3410474689324395,0.0,-0.3410474689324395,-0.3410474689324395,,,,,,,,,,,,
momentum_126,0.4910547158332128,0.0,0.4910547158332128,0.4910547158332128,0.0552185952889581,0.0,0.0552185952889581,0.0552185952889581,0.116876924321292,0.0,0.116876924321292,0.116876924321292,0.4724507905184382,0.0,0.4724507905184382,0.4724507905184382,0.486412212464634,0.0,0.486412212464634,0.486412212464634,0.2539162490620293,0.0,0.2539162490620293,0.2539162490620293,-0.2174677496731165,0.0,-0.2174677496731165,-0.2174677496731165,,,,,,,,,,,,
rl_only_stitched,0.6649419047297138,0.2741498699368319,0.2489792310287584,1.017165624724389,0.0695596771599083,0.0247553761187197,0.0303644783833159,0.0990083696668833,0.162190338255162,0.0046577147751559,0.1552375034738136,0.1682024296954369,0.4304149612894744,0.1604152891705751,0.1879466556730722,0.6377864076098378,0.5488761390001691,0.2353243247307775,0.2288399406512161,0.8892356094518635,0.2081197718545021,0.0740511620219567,0.0842797830139713,0.2791370664128869,-0.3370053366225889,0.0225913061393344,-0.3602818765952719,-0.305625158823859,162.2876191860803,40.75293308332671,132.6512991599759,232.30505967675288,21.834746414784963,5.48304278537017,17.84737180369137,31.255138835313254,24.304203168307644,6.675795811537391,14.307692307692308,32.74545454545454
