date,account_value,strategy,seed
2013-01-02,10000.0,buy_hold,990969250
2013-01-02,10000.0,momentum_126,990969250
2013-01-02,10000.0,rl_only_stitched,990969250
2013-01-03,9977.406419514537,buy_hold,990969250
2013-01-03,9977.406419514537,momentum_126,990969250
2013-01-03,9967.42901309502,rl_only_stitched,990969250
2013-01-04,10021.22398766092,buy_hold,990969250
2013-01-04,10021.22398766092,momentum_126,990969250
2013-01-04,10011.202763673258,rl_only_stitched,990969250
2013-01-07,9993.83839932939,buy_hold,990969250
2013-01-07,9993.83839932939,momentum_126,990969250
2013-01-07,9983.844560930062,rl_only_stitched,990969250
2013-01-08,9965.083218173317,buy_hold,990969250
2013-01-08,9965.083218173317,momentum_126,990969250
2013-01-08,9955.118134955144,rl_only_stitched,990969250
2013-01-09,9990.414939614642,buy_hold,990969250
2013-01-09,9990.414939614642,momentum_126,990969250
2013-01-09,9980.424524675029,rl_only_stitched,990969250
2013-01-10,10069.8346083466,buy_hold,990969250
2013-01-10,10069.8346083466,momentum_126,990969250
2013-01-10,10059.76477373825,rl_only_stitched,990969250
2013-01-11,10069.15033428094,buy_hold,990969250
2013-01-11,10069.15033428094,momentum_126,990969250
2013-01-11,10059.08118394666,rl_only_stitched,990969250
2013-01-14,10062.303414851443,buy_hold,990969250
2013-01-14,10062.303414851443,momentum_126,990969250
2013-01-14,10052.241111436591,rl_only_stitched,990969250
2013-01-15,10069.15033428094,buy_hold,990969250
2013-01-15,10069.15033428094,momentum_126,990969250
2013-01-15,10059.08118394666,rl_only_stitched,990969250
2013-01-16,10067.780741456394,buy_hold,990969250
2013-01-16,10067.780741456394,momentum_126,990969250
2013-01-16,10057.712960714938,rl_only_stitched,990969250
2013-01-17,10132.822297263698,buy_hold,990969250
2013-01-17,10132.822297263698,momentum_126,990969250
2013-01-17,10122.689474966432,rl_only_stitched,990969250
2013-01-18,10155.415877749165,buy_hold,990969250
2013-01-18,10155.415877749165,momentum_126,990969250
2013-01-18,10145.260461871412,rl_only_stitched,990969250
2013-01-22,10210.18809910545,buy_hold,990969250
2013-01-22,10210.18809910545,momentum_126,990969250
2013-01-22,10199.977911006345,rl_only_stitched,990969250
2013-01-23,10226.619034227077,buy_hold,990969250
2013-01-23,10226.619034227077,momentum_126,990969250
2013-01-23,10216.392415192846,rl_only_stitched,990969250
2013-01-24,10229.358219876169,buy_hold,990969250
2013-01-24,10229.358219876169,momentum_126,990969250
2013-01-24,10219.128861656289,rl_only_stitched,990969250
2013-01-25,10286.868582188315,buy_hold,990969250
2013-01-25,10286.868582188315,momentum_126,990969250
2013-01-25,10276.581713606123,rl_only_stitched,990969250
2013-01-28,10274.545380847096,buy_hold,990969250
2013-01-28,10274.545380847096,momentum_126,990969250
2013-01-28,10264.270835466248,rl_only_stitched,990969250
2013-01-29,10314.939489278731,buy_hold,990969250
2013-01-29,10314.939489278731,momentum_126,990969250
2013-01-29,10304.62454978945,rl_only_stitched,990969250
2013-01-30,10274.545380847096,buy_hold,990969250
2013-01-30,10274.545380847096,momentum_126,990969250
2013-01-30,10264.270835466246,rl_only_stitched,990969250
2013-01-31,10249.21261471254,buy_hold,990969250
2013-01-31,10249.21261471254,momentum_126,990969250
2013-01-31,10238.963402097826,rl_only_stitched,990969250
