strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981535,0.299034294527051,-0.3410474689324395,,,,990969250
momentum_126,0.4910547158332128,0.0552185952889581,0.116876924321292,0.4724507905184382,0.486412212464634,0.2539162490620293,-0.2174677496731165,,,,990969250
rl_only_stitched,0.649750236513156,0.0696758930129457,0.1635490072758899,0.4260245548015454,0.5445366868522611,0.2154628717835336,-0.3233777236708611,134.6938713684117,18.122186644335155,26.53731343283582,990969250
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981535,0.299034294527051,-0.3410474689324395,,,,1073934622
momentum_126,0.4910547158332128,0.0552185952889581,0.116876924321292,0.4724507905184382,0.486412212464634,0.2539162490620293,-0.2174677496731165,,,,1073934622
rl_only_stitched,0.7144147524616762,0.0752235675395642,0.162403726145846,0.4631886799937708,0.5802278547139571,0.2461301544318145,-0.305625158823859,152.78914512500367,20.55678834570257,23.0,1073934622
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981535,0.299034294527051,-0.3410474689324395,,,,1952065516
momentum_126,0.4910547158332128,0.0552185952889581,0.116876924321292,0.4724507905184382,0.486412212464634,0.2539162490620293,-0.2174677496731165,,,,1952065516
rl_only_stitched,0.6943996789205895,0.0735260771968324,0.1682024296954369,0.4371285083691458,0.5015406033315475,0.2155889836303044,-0.3410474689324395,158.99872060025737,21.392246444882463,24.93055555555556,1952065516
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981535,0.299034294527051,-0.3410474689324395,,,,770305002
momentum_126,0.4910547158332128,0.0552185952889581,0.116876924321292,0.4724507905184382,0.486412212464634,0.2539162490620293,-0.2174677496731165,,,,770305002
rl_only_stitched,1.017165624724389,0.0990083696668833,0.1552375034738136,0.6377864076098378,0.8892356094518635,0.2791370664128869,-0.3546944550905132,132.6512991599759,17.84737180369137,32.74545454545454,770305002
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981535,0.299034294527051,-0.3410474689324395,,,,1017462198
momentum_126,0.4910547158332128,0.0552185952889581,0.116876924321292,0.4724507905184382,0.486412212464634,0.2539162490620293,-0.2174677496731165,,,,1017462198
rl_only_stitched,0.2489792310287584,0.0303644783833159,0.1615590246848235,0.1879466556730722,0.2288399406512161,0.0842797830139713,-0.3602818765952719,232.30505967675288,31.255138835313254,14.307692307692308,1017462198
