date,account_value,fold,split,seed
2012-01-03,10000.0,fold1,val,990969250
2012-01-04,10005.670349121094,fold1,val,990969250
2012-01-05,10032.310062184051,fold1,val,990969250
2012-01-06,10006.454045912798,fold1,val,990969250
2012-01-09,10030.743864171644,fold1,val,990969250
2012-01-10,10117.715676700367,fold1,val,990969250
2012-01-11,10123.199760885802,fold1,val,990969250
2012-01-12,10147.488981359147,fold1,val,990969250
2012-01-13,10094.992654239431,fold1,val,990969250
2012-01-17,10134.169124827667,fold1,val,990969250
2012-01-18,10246.214452406944,fold1,val,990969250
2012-01-19,10300.278173110066,fold1,val,990969250
2012-01-20,10338.670349121094,fold1,val,990969250
2012-01-23,10312.030636058134,fold1,val,990969250
2012-01-24,10300.278173110064,fold1,val,990969250
2012-01-25,10386.46569106158,fold1,val,990969250
2012-01-26,10333.18626493566,fold1,val,990969250
2012-01-27,10328.485279756433,fold1,val,990969250
2012-01-30,10293.225499770218,fold1,val,990969250
2012-01-31,10289.308809168197,fold1,val,990969250
2012-02-01,10379.414213292735,fold1,val,990969250
2012-02-02,10395.867661420036,fold1,val,990969250
2012-02-03,10541.604179831113,fold1,val,990969250
2012-02-06,10534.55270206227,fold1,val,990969250
2012-02-07,10561.19241512523,fold1,val,990969250
2012-02-08,10592.53430893842,fold1,val,990969250
2012-02-09,10605.854165469898,fold1,val,990969250
2012-02-10,10527.501224293428,fold1,val,990969250
2012-02-13,10605.8541654699,fold1,val,990969250
2012-02-14,10592.53430893842,fold1,val,990969250
2012-02-15,10543.171573414524,fold1,val,990969250
2012-02-16,10659.917886173029,fold1,val,990969250
2012-02-17,10688.124992819396,fold1,val,990969250
2012-02-21,10692.825977998624,fold1,val,990969250
2012-02-22,10658.350492589616,fold1,val,990969250
2012-02-23,10705.3627355239,fold1,val,990969250
2012-02-24,10728.867661420038,fold1,val,990969250
2012-02-27,10746.889698701749,fold1,val,990969250
2012-02-28,10778.230396943933,fold1,val,990969250
2012-02-29,10735.92033475988,fold1,val,990969250
2012-03-01,10791.550253475412,fold1,val,990969250
2012-03-02,10758.642161649816,fold1,val,990969250
