Date,Open,High,Low,Close,Adj Close,Volume,log_return,rolling_vol_20,rsi_14,macd,macd_signal,ma_10,ma_20,ma_50,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,Negative,Neutral,Positive
2009-01-02,90.44000244140624,93.44000244140624,89.8499984741211,92.95999908447266,68.16691589355469,227566300,0.0296963249685418,0.0207963057631847,65.35825480862977,0.227747027299614,-0.2000780282283946,64.74105415344238,64.78985137939453,64.77593330383301,0.0,1.0,9.137231986097976e-260,0.0,0.0,0.1888276947285602,0.6774193548387096,0.1337529504327301
2009-01-05,92.62999725341795,93.66000366210938,91.88999938964844,92.8499984741211,68.08626556396484,240349700,-0.0011838305446684,0.0198535360202356,62.9159162033712,0.4463732462097596,-0.0707877733407638,65.05483055114746,65.09185447692872,64.81904838562012,0.0,0.9999999999813554,1.8570536420090178e-11,1.2987459022484872e-175,4.3282038921602207e-129,0.150650289017341,0.6701589595375722,0.1791907514450867
2009-01-06,93.63999938964844,94.4499969482422,92.68000030517578,93.47000122070312,68.54088592529297,328260900,0.006654929627486,0.0189228693729163,68.7837321691617,0.6488407314879225,0.0731379276249734,65.44200782775879,65.32093772888183,64.85598075866699,0.0,0.9999999988046966,1.1953282729253282e-09,3.5899009615758176e-99,4.9694926515311125e-54,0.1368294153104279,0.6431585292344786,0.2200120554550934
2009-01-07,92.0,92.26000213623048,90.1999969482422,90.66999816894533,66.48766326904297,280899200,-0.0304140263304624,0.0189027922216088,48.51316490849385,0.6362850652501493,0.1857673551500086,65.70672569274902,65.3357048034668,64.9194960784912,0.0,0.9999999999822649,1.783490306384149e-11,3.3588449618110107e-97,7.053610638513256e-53,0.1639880952380952,0.6395833333333333,0.1964285714285714
2009-01-08,90.16000366210938,91.08999633789062,89.66999816894531,91.04000091552734,66.75900268554688,263834400,0.0040727441789909,0.0184942353467154,52.5584582528498,0.6408422025314167,0.2767823246262902,66.0645709991455,65.41859359741211,65.0333918762207,0.0,0.999999994179916,5.8201110457589275e-09,3.613484286138441e-99,7.177176289261268e-51,0.1789041095890411,0.6205479452054794,0.2005479452054794
2009-01-09,91.16000366210938,91.31999969482422,85.36000061035156,89.08999633789062,65.32909393310547,330953600,-0.0216516802015342,0.0191289563852426,51.66769410575357,0.5230427691236201,0.3260344135257562,66.24276313781738,65.40780067443848,64.97597549438477,0.0,0.9999999999613464,3.8566060291100816e-11,7.666838160514163e-101,8.133636905030836e-55,0.2189695550351288,0.6241217798594848,0.1569086651053864
2009-01-12,88.83999633789062,88.91000366210938,86.41000366210938,86.94999694824219,63.75982284545898,277858500,-0.0243142236588663,0.019124810671492,46.42029127849508,0.2996051459961535,0.3207485600198357,66.22736206054688,65.39746627807617,64.89706596374512,0.0,0.9999999999754436,2.445399989792135e-11,7.752148066609004e-104,1.0542947538557076e-55,0.1349527665317139,0.6577597840755736,0.2072874493927125
2009-01-13,86.7300033569336,87.87999725341797,86.19999694824219,87.11000061035156,63.877140045166016,356432300,0.0018382955859794,0.0189231446268868,50.15286715400463,0.1304915125139985,0.2826971505186683,66.2420265197754,65.35480861663818,64.7736587524414,0.0,0.99999999895158,1.0483508304189428e-09,2.8631596774975626e-104,3.565085327768012e-56,0.1522896698615548,0.6429712460063898,0.2047390841320553
2009-01-14,85.54000091552734,85.75,83.16000366210938,84.37000274658203,61.8679313659668,435491600,-0.0319595777922806,0.0199845699640255,45.07961811218748,-0.1637707617744155,0.1934035680600515,65.90470924377442,65.25678901672363,64.60235710144043,0.0,0.9999999999997726,1.190709638154136e-13,3.523003021440207e-88,1.90342802827042e-58,0.159966499162479,0.6474036850921273,0.1926298157453936
2009-01-15,84.12000274658203,85.25,81.72000122070312,84.4000015258789,61.889930725097656,532647300,0.0003555226147393,0.0165858642042898,43.623028939420266,-0.390696859570852,0.0765834825338708,65.47646522521973,65.0096649169922,64.42742164611816,0.0,0.9999974097333404,2.5902666991000448e-06,1.4345529047061873e-79,4.4203394353314135e-37,0.1847654190827622,0.6280969952556669,0.1871375856615709
2009-01-16,85.86000061035156,85.98999786376953,83.05000305175781,85.05999755859375,62.373905181884766,399237200,0.0077895052957956,0.0167205088270284,44.12746312889488,-0.5254279269944817,-0.0438187993717996,64.89716415405273,64.81910915374756,64.21415878295899,0.0,0.9999979549129868,2.045086969031519e-06,4.07041336507375e-93,1.5871955147023579e-40,0.1691542288557214,0.6499644633972992,0.1808813077469794
2009-01-20,84.2300033569336,85.05999755859375,80.05000305175781,80.56999969482422,59.0814323425293,419855200,-0.054230300235473,0.0200326695399616,35.66909104763266,-0.8876460789474052,-0.2125842552869208,63.99668083190918,64.52575569152832,63.99643775939941,0.0,1.0,1.4238713196735281e-16,6.0747706696818935e-127,8.079020280151497e-73,0.1645151606124287,0.6508555989192435,0.1846292404683278
2009-01-21,81.94000244140625,84.23999786376953,80.47000122070312,84.05000305175781,61.63328552246094,364360700,0.0422853725059745,0.0226261622588981,39.54961262203764,-0.9577529690704268,-0.361617998043622,63.30592079162598,64.37396430969238,63.90729377746582,0.0,1.0,1.7896528498947485e-18,2.757488938857921e-151,3.50620309834163e-98,0.1455627705627705,0.6739718614718615,0.1804653679653679
2009-01-22,82.41999816894531,84.04000091552734,81.16999816894531,82.75,60.68000793457031,427940300,-0.0155877887527055,0.0226997396018139,34.11111219014357,-1.0778103917726582,-0.5048564767894292,62.72515525817871,64.21594047546387,63.755440139770506,0.0,1.0,1.7618655418411536e-18,2.1492916907964463e-143,3.6532929311660832e-99,0.1530398322851153,0.6425576519916143,0.2044025157232704
2009-01-23,80.9000015258789,83.98999786376953,80.56999969482422,83.11000061035156,60.94399642944336,386800600,0.004341065907541,0.0226705284141862,26.77981424783421,-1.1385308243070753,-0.6315913462929584,62.14365463256836,64.10411281585694,63.62676071166992,0.0,1.0,1.4534520919216193e-17,1.2886271865957309e-142,1.8042123182341832e-97,0.1817168338907469,0.6555183946488294,0.1627647714604236
2009-01-26,83.58999633789062,85.36000061035156,82.80999755859375,83.68000030517578,61.36195755004883,317978800,0.0068347081075156,0.0226902068748257,28.84162266115836,-1.1397874746568846,-0.7332305719657437,61.74694099426269,63.99485206604004,63.54804725646973,0.0,1.0,1.4180625279061978e-17,2.8599021251464182e-142,6.78392710089277e-97,0.1304713804713804,0.6618967452300786,0.2076318742985409
