fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
fold1,val,1241,231,231,0.09787189131588758,0.10772133660343242,0.1293222175469219,0.8329685234816511,1.2762758074782259,1.2876888215183573,-0.08365478895469058,27.68758692978757,30.33596481002812,15.5
fold1,test,1241,233,233,-0.09696816978540246,-0.10487361886897595,0.10539718630840246,-0.9950324343773799,-1.5911412852524267,-0.6520941753552404,-0.1608258788875765,55.611298806489046,60.40537628980707,7.321428571428571
fold2,val,1240,233,233,0.06876393415668525,0.07490875314335521,0.10773739968984773,0.6952901532708329,1.03740814353423,0.8086014840200163,-0.09263989075427037,39.19563954015257,42.574573983269175,10.05
fold2,test,1240,233,233,0.0961620510745389,0.10487269875850136,0.10376945517026773,1.01063167949011,1.3982289436616635,1.7404598202694086,-0.06025574249813359,37.130308307373966,40.33119695456138,11.210526315789474
fold3,val,1239,233,233,0.11060568406092641,0.12069508880093816,0.10857462325504698,1.1116325821128537,1.6690134598653719,1.7997534659448646,-0.06706201215041063,9.194567612711884,9.98720275173877,45.0
fold3,test,1239,233,233,0.02113877281694032,0.022981868537790273,0.15442239716104633,0.14882471040662967,0.20296388577307806,0.18706175112589668,-0.12285712284561567,0.9669736957025211,1.0503334970561868,232.0
fold4,val,1239,233,233,0.02113877281694032,0.022981868537790273,0.15442239716104633,0.14882471040662967,0.20296388577307806,0.18706175112589668,-0.12285712284561567,0.9669736957025211,1.0503334970561868,232.0
fold4,test,1239,233,233,0.15314472408341895,0.1673971483091825,0.11845837501452293,1.4131305472378775,1.8968529437049149,2.783881139677682,-0.06013085326213452,0.9191553270912795,0.9983928552888036,232.0
fold5,val,1239,233,233,0.12594461547699454,0.13751766963625722,0.11233970906394193,1.224123426899605,2.0762342285008586,1.6103055257960033,-0.08539849577196212,18.945846466038727,20.579109092421376,22.3
fold5,test,1239,232,232,-0.15191310914937417,-0.16452217488981635,0.06782408193591358,-2.425719157470823,-3.5409300886746156,-1.0538377709861404,-0.15611717421730187,1.0835930114750685,1.1821014670637109,231.0
fold6,val,1239,232,232,-0.05936864873703995,-0.06458778666943765,0.06248412316593855,-1.0336671685047483,-1.5327114191765734,-0.7854658165165477,-0.08222864103224403,51.0484556127816,55.68922430485265,7.5
fold6,test,1239,232,232,-0.015750895545461385,-0.017170433958788478,0.1708895155295381,-0.10047681337021863,-0.14302261903928612,-0.08043180759998188,-0.2134781558582347,21.35405732703663,23.295335265858142,19.90909090909091
fold7,val,1240,232,232,0.00929427253144377,0.010143477866409567,0.16314578589550172,0.0621743173489426,0.08494421033765595,0.05685887903978126,-0.17839742952569804,43.53318214588051,47.49074415914237,9.0
fold7,test,1240,233,233,-0.014166221819386204,-0.015378011242626277,0.11385247092751834,-0.13506963105277134,-0.17109281296828327,-0.14833261408997483,-0.10367248859578759,42.71893122779468,46.401597712949396,9.590909090909092
fold8,val,1239,233,233,-0.17231146887965876,-0.18569612585571038,0.11732874476653579,-1.5826993310566309,-2.10614293114692,-0.878679323026303,-0.21133549064992807,15.278556840337426,16.595673809332034,28.125
fold8,test,1239,93,93,0.16269319732587761,0.5111846520147798,0.4944791191114864,1.0337841018106306,1.328526717794194,2.704595774235456,-0.18900593459637538,8.989189676342823,24.622563026504256,17.4
