fold,split,train_rows_mean,train_rows_std,train_rows_min,train_rows_max,eval_rows_mean,eval_rows_std,eval_rows_min,eval_rows_max,account_points_mean,account_points_std,account_points_min,account_points_max,total_return_mean,total_return_std,total_return_min,total_return_max,annualized_return_mean,annualized_return_std,annualized_return_min,annualized_return_max,annualized_volatility_mean,annualized_volatility_std,annualized_volatility_min,annualized_volatility_max,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_min,sharpe_ratio_max,sortino_ratio_mean,sortino_ratio_std,sortino_ratio_min,sortino_ratio_max,calmar_ratio_mean,calmar_ratio_std,calmar_ratio_min,calmar_ratio_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,turnover_mean,turnover_std,turnover_min,turnover_max,annualized_turnover_mean,annualized_turnover_std,annualized_turnover_min,annualized_turnover_max,average_holding_time_days_mean,average_holding_time_days_std,average_holding_time_days_min,average_holding_time_days_max
fold1,test,1241.0,0.0,1241,1241,233.0,0.0,233,233,233.0,0.0,233,233,0.034049513377122684,0.05890061075933837,-0.0569858943931962,0.0902977862046787,0.03716606454661756,0.06405846348666425,-0.0617437174684745,0.0984537591215477,0.10379340182595662,0.004362842879356199,0.1000558223683331,0.110311880074153,0.3501345416104599,0.6276615819353414,-0.6170926989253943,0.9781892876934336,0.49019776871835774,0.9177509075914804,-0.946021657776332,1.3357138728781452,0.5813110842158296,0.8702233721289985,-0.5030915282757105,1.8400638279864776,-0.0940058398630058,0.02643126352582635,-0.1227285970807223,-0.0535056217203522,56.06486226784523,33.41334892719866,23.323908088252637,111.45120219505098,60.89804004955603,36.293810041612346,25.334589819998552,121.05906445324504,9.068692564745195,5.16469060740408,3.1607142857142856,16.75
fold1,val,1241.0,0.0,1241,1241,231.0,0.0,231,231,231.0,0.0,231,231,0.14896801734285675,0.062278601561416076,0.0877891387346512,0.2330331904050682,0.16447384194759232,0.06920657521521197,0.0965799474920325,0.257988587470696,0.12617975878390802,0.005930498213360428,0.1157622183892596,0.1300595728317649,1.3232976596057675,0.6203435649051715,0.7555938890292172,2.2286078399360743,2.0255811555374814,0.9396256624151874,1.1438173271244714,3.330363509982205,1.7374998287727081,0.7834887027451066,0.9970093984718688,2.861312659735608,-0.09552860017831952,0.0029986696258217987,-0.0968696460033998,-0.0901644168779984,21.053066745783152,8.454370660219006,9.272795126099837,31.641924966964726,23.066838347553713,9.263049592935607,10.159758138161555,34.668543876848304,23.55551282051282,12.718715692986729,11.875,44.8
fold2,test,1240.0,0.0,1240,1240,233.0,0.0,233,233,233.0,0.0,233,233,-0.0243564578092199,0.11509502123362829,-0.1232646562241281,0.1672115640253806,-0.025935831119256365,0.1253026741580301,-0.1331511316919432,0.1828735988675549,0.10022028655470103,0.008570826257650654,0.0851845498059174,0.1066599832449987,-0.2956948175610827,1.2090980610169566,-1.2835066409361695,1.7145474179148612,-0.534762503847403,1.9376260444657307,-2.2110098595229486,2.637248888509646,0.0007682758504904186,1.3349527008919604,-0.7906625089865262,2.328236676285096,-0.11756429519964848,0.03573916521104117,-0.1684045091029,-0.0785459660223829,22.273827107082475,14.626350679397714,5.958405294711061,41.14628483404717,24.193984616313724,15.887242979345793,6.472060923565463,44.69337835422365,28.83137254901961,25.5292097168817,9.095238095238097,71.33333333333333
fold2,val,1240.0,0.0,1240,1240,233.0,0.0,233,233,233.0,0.0,233,233,-0.0108016326688067,0.1812274113324901,-0.1861561583136708,0.2114636472367645,-0.010498834923073758,0.19702828823704907,-0.2004804165718972,0.231664195176382,0.10499472990905465,0.0027625414721432423,0.1022267121740533,0.1083469853040118,-0.07787901079401945,1.868679952349083,-1.850355282238516,2.208540321484377,-0.18793942905964495,3.2241000816284098,-3.211434019879479,3.9279110283261622,0.42468903204745556,1.9776214813944448,-1.0536530609376311,2.937275531158762,-0.11912825376425853,0.050954694552248915,-0.1902717545313184,-0.0756237878152099,21.974566082457915,12.12659603288188,4.95710201197194,34.87692443277765,23.868925227497392,13.17199224261308,5.384438392314348,37.883555849396416,28.34722222222222,26.531958658322107,10.61111111111111,74.33333333333333
fold3,test,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.0505738912660908,0.04613412116658841,0.0080475936467343,0.1217187108429012,0.055127226044205134,0.05038549619691621,0.0087443765071297,0.1328810333843626,0.14966902458133494,0.008603069668364069,0.1344643975036539,0.1544223971610463,0.383622078228979,0.3761766091364633,0.0567692921806192,0.9882246591016908,0.5633280201439995,0.5960777719257021,0.0773915089712623,1.550692483851932,0.5434084465254442,0.5902831592885579,0.0711751692095061,1.526592413693255,-0.11419267649512885,0.015292125373257361,-0.1228571228456156,-0.0870442117964455,11.74052134474005,14.114576247720317,0.9669736957025212,35.187912127685614,12.752635253769364,15.331350062178965,1.0503334970561868,38.22135282834817,92.79722222222223,87.89921913057836,11.944444444444445,232.0
fold3,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.14222404078509612,0.056469819177316694,0.0698214841188631,0.2112202861846632,0.15549927779733147,0.06203232676588406,0.0760641249790652,0.2313954493060812,0.10689687397828607,0.0030227563479623054,0.1018682205416347,0.1096507509194102,1.4554067198645415,0.5728400984780331,0.7039828327049673,2.1102951631963687,2.099923063581527,0.9216991509930064,0.9370391757324592,3.223102088792903,2.643287771425215,1.3971452153301942,0.8180753113767485,4.387813156719786,-0.06501622280328148,0.016549914913203238,-0.0929793674509698,-0.0527359395309955,22.744096732366707,20.180434905246667,7.857950578342432,57.787227232210654,24.70479472653625,21.92012756949207,8.535360110958159,62.768884752228814,28.543304970891178,17.631068375100487,6.482758620689655,54.0
fold4,test,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.10070146644455065,0.05685397156247765,0.0137869315924454,0.1531447240834189,0.1099556140659724,0.06217523574101412,0.0149843224311485,0.1673971483091825,0.11087908522284007,0.005128581796551096,0.1042190480190699,0.1184583750145229,0.977378286926154,0.5406803229267272,0.1437771953972055,1.4131305472378777,1.3627473662049532,0.7828409949489623,0.2050340905137676,1.9887156331223803,1.6202532179922506,0.9940474652768504,0.1794612948473837,2.783881139677682,-0.07161401865646852,0.010104644805522221,-0.0834961234615598,-0.0601308532621345,31.273240642259434,33.132557210222,0.9191553270912796,79.32551471464333,33.96920966314387,35.9888121421377,0.9983928552888036,86.16392115556087,67.93369696969697,95.94393333658726,4.5,232.0
fold4,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.06067536321061036,0.03495867833008016,0.0211387728169403,0.097596106212171,0.06611869825124142,0.03815908057192327,0.0229818685377902,0.1064428459425597,0.14856397031682697,0.005524760538395689,0.1402678486479628,0.1544223971610463,0.44953343873911733,0.26382874757472924,0.1488247104066296,0.7028308879602393,0.6365297151867788,0.3714748535812366,0.202963885773078,0.9811757923404508,0.6699990982697495,0.5104141838584023,0.1870617511258966,1.430514373096915,-0.11096682868425685,0.023557697072337666,-0.1228571228456156,-0.0689154743717078,26.858404419560724,37.9882495550519,0.9669736957025212,93.36533329427355,29.17378411090217,41.26309865462534,1.0503334970561868,101.41406892309024,69.33510638297872,92.99796248497503,3.425531914893617,232.0
fold5,test,1239.0,0.0,1239,1239,232.0,0.0,232,232,232.0,0.0,232,232,-0.07270729367235068,0.02806671637451757,-0.11882199250659,-0.0438362515900038,-0.07901520308962526,0.03037421314224735,-0.1288971477032618,-0.0477247856400769,0.06005690061834155,0.006207383538362216,0.0504323549133884,0.0673018958244187,-1.304392371107026,0.4521508415019442,-2.074849457128172,-0.9463128525732856,-1.7663171534759694,0.8010112550634482,-3.122565005950316,-0.9847553823191668,-0.881785079379835,0.1701431779730559,-1.0463272121741929,-0.638054293779091,-0.08784837942726002,0.020124199502506386,-0.1231900940771891,-0.074797373993694,21.380655509937338,16.55753636581077,5.0576877369929045,48.04060251737975,23.324351465386183,18.06276694452083,5.517477531264986,52.40793001895972,25.232326007326005,18.512425942095284,8.416666666666666,56.66666666666666
fold5,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.09869394609327749,0.0424771709797251,0.0586867545173486,0.1620133912567938,0.1077066225840512,0.046555970376402696,0.0639044051182149,0.1771526438407096,0.10972675956040448,0.003590253297581315,0.1065158489334545,0.1154336650468434,0.9861200430825832,0.4360335905033739,0.5536028427433392,1.6423129907082683,1.3183318975734992,0.583256097661375,0.7308284924508881,2.195191941538849,1.6647634222954775,1.0591087851593992,0.860175171017315,3.3314519966597267,-0.07077345334910222,0.012683533911397801,-0.083289929999476,-0.053175805630197,39.55815298938043,16.19860286788282,21.269283832660683,53.31535145580393,42.96833859191323,17.595034149596856,23.102842783752124,57.91150244337324,11.210198912198912,4.857604015751684,7.111111111111111,16.916666666666668
