market_date,total_news_count,market_hours_news_count,outside_market_hours_news_count,score_0_count,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count,score_6_count,score_7_count,score_8_count,score_9_count,score_10_count,sentiment_score_histogram
1999-11-25,43,0,43,0,0,0,0,0,43,0,0,0,0,0,5:43
1999-11-26,11,0,11,0,0,0,0,0,11,0,0,0,0,0,5:11
1999-11-28,46,0,46,0,0,0,0,0,46,0,0,0,0,0,5:46
1999-11-29,37,0,37,1,0,0,0,0,35,0,0,0,0,1,"0:1, 5:35, 10:1"
1999-11-30,30,0,30,0,0,0,0,0,30,0,0,0,0,0,5:30
1999-12-01,41,0,41,0,0,0,0,0,41,0,0,0,0,0,5:41
1999-12-02,37,0,37,0,0,0,0,0,37,0,0,0,0,0,5:37
1999-12-03,14,0,14,0,0,0,0,0,14,0,0,0,0,0,5:14
1999-12-04,2,0,2,0,0,0,0,0,2,0,0,0,0,0,5:2
1999-12-05,32,0,32,0,0,0,0,0,32,0,0,0,0,0,5:32
1999-12-06,39,0,39,0,0,0,0,0,39,0,0,0,0,0,5:39
1999-12-07,31,0,31,0,0,0,0,0,31,0,0,0,0,0,5:31
1999-12-08,32,0,32,0,0,0,0,0,32,0,0,0,0,0,5:32
1999-12-09,35,0,35,0,0,0,0,0,34,0,0,0,0,1,"5:34, 10:1"
1999-12-10,18,0,18,0,0,0,0,0,18,0,0,0,0,0,5:18
1999-12-11,6,0,6,0,0,0,0,0,6,0,0,0,0,0,5:6
1999-12-12,24,0,24,0,0,0,0,0,24,0,0,0,0,0,5:24
1999-12-13,36,0,36,0,0,0,0,0,36,0,0,0,0,0,5:36
1999-12-14,40,0,40,0,0,0,0,0,40,0,0,0,0,0,5:40
1999-12-15,37,0,37,0,0,0,0,0,37,0,0,0,0,0,5:37
1999-12-16,38,0,38,0,0,0,0,0,38,0,0,0,0,0,5:38
1999-12-17,29,0,29,0,0,0,0,0,29,0,0,0,0,0,5:29
1999-12-18,34,0,34,0,0,0,0,0,34,0,0,0,0,0,5:34
1999-12-19,28,0,28,0,0,0,0,0,28,0,0,0,0,0,5:28
1999-12-20,34,0,34,0,0,0,0,0,34,0,0,0,0,0,5:34
1999-12-21,34,0,34,0,0,0,0,0,34,0,0,0,0,0,5:34
1999-12-22,40,0,40,0,0,0,0,0,40,0,0,0,0,0,5:40
1999-12-23,41,0,41,0,0,0,0,0,41,0,0,0,0,0,5:41
1999-12-24,13,0,13,0,0,0,0,0,13,0,0,0,0,0,5:13
1999-12-25,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5:1
1999-12-26,30,0,30,0,0,0,0,0,30,0,0,0,0,0,5:30
1999-12-27,42,0,42,0,0,0,0,0,42,0,0,0,0,0,5:42
1999-12-28,36,0,36,0,0,0,0,0,36,0,0,0,0,0,5:36
1999-12-29,30,0,30,0,0,0,0,0,30,0,0,0,0,0,5:30
1999-12-30,21,0,21,0,0,0,0,0,21,0,0,0,0,0,5:21
1999-12-31,3,0,3,0,0,0,0,0,3,0,0,0,0,0,5:3
2000-01-01,8,0,8,0,0,0,0,0,8,0,0,0,0,0,5:8
2000-01-02,10,0,10,0,0,0,0,0,10,0,0,0,0,0,5:10
2000-01-03,8,0,8,0,0,0,0,0,8,0,0,0,0,0,5:8
2000-01-04,11,0,11,0,0,0,0,0,11,0,0,0,0,0,5:11
2000-01-05,17,0,17,0,0,0,0,0,17,0,0,0,0,0,5:17
2000-01-07,3,0,3,0,0,0,0,0,3,0,0,0,0,0,5:3
2000-01-09,29,0,29,0,0,0,0,0,29,0,0,0,0,0,5:29
2000-01-10,38,0,38,0,0,0,0,0,38,0,0,0,0,0,5:38
2000-01-11,36,0,36,0,0,0,0,0,36,0,0,0,0,0,5:36
2000-01-12,31,0,31,0,0,0,0,0,31,0,0,0,0,0,5:31
2000-01-13,35,0,35,0,0,0,0,0,35,0,0,0,0,0,5:35
2000-01-14,12,0,12,0,0,0,0,0,12,0,0,0,0,0,5:12
2000-01-15,7,0,7,0,0,0,0,0,7,0,0,0,0,0,5:7
2000-01-16,42,0,42,1,0,0,0,0,41,0,0,0,0,0,"0:1, 5:41"
2000-01-17,42,0,42,0,0,0,0,0,42,0,0,0,0,0,5:42
2000-01-18,36,0,36,0,0,0,0,0,35,0,0,0,0,1,"5:35, 10:1"
2000-01-19,38,0,38,0,0,0,0,0,38,0,0,0,0,0,5:38
2000-01-20,38,0,38,0,0,0,0,0,38,0,0,0,0,0,5:38
2000-01-21,13,0,13,0,0,0,0,0,13,0,0,0,0,0,5:13
2000-01-23,29,0,29,0,0,0,0,0,29,0,0,0,0,0,5:29
2000-01-24,32,0,32,0,0,0,0,0,32,0,0,0,0,0,5:32
2000-01-25,33,0,33,0,0,0,0,0,33,0,0,0,0,0,5:33
2000-01-26,34,0,34,0,0,0,0,0,34,0,0,0,0,0,5:34
2000-01-27,34,0,34,0,0,0,0,0,34,0,0,0,0,0,5:34
2000-01-28,18,0,18,0,0,0,0,0,18,0,0,0,0,0,5:18
2000-01-30,45,0,45,0,0,0,0,0,45,0,0,0,0,0,5:45
2000-01-31,38,0,38,0,0,0,0,0,38,0,0,0,0,0,5:38
2000-02-01,46,0,46,0,0,0,0,0,46,0,0,0,0,0,5:46
2000-02-02,41,0,41,0,0,0,0,0,41,0,0,0,0,0,5:41
2000-02-03,31,0,31,0,0,0,0,0,31,0,0,0,0,0,5:31
2000-02-04,16,0,16,0,0,0,0,0,16,0,0,0,0,0,5:16
2000-02-06,28,0,28,0,0,0,0,0,28,0,0,0,0,0,5:28
2000-02-07,43,0,43,0,0,0,0,0,43,0,0,0,0,0,5:43
2000-02-08,36,0,36,0,0,0,0,0,35,0,0,0,0,1,"5:35, 10:1"
2000-02-09,47,0,47,0,0,0,0,0,47,0,0,0,0,0,5:47
2000-02-10,42,0,42,0,0,0,0,0,41,0,0,0,0,1,"5:41, 10:1"
2000-02-11,17,0,17,0,0,0,0,0,17,0,0,0,0,0,5:17
2000-02-13,44,0,44,0,0,0,0,0,44,0,0,0,0,0,5:44
2000-02-14,48,0,48,0,0,0,0,0,48,0,0,0,0,0,5:48
2000-02-15,40,0,40,0,0,0,0,0,40,0,0,0,0,0,5:40
2000-02-16,52,0,52,0,0,0,0,0,52,0,0,0,0,0,5:52
2000-02-17,57,0,57,0,0,0,0,0,57,0,0,0,0,0,5:57
2000-02-18,18,0,18,0,0,0,0,0,18,0,0,0,0,0,5:18
2000-02-19,3,0,3,0,0,0,0,0,3,0,0,0,0,0,5:3
