fold,variant,best_epoch,best_val_total_loss,test_total_loss,test_dir_loss,test_reg_loss,test_dir_acc,test_reg_acc,test_num_samples,test_pred_rows,latent_rows_train,latent_rows_val,latent_rows_test,latent_rows_all
fold1,no_sentiment,46,1.5201016270596048,1.3234384142119309,0.6418801052816983,0.1322607084594924,0.6163793103448276,0.9655172413793104,232,232,1241,231,233,1705
fold2,no_sentiment,54,1.426350055069759,1.4253019669960285,0.7011262342847627,0.07683165011734798,0.5172413793103449,0.978448275862069,232,232,1240,233,233,1706
fold3,no_sentiment,55,1.339866095575793,1.6121158599853516,0.7617029732671278,0.2956997315431463,0.5905172413793104,0.9094827586206896,232,232,1239,233,233,1705
fold4,no_sentiment,77,1.7703249865564807,1.6432675986454404,0.7714178027777836,0.3347733724733879,0.6594827586206896,0.8706896551724138,232,232,1239,233,233,1705
fold5,no_sentiment,78,1.3770118499624318,1.7080140965325492,0.8498499019321425,0.02771426272453555,0.3246753246753247,0.9913419913419913,231,231,1239,233,232,1704
fold6,no_sentiment,59,1.4798378113544348,1.8288119984911633,0.8425923539446546,0.47875762772892533,0.4329004329004329,0.8961038961038961,231,231,1239,232,232,1703
fold7,no_sentiment,27,1.758426552727109,1.6076028470335335,0.6753749498005571,0.8561764079435118,0.6551724137931034,0.6551724137931034,232,232,1240,232,233,1705
fold8,no_sentiment,93,1.622809755391088,1.8187678896862527,0.8449710737104001,0.4294191125942313,0.3695652173913043,0.8260869565217391,92,92,1239,233,93,1565
