fold,state_id,occupancy_viterbi,occupancy_posterior,T
fold1,0,0.18412698412698414,0.18492212499193716,1260
fold1,1,0.31587301587301586,0.3154560190472884,1260
fold1,2,0.12777777777777777,0.12909679948216154,1260
fold1,3,0.37222222222222223,0.3705250564786115,1260
fold2,0,0.2652899126290707,0.26664716783209835,1259
fold2,1,0.12629070691024621,0.12744175886589082,1259
fold2,2,0.26052422557585386,0.2563063253160578,1259
fold2,3,0.34789515488482925,0.34960474798595104,1259
fold3,0,0.1971383147853736,0.19653416106247534,1258
fold3,1,0.1971383147853736,0.19750943035554958,1258
fold3,2,0.34578696343402227,0.3460750585359324,1258
fold3,3,0.2599364069952305,0.2598813500460414,1258
fold4,0,0.3235294117647059,0.3167798503125048,1258
fold4,1,0.31001589825119236,0.31299941676374693,1258
fold4,2,0.13036565977742448,0.12982819572817558,1258
fold4,3,0.23608903020667726,0.24039253719557108,1258
fold5,0,0.2933227344992051,0.29281634159293707,1258
fold5,1,0.22575516693163752,0.22691369705141268,1258
fold5,2,0.10651828298887123,0.10764502946931763,1258
fold5,3,0.3744038155802862,0.37262493188633455,1258
fold6,0,0.2082670906200318,0.21117013773648996,1258
fold6,1,0.17090620031796502,0.1728199979492673,1258
fold6,2,0.29252782193958665,0.28971798854811054,1258
fold6,3,0.32829888712241656,0.3262918757661334,1258
fold7,0,0.17394757744241462,0.17187436749008017,1259
fold7,1,0.29706115965051627,0.294730777117704,1259
fold7,2,0.18903891977760126,0.1931012392636137,1259
fold7,3,0.3399523431294678,0.3402936161286009,1259
fold8,0,0.3672496025437202,0.3687157424415263,1258
fold8,1,0.18282988871224165,0.1837905391456393,1258
fold8,2,0.19236883942766295,0.19406312223644173,1258
fold8,3,0.2575516693163752,0.25343059617639285,1258
