date,account_value,fold,split
2012-01-03,10000.0,fold1,val
2012-01-04,10005.670349121094,fold1,val
2012-01-05,10032.310062184053,fold1,val
2012-01-06,10006.454045912798,fold1,val
2012-01-09,10030.743864171645,fold1,val
2012-01-10,10117.715676700369,fold1,val
2012-01-11,10123.199760885802,fold1,val
2012-01-12,10147.488981359147,fold1,val
2012-01-13,10094.992654239431,fold1,val
2012-01-17,10134.169124827667,fold1,val
2012-01-18,10246.214452406943,fold1,val
2012-01-19,10300.278173110066,fold1,val
2012-01-20,10338.670349121094,fold1,val
2012-01-23,10312.030636058134,fold1,val
2012-01-24,10300.278173110064,fold1,val
2012-01-25,10386.46569106158,fold1,val
2012-01-26,10333.18626493566,fold1,val
2012-01-27,10328.485279756433,fold1,val
2012-01-30,10293.225499770218,fold1,val
2012-01-31,10289.308809168197,fold1,val
2012-02-01,10379.414213292737,fold1,val
2012-02-02,10395.867661420036,fold1,val
2012-02-03,10541.604179831113,fold1,val
2012-02-06,10534.55270206227,fold1,val
2012-02-07,10561.19241512523,fold1,val
2012-02-08,10592.534308938419,fold1,val
2012-02-09,10605.854165469898,fold1,val
2012-02-10,10527.501224293428,fold1,val
2012-02-13,10605.8541654699,fold1,val
2012-02-14,10592.53430893842,fold1,val
2012-02-15,10543.171573414524,fold1,val
2012-02-16,10659.917886173027,fold1,val
2012-02-17,10688.124992819397,fold1,val
2012-02-21,10692.825977998624,fold1,val
2012-02-22,10658.350492589616,fold1,val
2012-02-23,10705.362735523899,fold1,val
2012-02-24,10728.867661420038,fold1,val
2012-02-27,10746.889698701747,fold1,val
2012-02-28,10778.230396943933,fold1,val
2012-02-29,10735.92033475988,fold1,val
2012-03-01,10791.550253475412,fold1,val
2012-03-02,10758.642161649816,fold1,val
2012-03-05,10714.764705882353,fold1,val
2012-03-06,10558.058823529413,fold1,val
2012-03-07,10631.710779526657,fold1,val
2012-03-08,10737.486532772291,fold1,val
2012-03-09,10779.014691521143,fold1,val
2012-03-12,10779.797790527347,fold1,val
2012-03-13,10974.112749885115,fold1,val
2012-03-14,10962.360286937044,fold1,val
2012-03-15,11025.825977998626,fold1,val
2012-03-16,10992.917886173027,fold1,val
2012-03-19,11036.012242934286,fold1,val
2012-03-20,11003.887250114893,fold1,val
2012-03-21,10985.866408404185,fold1,val
2012-03-22,10906.729172650508,fold1,val
2012-03-23,10941.987757065719,fold1,val
2012-03-26,11095.56004782284,fold1,val
2012-03-27,11061.084562413833,fold1,val
2012-03-28,11006.237742704503,fold1,val
2012-03-29,10987.432606416589,fold1,val
2012-03-30,11032.877455767462,fold1,val
2012-04-02,11113.580889533547,fold1,val
2012-04-03,11068.136040182673,fold1,val
2012-04-04,10958.442400764015,fold1,val
2012-04-05,10952.957121007581,fold1,val
