variant,date,strategy,account_value,account_value_std,seed_count
gating,2013-03-11,transformer_tdqn_stitched,9609.540120887115,59.280492876944,5
gating,2013-03-12,buy_hold,10373.824553725944,0.0,5
gating,2013-03-12,momentum_126,10373.824553725944,0.0,5
gating,2013-03-12,transformer_tdqn_stitched,9618.600624647068,55.62934958562486,5
gating,2013-03-13,buy_hold,10388.484459767516,0.0,5
gating,2013-03-13,momentum_126,10388.484459767516,0.0,5
gating,2013-03-13,transformer_tdqn_stitched,9606.642575588476,65.32347378536075,5
gating,2013-03-14,buy_hold,10443.79210223744,0.0,5
gating,2013-03-14,momentum_126,10443.79210223744,0.0,5
gating,2013-03-14,transformer_tdqn_stitched,9572.123834727256,70.99274998910299,5
gating,2013-03-15,buy_hold,10383.820498815046,0.0,5
gating,2013-03-15,momentum_126,10383.820498815046,0.0,5
gating,2013-03-15,transformer_tdqn_stitched,9623.226621782973,69.38055844693902,5
gating,2013-03-18,buy_hold,10326.513870682911,0.0,5
gating,2013-03-18,momentum_126,10326.513870682911,0.0,5
gating,2013-03-18,transformer_tdqn_stitched,9676.33565515934,69.76345854261811,5
gating,2013-03-19,buy_hold,10302.525025958344,0.0,5
gating,2013-03-19,momentum_126,10302.525025958344,0.0,5
gating,2013-03-19,transformer_tdqn_stitched,9692.427728201286,78.528907512474,5
gating,2013-03-20,buy_hold,10374.491560132052,0.0,5
gating,2013-03-20,momentum_126,10374.491560132052,0.0,5
gating,2013-03-20,transformer_tdqn_stitched,9661.364799160974,84.03719325211912,5
gating,2013-03-21,buy_hold,10285.866134254562,0.0,5
gating,2013-03-21,momentum_126,10285.866134254562,0.0,5
gating,2013-03-21,transformer_tdqn_stitched,9675.440548328612,56.95551227179472,5
gating,2013-03-22,buy_hold,10368.494603145424,0.0,5
gating,2013-03-22,momentum_126,10368.494603145424,0.0,5
gating,2013-03-22,transformer_tdqn_stitched,9642.146205810055,37.83068755567158,5
gating,2013-03-25,buy_hold,10325.180874648751,0.0,5
gating,2013-03-25,momentum_126,10325.180874648751,0.0,5
gating,2013-03-25,transformer_tdqn_stitched,9648.14913393514,20.751056763090613,5
gating,2013-03-26,buy_hold,10407.809343539617,0.0,5
gating,2013-03-26,momentum_126,10407.809343539617,0.0,5
gating,2013-03-26,transformer_tdqn_stitched,9632.608970021733,72.24509698300605,5
gating,2013-03-27,buy_hold,10407.809343539617,0.0,5
gating,2013-03-27,momentum_126,10407.809343539617,0.0,5
gating,2013-03-27,transformer_tdqn_stitched,9632.608970021733,72.24509698300605,5
gating,2013-03-28,buy_hold,10439.794130913022,0.0,5
gating,2013-03-28,momentum_126,10439.794130913022,0.0,5
gating,2013-03-28,transformer_tdqn_stitched,9626.878539671216,104.2036057442636,5
gating,2013-04-01,buy_hold,10398.48040485662,0.0,5
gating,2013-04-01,momentum_126,10398.48040485662,0.0,5
gating,2013-04-01,transformer_tdqn_stitched,9634.140529099102,63.14641068835609,5
gating,2013-04-02,buy_hold,10449.790076002126,0.0,5
gating,2013-04-02,momentum_126,10449.790076002126,0.0,5
gating,2013-04-02,transformer_tdqn_stitched,9624.89767008702,114.42249071364344,5
gating,2013-04-03,buy_hold,10343.838752014746,0.0,5
gating,2013-04-03,momentum_126,10343.838752014746,0.0,5
gating,2013-04-03,transformer_tdqn_stitched,9661.267550362496,56.07393474624015,5
gating,2013-04-04,buy_hold,10385.819484477255,0.0,5
gating,2013-04-04,momentum_126,10385.819484477255,0.0,5
gating,2013-04-04,transformer_tdqn_stitched,9651.574428418891,83.33304641274158,5
gating,2013-04-05,buy_hold,10339.174791062276,0.0,5
gating,2013-04-05,momentum_126,10339.174791062276,0.0,5
gating,2013-04-05,transformer_tdqn_stitched,9659.964459916946,49.37545186341536,5
gating,2013-04-08,buy_hold,10409.142339573777,0.0,5
gating,2013-04-08,momentum_126,10409.142339573777,0.0,5
gating,2013-04-08,transformer_tdqn_stitched,9647.029204560948,104.661564089863,5
gating,2013-04-09,buy_hold,10445.1250982716,0.0,5
gating,2013-04-09,momentum_126,10445.1250982716,0.0,5
gating,2013-04-09,transformer_tdqn_stitched,9640.64758251882,138.80090160282356,5
gating,2013-04-10,buy_hold,10573.065264543282,0.0,5
