date,account_value,fold,split,seed,variant
2012-01-31,10000.0,fold1,val,1836178384,gating
2012-02-01,10077.484300830984,fold1,val,1836178384,gating
2012-02-02,10093.459129640209,fold1,val,1836178384,gating
2012-02-03,10234.95627448529,fold1,val,1836178384,gating
2012-02-06,10228.109919281336,fold1,val,1836178384,gating
2012-02-07,10253.974701691388,fold1,val,1836178384,gating
2012-02-08,10284.404881696752,fold1,val,1836178384,gating
2012-02-09,10297.337272901776,fold1,val,1836178384,gating
2012-02-10,10221.263564077382,fold1,val,1836178384,gating
2012-02-13,10297.337272901776,fold1,val,1836178384,gating
2012-02-14,10284.404881696752,fold1,val,1836178384,gating
2012-02-15,10236.478073683726,fold1,val,1836178384,gating
2012-02-16,10349.828317717438,fold1,val,1836178384,gating
2012-02-17,10377.214899325929,fold1,val,1836178384,gating
2012-02-21,10381.779136128562,fold1,val,1836178384,gating
2012-02-22,10348.306518519,fold1,val,1836178384,gating
2012-02-23,10393.951208130708,fold1,val,1836178384,gating
2012-02-24,10416.772392143885,fold1,val,1836178384,gating
2012-02-27,10434.270180944222,fold1,val,1836178384,gating
2012-02-28,10464.699200156909,fold1,val,1836178384,gating
2012-02-29,10423.619908140514,fold1,val,1836178384,gating
2012-03-01,10477.631591361936,fold1,val,1836178384,gating
2012-03-02,10445.680772950813,fold1,val,1836178384,gating
2012-03-05,10403.07968173598,fold1,val,1836178384,gating
2012-03-06,10250.93226408719,fold1,val,1836178384,gating
2012-03-07,10322.44173610895,fold1,val,1836178384,gating
2012-03-08,10425.14054654628,fold1,val,1836178384,gating
2012-03-09,10465.460680152471,fold1,val,1836178384,gating
2012-03-12,10466.220999355352,fold1,val,1836178384,gating
2012-03-13,10654.883472217904,fold1,val,1836178384,gating
2012-03-14,10643.472880211317,fold1,val,1836178384,gating
2012-03-15,10705.092398632249,fold1,val,1836178384,gating
2012-03-16,10673.14158022112,fold1,val,1836178384,gating
2012-03-19,10714.982352233072,fold1,val,1836178384,gating
2012-03-20,10683.79185302483,fold1,val,1836178384,gating
2012-03-21,10666.29522501717,fold1,val,1836178384,gating
2012-03-22,10589.460036197215,fold1,val,1836178384,gating
2012-03-23,10623.692973009658,fold1,val,1836178384,gating
2012-03-26,10772.797953054249,fold1,val,1836178384,gating
2012-03-27,10762.025155101195,fold1,val,1836178384,gating
2012-03-28,10697.952571907375,fold1,val,1836178384,gating
2012-03-29,10679.674168258529,fold1,val,1836178384,gating
2012-03-30,10723.846105514323,fold1,val,1836178384,gating
2012-04-02,10802.289032789082,fold1,val,1836178384,gating
2012-04-03,10758.117095533284,fold1,val,1836178384,gating
2012-04-04,10651.495979455853,fold1,val,1836178384,gating
2012-04-05,10646.164342610477,fold1,val,1836178384,gating
2012-04-09,10526.596459729572,fold1,val,1836178384,gating
2012-04-10,10349.908710706388,fold1,val,1836178384,gating
2012-04-11,10433.68327482652,fold1,val,1836178384,gating
2012-04-12,10570.006070531452,fold1,val,1836178384,gating
2012-04-13,10444.345386434265,fold1,val,1836178384,gating
2012-04-16,10437.491420847073,fold1,val,1836178384,gating
2012-04-17,10592.092620200856,fold1,val,1836178384,gating
2012-04-18,10556.298139357074,fold1,val,1836178384,gating
2012-04-19,10488.51732369006,fold1,val,1836178384,gating
2012-04-20,10506.033400884997,fold1,val,1836178384,gating
2012-04-23,10417.689526373402,fold1,val,1836178384,gating
2012-04-24,10457.29215323774,fold1,val,1836178384,gating
2012-04-25,10600.47007661287,fold1,val,1836178384,gating
2012-04-26,10674.343693496165,fold1,val,1836178384,gating
2012-04-27,10691.8597706911,fold1,val,1836178384,gating
2012-04-30,10652.257143826762,fold1,val,1836178384,gating
2012-05-01,10718.51563075196,fold1,val,1836178384,gating
2012-05-02,10686.52929592873,fold1,val,1836178384,gating
2012-05-03,10605.03938700433,fold1,val,1836178384,gating
2012-05-04,10433.683274826522,fold1,val,1836178384,gating
2012-05-07,10441.299566867629,fold1,val,1836178384,gating
2012-05-08,10399.412284807562,fold1,val,1836178384,gating
2012-05-09,10337.724270356834,fold1,val,1836178384,gating
2012-05-10,10359.04849357232,fold1,val,1836178384,gating
2012-05-11,10327.823323119996,fold1,val,1836178384,gating
2012-05-14,10213.585915001458,fold1,val,1836178384,gating
2012-05-15,10154.943720117366,fold1,val,1836178384,gating
2012-05-16,10116.103419706946,fold1,val,1836178384,gating
2012-05-17,9966.071530744624,fold1,val,1836178384,gating
2012-05-18,9880.774637882678,fold1,val,1836178384,gating
2012-05-21,10050.607259235663,fold1,val,1836178384,gating
2012-05-22,10068.123336430595,fold1,val,1836178384,gating
2012-05-23,10073.454973275971,fold1,val,1836178384,gating
2012-05-24,10093.255705666636,fold1,val,1836178384,gating
2012-05-25,10060.508206472496,fold1,val,1836178384,gating
2012-05-29,10182.360744549133,fold1,val,1836178384,gating
2012-05-30,10034.61351078254,fold1,val,1836178384,gating
2012-05-31,10012.528123196147,fold1,val,1836178384,gating
2012-06-01,9760.444428547851,fold1,val,1836178384,gating
2012-06-04,9755.875118156391,fold1,val,1836178384,gating
2012-06-05,9829.748735039688,fold1,val,1836178384,gating
2012-06-06,10050.607259235658,fold1,val,1836178384,gating
2012-06-07,10056.700060451942,fold1,val,1836178384,gating
2012-06-08,10136.66647855152,fold1,val,1836178384,gating
2012-06-11,10007.958812804683,fold1,val,1836178384,gating
2012-06-12,10122.95738529413,fold1,val,1836178384,gating
2012-06-13,10058.223551276764,fold1,val,1836178384,gating
2012-06-14,10164.844667354197,fold1,val,1836178384,gating
2012-06-15,10215.870570197185,fold1,val,1836178384,gating
2012-06-18,10235.671302587847,fold1,val,1836178384,gating
2012-06-19,10334.677288707184,fold1,val,1836178384,gating
2012-06-20,10317.922375883158,fold1,val,1836178384,gating
2012-06-21,10086.401740079444,fold1,val,1836178384,gating
2012-06-22,10164.083502983292,fold1,val,1836178384,gating
2012-06-25,10001.104847217495,fold1,val,1836178384,gating
2012-06-26,10051.368423606566,fold1,val,1836178384,gating
2012-06-27,10141.996953313888,fold1,val,1836178384,gating
2012-06-28,10113.056438057296,fold1,val,1836178384,gating
2012-06-29,10365.141294788598,fold1,val,1836178384,gating
2012-07-02,10396.365303157912,fold1,val,1836178384,gating
2012-07-03,10464.90844527884,fold1,val,1836178384,gating
2012-07-05,10417.689526373397,fold1,val,1836178384,gating
2012-07-06,10318.68470233707,fold1,val,1836178384,gating
2012-07-09,10305.737935533598,fold1,val,1836178384,gating
2012-07-10,10215.870570197185,fold1,val,1836178384,gating
2012-07-11,10217.394061022009,fold1,val,1836178384,gating
2012-07-12,10167.890486920836,fold1,val,1836178384,gating
2012-07-13,10338.485434727734,fold1,val,1836178384,gating
2012-07-16,10314.114229862602,fold1,val,1836178384,gating
2012-07-17,10384.94202717926,fold1,val,1836178384,gating
2012-07-18,10461.861463629197,fold1,val,1836178384,gating
2012-07-19,10489.278488060963,fold1,val,1836178384,gating
2012-07-20,10393.319483591276,fold1,val,1836178384,gating
2012-07-23,10288.22069625566,fold1,val,1836178384,gating
2012-07-24,10199.876821744068,fold1,val,1836178384,gating
2012-07-25,10202.162639022808,fold1,val,1836178384,gating
2012-07-26,10370.47176955097,fold1,val,1836178384,gating
2012-07-27,10561.62861411944,fold1,val,1836178384,gating
2012-07-30,10561.62861411944,fold1,val,1836178384,gating
2012-07-31,10487.756159319157,fold1,val,1836178384,gating
2012-08-01,10478.616376453225,fold1,val,1836178384,gating
2012-08-02,10406.266250394752,fold1,val,1836178384,gating
2012-08-03,10612.655679045436,fold1,val,1836178384,gating
2012-08-06,10633.217575807006,fold1,val,1836178384,gating
2012-08-07,10686.52929592873,fold1,val,1836178384,gating
2012-08-08,10699.476062732205,fold1,val,1836178384,gating
2012-08-09,10708.614683515125,fold1,val,1836178384,gating
2012-08-10,10726.130760710055,fold1,val,1836178384,gating
2012-08-13,10720.80028594769,fold1,val,1836178384,gating
2012-08-14,10722.322614689503,fold1,val,1836178384,gating
2012-08-15,10734.50821712207,fold1,val,1836178384,gating
2012-08-16,10813.713470850742,fold1,val,1836178384,gating
