variant,strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
no_gating,transformer_tdqn_stitched,-0.0338426179578431,-0.005028564220433,0.1434993827872883,-0.0350424100979375,-0.041087267053536,-0.0141941700646004,-0.3542696894251024,211.3596749402105,30.948656644353893,14.691489361702128
no_sentiment,transformer_tdqn_stitched,-0.1055210118769635,-0.0161959960388332,0.1405449607573362,-0.1152371166604624,-0.1369959582117554,-0.0389767107050777,-0.4155300882463463,219.9256273938091,32.20293904894822,14.166666666666666
gating,transformer_tdqn_stitched,-0.1197904594292164,-0.0185098790765116,0.1351975390337105,-0.1369098817094325,-0.161266819097235,-0.0490332818355421,-0.3774962307967459,186.88840107649796,27.365413754373897,15.938271604938272
