fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed,variant
fold1,val,1241,231,231,0.0735967550912979,0.0809141871971517,0.1305943450270836,0.6195841571882085,0.9650474361309068,0.8352893866703275,-0.0968696460033999,11.409009459581355,12.50030601658479,37.5,1836178384,gating
fold1,test,1241,233,233,-0.1325046106974665,-0.1430699352913418,0.105436982026118,-1.3569236575445751,-2.118935506492174,-0.8336390799366479,-0.1716209553206339,60.3370700434113,65.5385415988778,6.633333333333334,1836178384,gating
fold2,val,1240,233,233,-0.0108029560768753,-0.0117287633320805,0.1011051910785351,-0.1160055503279747,-0.2020429502069125,-0.1284480813890089,-0.091311315865899,21.30695448710389,23.143760908405955,18.63636363636364,1836178384,gating
fold2,test,1240,233,233,0.254355537426199,0.2791020361874128,0.0943690706123176,2.9575583862005588,6.337614506147827,3.4086588728279,-0.0818803073584959,31.32363412066804,34.02394740693252,12.5625,1836178384,gating
fold3,val,1239,233,233,0.1415713118163799,0.154676176321505,0.1066609950387101,1.4501662605469685,2.00375504345096,2.3225878828170705,-0.0665964794985057,45.240946165661015,49.14102773166628,9.08695652173913,1836178384,gating
fold3,test,1239,233,233,-0.0171288842326342,-0.0185917032106025,0.1538014245680185,-0.1208812159108473,-0.1609780218329781,-0.1550742233753518,-0.1198890621918639,13.151022933919377,14.284731807533117,32.142857142857146,1836178384,gating
fold4,val,1239,233,233,0.0144480996107387,0.0157033561306281,0.1534251300908827,0.1023519166731427,0.1388888840043046,0.1226952011919653,-0.1279867181281124,13.276451329446084,14.420972995777642,32.142857142857146,1836178384,gating
fold4,test,1239,233,233,0.2150419298035455,0.2356162627070155,0.1081899655026576,2.177801440386147,3.0725655028064174,4.158178975221517,-0.0566633288540601,39.58254198379296,42.994830085844086,9.65,1836178384,gating
fold5,val,1239,233,233,-0.0136295720243712,-0.0147958013937526,0.1082412993938948,-0.1366927547673843,-0.1963571738515288,-0.1606068145582484,-0.0921243686605003,41.21661089076929,44.76976700204251,10.095238095238097,1836178384,gating
fold5,test,1239,232,232,-0.0827570242924157,-0.089931913819505,0.0613266603885845,-1.466440749417445,-2.263465360058752,-0.9511481911647032,-0.0945508961220662,39.54338648866729,43.138239805818856,10.4,1836178384,gating
fold6,val,1239,232,232,0.103032532171071,0.112909852062921,0.0663820490248027,1.7009094133375402,2.056734486816395,4.189409717051368,-0.0269512555917759,13.102902874592283,14.294075863191583,30.142857142857142,1836178384,gating
fold6,test,1239,232,232,-0.096849660904302,-0.1051747393019064,0.1700277608444511,-0.6185739245141558,-0.8500185069134562,-0.4988335613372121,-0.2108413455982529,21.058558238673324,22.972972624007262,19.818181818181817,1836178384,gating
fold7,val,1240,232,232,0.2035536865455285,0.2239974414101189,0.1651019730308162,1.356721771994268,2.2258308596338057,2.6702056802634826,-0.0838877106231067,7.227486741410874,7.884530990630044,55.5,1836178384,gating
fold7,test,1240,233,233,-0.1916919593092897,-0.206385872526717,0.1141656854714259,-1.8077750041484448,-2.636987397607566,-0.8853545168084818,-0.2331109952098002,14.746673376502132,16.017938322752318,28.125,1836178384,gating
fold8,val,1239,233,233,-0.1667661448796299,-0.1797684535175481,0.1181552674964546,-1.5214594941604462,-2.611173503070712,-1.0321825103043492,-0.1741634369144092,1.0857435901365222,1.179342175493119,229.0,1836178384,gating
fold8,test,1239,93,93,0.1361759340807553,0.4186416041976792,0.4968227118296188,0.8426378147165882,1.1258323838073732,1.8318037882929032,-0.2285406367610039,5.290390220506628,14.49106886486598,28.0,1836178384,gating
fold1,val,1241,231,231,0.1856553065139676,0.2051267758286536,0.1252974340083837,1.6371187283446558,2.540242427267718,2.275030249529702,-0.0901644168779988,27.74246701060695,30.396094289882395,15.5,5629345,gating
fold1,test,1241,233,233,-0.0865048797806066,-0.0936022100390677,0.1047108801202416,-0.8939110236833312,-1.564370707944432,-0.8403665496591118,-0.1113825985542104,29.12998605870442,31.641191753420323,14.533333333333331,5629345,gating
fold2,val,1240,233,233,0.0096860502181135,0.0105254342104372,0.1076093330422937,0.0978115365355945,0.1804803496679313,0.1068026685593752,-0.098550292351411,40.570056581883,44.06747525273499,10.095238095238097,5629345,gating
fold2,test,1240,233,233,0.1098486969096166,0.1198653987568603,0.101418700518438,1.1818865568590942,2.205205298222511,1.3938634602445217,-0.0859950792711308,62.9765669145685,68.40558130375544,6.28125,5629345,gating
fold3,val,1239,233,233,0.1207425662655095,0.1318102275005457,0.1021841454613898,1.2899283632053282,1.8653330814587104,2.1733458567110597,-0.0606485282098704,13.37782222163172,14.531082757979284,28.0,5629345,gating
fold3,test,1239,233,233,-0.1095618980473158,-0.1184250734003329,0.1494213544258247,-0.7925578901047983,-1.030386650475452,-0.789085196843575,-0.1500789444207619,4.810696949913153,5.225412204216011,68.66666666666667,5629345,gating
fold4,val,1239,233,233,0.0211387728169403,0.0229818685377902,0.1544223971610463,0.1488247104066296,0.202963885773078,0.1870617511258966,-0.1228571228456156,0.9669736957025212,1.0503334970561868,232.0,5629345,gating
fold4,test,1239,233,233,0.2095448462926039,0.2295453718546263,0.090669566846032,2.5316694436670497,3.710568298021721,5.776676954439406,-0.0397365775626797,10.071891700713808,10.940158226637411,32.4,5629345,gating
