strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed,variant
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,1836178384,gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,1836178384,gating
transformer_tdqn_stitched,-0.0163655310225835,-0.0024132561183868,0.1638295015883051,-0.0147302903017505,-0.0188273960011632,-0.0058596520853982,-0.4118429017996573,230.3392354637915,33.72776719167662,13.464912280701755,1836178384,gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,5629345,gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,5629345,gating
transformer_tdqn_stitched,-0.4023352555230026,-0.0725991807958699,0.162367607599038,-0.4471284751275723,-0.5615397231128002,-0.1316539245606041,-0.5514395490918345,215.58503057664387,31.567360665493467,14.485981308411215,5629345,gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,629425236,gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,629425236,gating
transformer_tdqn_stitched,-0.2585697520200204,-0.0428613598630167,0.1671429657716134,-0.2564353196986054,-0.3254326282127963,-0.1060603929725152,-0.4041222049226611,132.50145235375376,19.401723412635647,24.26865671641791,629425236,gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,1637688973,gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,1637688973,gating
transformer_tdqn_stitched,0.1104512634009089,0.0154588588762889,0.1658743210939522,0.0931962149073873,0.1138181870042973,0.0532993054932345,-0.2900386549736786,216.7166312083049,31.733056981111467,14.27027027027027,1637688973,gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,1837439542,gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,1837439542,gating
transformer_tdqn_stitched,-0.0321330219813844,-0.0047709628593656,0.1676567596332988,-0.0284567283168345,-0.0351621830789807,-0.0125822690964531,-0.37918143562122,133.1703870752492,19.499673180106218,23.955882352941178,1837439542,gating
