variant,date,fold,split,account_value,account_value_std,seed_count
gating,2012-06-29,fold1,val,10531.34248163414,177.1078200567296,5
gating,2012-07-02,fold1,val,10554.543567403216,173.18146501069066,5
gating,2012-07-03,fold1,val,10621.993401423895,173.51754993567891,5
gating,2012-07-05,fold1,val,10581.560699441348,176.11728882874368,5
gating,2012-07-06,fold1,val,10478.886875694376,173.33539174724083,5
gating,2012-07-09,fold1,val,10465.739104573038,173.1179092908555,5
gating,2012-07-10,fold1,val,10374.476508385396,171.60829877117794,5
gating,2012-07-11,fold1,val,10376.023652083455,171.63389068396177,5
gating,2012-07-12,fold1,val,10325.751512957888,170.802319446228,5
gating,2012-07-13,fold1,val,10498.995023269683,173.66800852979105,5
gating,2012-07-16,fold1,val,10474.2454446002,173.2586160088922,5
gating,2012-07-17,fold1,val,10546.17287499913,174.44839594195807,5
gating,2012-07-18,fold1,val,10624.286519940571,175.74050448433897,5
gating,2012-07-19,fold1,val,10644.38531410401,173.18506768627378,5
gating,2012-07-20,fold1,val,10544.890228149863,171.07013574495932,5
gating,2012-07-23,fold1,val,10457.530942218265,178.80045683665432,5
gating,2012-07-24,fold1,val,10365.638474974003,175.75505650362442,5
gating,2012-07-25,fold1,val,10367.961439843613,175.79444364054837,5
gating,2012-07-26,fold1,val,10539.005819063266,178.6945944230545,5
gating,2012-07-27,fold1,val,10733.269218263293,181.988436359123,5
gating,2012-07-30,fold1,val,10728.90286459516,176.5091708898197,5
gating,2012-07-31,fold1,val,10649.528945867805,169.87229396046405,5
gating,2012-08-01,fold1,val,10640.248182593845,169.72425506080495,5
gating,2012-08-02,fold1,val,10579.4504998505,178.78109964254222,5
gating,2012-08-03,fold1,val,10787.088820945515,180.2792373096089,5
gating,2012-08-06,fold1,val,10795.094832124048,164.03651345570594,5
gating,2012-08-07,fold1,val,10822.95793000611,148.06239779485605,5
gating,2012-08-08,fold1,val,10825.923312142813,137.82002791046912,5
gating,2012-08-09,fold1,val,10829.258238917038,133.52006636226537,5
gating,2012-08-10,fold1,val,10834.068181231854,123.1581888090788,5
gating,2012-08-13,fold1,val,10828.624867236005,117.9685495159632,5
gating,2012-08-14,fold1,val,10827.031381729592,113.00303884614075,5
gating,2012-08-15,fold1,val,10832.219187270832,110.29606935965388,5
gating,2012-08-16,fold1,val,10861.836241149835,111.37371285007355,5
gating,2012-08-17,fold1,val,10868.432371624582,118.11301180529766,5
gating,2012-08-20,fold1,val,10864.19568200056,113.24556868264638,5
gating,2012-08-21,fold1,val,10853.194057157463,108.71338250406964,5
gating,2012-08-22,fold1,val,10852.868455733584,109.78153965246047,5
gating,2012-08-23,fold1,val,10797.99748716951,182.72707394301315,5
gating,2012-08-24,fold1,val,10836.415319346585,130.13667669216616,5
gating,2012-08-27,fold1,val,10837.776890633797,128.3927963819886,5
gating,2012-08-28,fold1,val,10831.421734978354,136.60702424689453,5
gating,2012-08-29,fold1,val,10836.411725602675,130.12985440960975,5
gating,2012-08-30,fold1,val,10790.11689081581,193.27495921296185,5
gating,2012-08-31,fold1,val,10820.374771630633,150.77994312167962,5
gating,2012-09-04,fold1,val,10814.484078030608,158.8088192252384,5
gating,2012-09-05,fold1,val,10809.050407051978,166.3136599207475,5
gating,2012-09-06,fold1,val,10938.481722059743,83.92838392786173,5
gating,2012-09-07,fold1,val,10942.79741649271,114.43987741318026,5
gating,2012-09-10,fold1,val,10950.386573243512,71.50856967599331,5
gating,2012-09-11,fold1,val,10944.349724473008,89.8590046870999,5
gating,2012-09-12,fold1,val,10937.227675178747,120.66282096136285,5
gating,2012-09-13,fold1,val,10905.24940662948,291.4486405824232,5
gating,2012-09-14,fold1,val,10884.5483475587,330.3309922465003,5
gating,2012-09-17,fold1,val,10888.763567579968,288.87358191418815,5
gating,2012-09-18,fold1,val,10889.94165791386,279.1225242675564,5
gating,2012-09-19,fold1,val,10886.66093467574,283.36887961700285,5
