fold,variant,best_epoch,best_val_total_loss,test_total_loss,test_dir_loss,test_reg_loss,test_dir_acc,test_reg_acc,test_num_samples,dir_label_mode,dir_vol_k,dir_vol_col,dir_ignore_index,val_pred_rows,test_pred_rows,val_dir_event_count,val_dir_coverage,val_dir_acc_event,val_dir_mae_event,val_dir_up_rate_event,val_dir_pred_up_rate_event,val_dir_majority_acc_event,val_dir_acc_minus_majority_event,test_dir_event_count,test_dir_coverage,test_dir_acc_event,test_dir_mae_event,test_dir_up_rate_event,test_dir_pred_up_rate_event,test_dir_majority_acc_event,test_dir_acc_minus_majority_event,latent_rows_train,latent_rows_val,latent_rows_test,latent_rows_all
fold1,gating,41,1.3000572204589844,1.3175696463420474,0.6260703896673826,0.25586574987090865,0.6586538461538461,0.8879310344827587,232,vol_threshold,0.25,rolling_vol_20,-1,230,232,202.0,0.8782608695652174,0.6831683168316832,0.31683168316831684,0.6188118811881188,0.6881188118811881,0.6188118811881188,0.06435643564356441,208.0,0.896551724137931,0.6586538461538461,0.34134615384615385,0.7163461538461539,0.8653846153846154,0.7163461538461539,-0.05769230769230771,1241,231,233,1705
fold2,gating,24,1.3954162926509464,1.3986310342262531,0.6640701112293061,0.2164687678731721,0.5952380952380952,0.9008620689655172,232,vol_threshold,0.25,rolling_vol_20,-1,232,232,208.0,0.896551724137931,0.625,0.375,0.7163461538461539,0.8509615384615384,0.7163461538461539,-0.09134615384615385,210.0,0.9051724137931034,0.5952380952380952,0.40476190476190477,0.6952380952380952,0.8142857142857143,0.6952380952380952,-0.09999999999999998,1240,233,233,1706
fold3,gating,62,1.1807991595103824,2.3674269626880515,1.1104459839207785,0.42938742349887715,0.5142857142857142,0.8448275862068966,232,vol_threshold,0.25,rolling_vol_20,-1,232,232,210.0,0.9051724137931034,0.6952380952380952,0.3047619047619048,0.6952380952380952,1.0,0.6952380952380952,0.0,210.0,0.9051724137931034,0.5142857142857142,0.4857142857142857,0.5142857142857142,1.0,0.5142857142857142,0.0,1239,233,233,1705
fold4,gating,55,2.0472545623779297,1.5543383359909058,0.6865346992888102,0.6132321943496836,0.6829268292682927,0.7241379310344828,232,vol_threshold,0.25,rolling_vol_20,-1,232,232,210.0,0.9051724137931034,0.5142857142857142,0.4857142857142857,0.5142857142857142,1.0,0.5142857142857142,0.0,205.0,0.8836206896551724,0.6829268292682927,0.3170731707317073,0.6731707317073171,0.9414634146341463,0.6731707317073171,0.009756097560975618,1239,233,233,1705
fold5,gating,33,2.060071534123914,3.089215904087215,1.5069128814733252,0.1856036279108617,0.22169811320754718,0.9783549783549783,231,vol_threshold,0.25,rolling_vol_20,-1,232,231,205.0,0.8836206896551724,0.48292682926829267,0.5170731707317073,0.6731707317073171,0.24390243902439024,0.6731707317073171,-0.19024390243902445,212.0,0.9177489177489178,0.22169811320754718,0.7783018867924528,0.7783018867924528,0.0,0.7783018867924528,-0.5566037735849056,1239,233,232,1704
fold6,gating,41,1.4523772904367158,2.0876763269498753,0.960705600286785,0.3697666709666096,0.3588516746411483,0.8744588744588745,231,vol_threshold,0.25,rolling_vol_20,-1,231,231,212.0,0.9177489177489178,0.4669811320754717,0.5330188679245284,0.7783018867924528,0.6320754716981132,0.7783018867924528,-0.3113207547169811,209.0,0.9047619047619048,0.3588516746411483,0.6411483253588517,0.5980861244019139,0.3588516746411483,0.5980861244019139,-0.23923444976076558,1239,232,232,1703
fold7,gating,22,1.698700984319051,1.7865942346638646,0.7646137544954265,0.9725530265734114,0.5694444444444444,0.5689655172413793,232,vol_threshold,0.25,rolling_vol_20,-1,231,232,209.0,0.9047619047619048,0.5454545454545454,0.45454545454545453,0.5980861244019139,0.7655502392344498,0.5980861244019139,-0.052631578947368474,216.0,0.9310344827586207,0.5694444444444444,0.4305555555555556,0.7268518518518519,0.7962962962962963,0.7268518518518519,-0.15740740740740744,1240,232,233,1705
fold8,gating,93,1.5048634430457806,1.6570486478183581,0.8066083536117892,0.4469586772763211,0.4810126582278481,0.8369565217391305,92,vol_threshold,0.25,rolling_vol_20,-1,232,92,216.0,0.9310344827586207,0.6388888888888888,0.3611111111111111,0.7268518518518519,0.8657407407407407,0.7268518518518519,-0.08796296296296302,79.0,0.8586956521739131,0.4810126582278481,0.5189873417721519,0.6455696202531646,0.7088607594936709,0.6455696202531646,-0.16455696202531644,1239,233,93,1565
