fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,run,seed,variant
fold1,val,1241,231,231,0.0833657152272306,0.0916951987040837,0.130459080290118,0.7028655920321508,1.0992288541743669,0.94658339828005,-0.0968696460033998,0.946958226326442,1.037536839279406,230.0,drl_latent_regime_no_dir_42,42,gating
fold1,test,1241,233,233,0.190111477350946,0.2081026019367968,0.1092264970851073,1.9052391817953016,2.731862393580383,3.4409999490116183,-0.0604773626912059,23.728627161696743,25.77419846873957,18.416666666666668,drl_latent_regime_no_dir_42,42,gating
fold2,val,1240,233,233,0.1354486763686742,0.1479509401369472,0.1005281032355739,1.471737110072039,2.248077801653116,2.5868833146067387,-0.0571927381886719,89.40177483562685,97.10882439042228,4.133333333333334,drl_latent_regime_no_dir_42,42,gating
fold2,test,1240,233,233,0.0793522425586352,0.0864808965635091,0.105800483230842,0.8173960451089783,1.1563051466531589,1.400195341239627,-0.0617634511531408,55.24459539260083,60.00706051265263,7.321428571428571,drl_latent_regime_no_dir_42,42,gating
fold3,val,1239,233,233,0.144792732938298,0.1582159051555212,0.1094202724201413,1.4459469132741611,2.0191371380442016,2.3109913391561747,-0.0684623531359885,15.304087413505936,16.623405293980586,28.125,drl_latent_regime_no_dir_42,42,gating
fold3,test,1239,233,233,0.0211387728169403,0.0229818685377902,0.1544223971610463,0.1488247104066296,0.202963885773078,0.1870617511258966,-0.1228571228456156,0.9669736957025212,1.0503334970561868,232.0,drl_latent_regime_no_dir_42,42,gating
fold4,val,1239,233,233,0.0211387728169403,0.0229818685377902,0.1544223971610463,0.1488247104066296,0.202963885773078,0.1870617511258966,-0.1228571228456156,0.9669736957025212,1.0503334970561868,232.0,drl_latent_regime_no_dir_42,42,gating
fold4,test,1239,233,233,0.1531447240834189,0.1673971483091825,0.1184583750145229,1.4131305472378777,1.8968529437049149,2.783881139677682,-0.0601308532621345,0.9191553270912796,0.9983928552888036,232.0,drl_latent_regime_no_dir_42,42,gating
fold5,val,1239,233,233,-0.0160682296017692,-0.0174412740140429,0.1150400368187356,-0.1516104696795648,-0.1981375934048195,-0.2561109309229454,-0.0681004670561694,23.141098407891967,25.136020684434374,17.916666666666668,drl_latent_regime_no_dir_42,42,gating
fold5,test,1239,232,232,0.0095032114229791,0.0103716051288511,0.0625124718225404,0.1659125743466668,0.2133404891720711,0.2148587848233704,-0.0482717294402338,33.31819329958118,36.347119963179466,11.058823529411764,drl_latent_regime_no_dir_42,42,gating
fold6,val,1239,232,232,-0.046440428554824,-0.0505538019278525,0.0665691376053965,-0.759418008800437,-1.0940696588442869,-0.6058076226562025,-0.083448606516696,23.217441676965954,25.328118193053765,18.33333333333333,drl_latent_regime_no_dir_42,42,gating
fold6,test,1239,232,232,0.0608302688464468,0.0665404928700812,0.1501995324322034,0.4430139814191237,0.5875659472299088,0.6473050794693099,-0.102796185261877,113.92399189422753,124.28071843006636,2.9827586206896552,drl_latent_regime_no_dir_42,42,gating
