variant,date,fold,split,account_value,account_value_std,seed_count
gating,2012-01-31,fold1,val,10000.0,0.0,5
gating,2012-02-01,fold1,val,10077.484300830984,0.0,5
gating,2012-02-02,fold1,val,10093.459129640209,0.0,5
gating,2012-02-03,fold1,val,10234.95627448529,0.0,5
gating,2012-02-06,fold1,val,10228.109919281336,0.0,5
gating,2012-02-07,fold1,val,10253.974701691388,0.0,5
gating,2012-02-08,fold1,val,10284.404881696752,0.0,5
gating,2012-02-09,fold1,val,10297.337272901776,0.0,5
gating,2012-02-10,fold1,val,10221.263564077382,0.0,5
gating,2012-02-13,fold1,val,10297.337272901776,0.0,5
gating,2012-02-14,fold1,val,10284.404881696752,0.0,5
gating,2012-02-15,fold1,val,10236.478073683726,0.0,5
gating,2012-02-16,fold1,val,10349.828317717438,0.0,5
gating,2012-02-17,fold1,val,10377.214899325929,0.0,5
gating,2012-02-21,fold1,val,10381.779136128562,0.0,5
gating,2012-02-22,fold1,val,10348.306518519,0.0,5
gating,2012-02-23,fold1,val,10393.951208130708,0.0,5
gating,2012-02-24,fold1,val,10416.772392143885,0.0,5
gating,2012-02-27,fold1,val,10434.270180944222,0.0,5
gating,2012-02-28,fold1,val,10464.699200156909,0.0,5
gating,2012-02-29,fold1,val,10423.619908140514,0.0,5
gating,2012-03-01,fold1,val,10477.631591361936,0.0,5
gating,2012-03-02,fold1,val,10445.680772950813,0.0,5
gating,2012-03-05,fold1,val,10403.07968173598,0.0,5
gating,2012-03-06,fold1,val,10250.93226408719,0.0,5
gating,2012-03-07,fold1,val,10322.44173610895,0.0,5
gating,2012-03-08,fold1,val,10425.14054654628,0.0,5
gating,2012-03-09,fold1,val,10465.460680152471,0.0,5
gating,2012-03-12,fold1,val,10466.220999355352,0.0,5
gating,2012-03-13,fold1,val,10654.883472217904,0.0,5
gating,2012-03-14,fold1,val,10643.62402191819,0.3379631308052134,5
gating,2012-03-15,fold1,val,10678.478337009119,59.51085094668602,5
gating,2012-03-16,fold1,val,10659.228412640574,31.11078849244634,5
gating,2012-03-19,fold1,val,10684.387418146123,68.41235238554127,5
gating,2012-03-20,fold1,val,10665.584059093497,40.7138649507693,5
gating,2012-03-21,fold1,val,10655.05626375615,25.131081376122687,5
gating,2012-03-22,fold1,val,10608.87419004705,43.4113677338697,5
gating,2012-03-23,fold1,val,10629.351191285547,12.65216069641685,5
gating,2012-03-26,fold1,val,10718.734765446967,120.88896257021013,5
gating,2012-03-27,fold1,val,10698.483212857114,91.32576245119343,5
gating,2012-03-28,fold1,val,10666.329877186361,44.14913687432386,5
gating,2012-03-29,fold1,val,10655.341277843007,27.89402134784785,5
gating,2012-03-30,fold1,val,10681.8666079171,67.24336250440086,5
gating,2012-04-02,fold1,val,10729.100076371868,136.8350723363654,5
gating,2012-04-03,fold1,val,10702.376109991315,97.92989546386163,5
gating,2012-04-04,fold1,val,10638.04042568218,3.6415192779680825,5
gating,2012-04-05,fold1,val,10634.844180434437,1.1201238649867629,5
gating,2012-04-09,fold1,val,10563.18873492407,107.958722271917,5
gating,2012-04-10,fold1,val,10458.104182565463,267.6296491243262,5
gating,2012-04-11,fold1,val,10522.862046853956,225.31501485150957,5
gating,2012-04-12,fold1,val,10658.136286293304,223.30884013640758,5
gating,2012-04-13,fold1,val,10531.42787307199,220.65405059047643,5
gating,2012-04-16,fold1,val,10524.516760737486,220.50924924453426,5
gating,2012-04-17,fold1,val,10680.406988400728,223.77545498566954,5
gating,2012-04-18,fold1,val,10644.314061624294,223.0192374445286,5
gating,2012-04-19,fold1,val,10575.968105514656,221.58725573807445,5
gating,2012-04-20,fold1,val,10582.176236977035,212.32885935325956,5
gating,2012-04-23,fold1,val,10488.942568400362,207.15856354919046,5
gating,2012-04-24,fold1,val,10518.859710319532,216.23803566096646,5
gating,2012-04-25,fold1,val,10660.780706947176,221.19692089720027,5
gating,2012-04-26,fold1,val,10717.46518161847,184.28095694740796,5
gating,2012-04-27,fold1,val,10727.262065105202,186.05821432148093,5
gating,2012-04-30,fold1,val,10691.39888370841,200.59681608229897,5
gating,2012-05-01,fold1,val,10728.255067433729,139.9989213361614,5
gating,2012-05-02,fold1,val,10709.315557315484,166.44048247501755,5
gating,2012-05-03,fold1,val,10675.124854930069,223.0857192290632,5
gating,2012-05-04,fold1,val,10572.117315730511,380.18617339874015,5
gating,2012-05-07,fold1,val,10575.942373806134,371.7949336739672,5
gating,2012-05-08,fold1,val,10531.276299274317,365.318315349971,5
gating,2012-05-09,fold1,val,10468.806083963847,363.1512927433806,5
gating,2012-05-10,fold1,val,10490.400697236153,363.90038596979394,5
gating,2012-05-11,fold1,val,10458.77959322379,362.8034848802191,5
gating,2012-05-14,fold1,val,10343.093660628652,358.7904679576404,5
gating,2012-05-15,fold1,val,10283.707885720729,356.7304411737452,5
gating,2012-05-16,fold1,val,10244.375092292921,355.3660301161738,5
gating,2012-05-17,fold1,val,10092.440806672521,350.09559795871905,5
gating,2012-05-18,fold1,val,10006.062353583295,347.0992250530654,5
gating,2012-05-21,fold1,val,10178.04844386565,353.06523211432886,5
gating,2012-05-22,fold1,val,10195.786624021152,353.68054994548396,5
gating,2012-05-23,fold1,val,10201.18586574831,353.8678436633468,5
gating,2012-05-24,fold1,val,10221.23767041026,354.56341856715375,5
gating,2012-05-25,fold1,val,10188.074934605705,353.41303997749077,5
gating,2012-05-29,fold1,val,10311.472556616289,357.69356686806356,5
gating,2012-05-30,fold1,val,10161.85189550234,352.5033917832578,5
gating,2012-05-31,fold1,val,10139.486466333936,351.7275598068001,5
gating,2012-06-01,fold1,val,9884.206363364905,342.8721756625783,5
gating,2012-06-04,fold1,val,9879.579114352007,342.71166151727806,5
gating,2012-06-05,fold1,val,9954.38944490898,345.30674905968084,5
gating,2012-06-06,fold1,val,10178.048443865648,353.0652321143246,5
gating,2012-06-07,fold1,val,10184.2185014889,353.2792645822325,5
gating,2012-06-08,fold1,val,10265.198889669131,356.0883845925416,5
gating,2012-06-11,fold1,val,10134.859217321036,351.5670456614994,5
gating,2012-06-12,fold1,val,10251.315965812271,355.6068013341224,5
gating,2012-06-13,fold1,val,10185.761310099255,353.3327829048386,5
gating,2012-06-14,fold1,val,10293.734376460787,357.0782490369061,5
gating,2012-06-15,fold1,val,10345.407285135101,358.8707250302878,5
gating,2012-06-18,fold1,val,10359.003976934093,345.1951827275598,5
gating,2012-06-19,fold1,val,10456.986946486093,343.6019110276383,5
gating,2012-06-20,fold1,val,10441.408996466922,346.1057671800235,5
gating,2012-06-21,fold1,val,10204.95556734737,333.5279403944137,5
gating,2012-06-22,fold1,val,10283.550388300908,336.09665013403963,5
gating,2012-06-25,fold1,val,10151.377574314554,403.59157154747555,5
gating,2012-06-26,fold1,val,10200.211253622512,400.7495081658355,5
gating,2012-06-27,fold1,val,10292.18183013116,404.3628807112798,5
gating,2012-06-28,fold1,val,10266.895413662327,412.3091130774729,5
gating,2012-06-29,fold1,val,10520.559681837572,417.5594983548604,5
