variant,fold,split,train_rows_mean,train_rows_std,train_rows_min,train_rows_max,eval_rows_mean,eval_rows_std,eval_rows_min,eval_rows_max,account_points_mean,account_points_std,account_points_min,account_points_max,total_return_mean,total_return_std,total_return_min,total_return_max,annualized_return_mean,annualized_return_std,annualized_return_min,annualized_return_max,annualized_volatility_mean,annualized_volatility_std,annualized_volatility_min,annualized_volatility_max,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_min,sharpe_ratio_max,sortino_ratio_mean,sortino_ratio_std,sortino_ratio_min,sortino_ratio_max,calmar_ratio_mean,calmar_ratio_std,calmar_ratio_min,calmar_ratio_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,turnover_mean,turnover_std,turnover_min,turnover_max,annualized_turnover_mean,annualized_turnover_std,annualized_turnover_min,annualized_turnover_max,average_holding_time_days_mean,average_holding_time_days_std,average_holding_time_days_min,average_holding_time_days_max
gating,fold1,test,1241.0,0.0,1241,1241,233.0,0.0,233,233,233.0,0.0,233,233,0.06246061162526374,0.11101414569832158,-0.0866775488830208,0.190111477350946,0.0684655486500309,0.12105838548437617,-0.0937883057033426,0.2081026019367968,0.10680185489451641,0.004261744559567659,0.1008675748890253,0.1121267940947429,0.6426064291284208,1.1096015139478057,-0.8364486513731502,1.9052391817953016,0.8876648983063872,1.676656708003468,-1.4275176702069865,2.731862393580383,1.2190633484328912,1.7207361807658517,-0.8420373282788464,3.4409999490116183,-0.08474848919077166,0.027438885761439387,-0.1176956965522281,-0.0604773626912059,42.995518230695254,27.434956896488334,9.213524526176377,79.43854637100503,46.70202842299658,29.80003938756492,10.007793881881236,86.2866969202296,16.974285714285717,16.812352187685292,4.825,45.6
gating,fold1,val,1241.0,0.0,1241,1241,231.0,0.0,231,231,231.0,0.0,231,231,0.1157857312582542,0.08254743012850638,0.0563922746871761,0.2597928854251963,0.12779247342579617,0.09176236980568475,0.0619501982866406,0.2879321465653137,0.12820835109501041,0.003417143569246868,0.1223420630366113,0.130459080290118,1.0128259332502405,0.7663875798527593,0.4765902916797814,2.353500827259623,1.5860994208477879,1.198270044441859,0.7365687289135773,3.67717196418481,1.5694320721235706,1.5229881341474927,0.5981215967778111,4.264821992088025,-0.0923393624959374,0.014178635233506424,-0.1035745885458366,-0.067513285923651,18.346880959500915,22.745455569453554,0.946958226326442,57.5426754256757,20.101800007801,24.921107841314324,1.037536839279406,63.04675742291423,75.02643678160919,90.26957100008893,6.965517241379311,230.0
gating,fold2,test,1240.0,0.0,1240,1240,233.0,0.0,233,233,233.0,0.0,233,233,0.0998711080860453,0.059942018426499405,0.0120698014688833,0.1753939250345577,0.10905815741476017,0.06559744659514799,0.013117097298928,0.1918833102380763,0.09406456124634874,0.008893045766118152,0.0825397004803804,0.105800483230842,1.16692760700095,0.6982116901283205,0.1418925864290983,1.9311683620455533,1.721958200452639,1.0167190769656955,0.2385464162068611,2.71221790260146,1.9365453801196932,1.2964515042395137,0.1467462674194885,3.667157220265527,-0.06354281437208918,0.015116174126044076,-0.0893862415009955,-0.0523248114854979,67.26584557815045,24.889196929820955,44.948250841545104,98.5473520271829,73.0646253693703,27.03481735480552,48.82310005202313,107.0428134088366,6.06464320220842,2.4856505019313864,3.2222222222222223,8.869565217391305
gating,fold2,val,1240.0,0.0,1240,1240,233.0,0.0,233,233,233.0,0.0,233,233,0.03528655309664168,0.09614753243115004,-0.0722753271537183,0.136670259477363,0.03872073726982646,0.10479544028696823,-0.0782558093292093,0.1492925045426845,0.1000041611416155,0.0033618839941600767,0.0947018660065306,0.1039611492017187,0.38848470443424743,1.0418167070691542,-0.7527409030210648,1.4963287363402962,0.5596898708425087,1.6185277602671693,-1.3081193565028764,2.248077801653116,0.8925619574304164,1.686707555696373,-0.6744872598822121,2.8331497049408063,-0.07202134046966677,0.026705722327449524,-0.1160226648949239,-0.0526948873482856,66.89500351680621,19.218059157873302,41.24395192475575,89.40177483562685,72.66181416480677,20.874788395621003,44.79946502171745,97.10882439042228,6.071708700606935,2.0926595119348117,4.133333333333334,9.285714285714286
gating,fold3,test,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.054274892390224316,0.04005161946072804,0.0211387728169403,0.0996126058613138,0.059146483610648205,0.04372778061700758,0.0229818685377902,0.1086510108567069,0.15253629526710585,0.0027075982161454647,0.1483557244042422,0.1544223971610463,0.3917020652037694,0.2951276020791692,0.1488247104066296,0.7323681731393981,0.5311181244859201,0.4011161148073217,0.202963885773078,1.018858089567782,0.45269239975794306,0.3255509692722539,0.1870617511258966,0.9062629139831578,-0.1281509183901866,0.013557537166568333,-0.1522941612222217,-0.1198890621918642,7.344914610327324,6.925433431135389,0.9669736957025212,15.053087327727042,7.978096904321058,7.522453554509129,1.0503334970561868,16.350767269772476,102.925,84.56661575349932,25.25,232.0
gating,fold3,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.16303238919937318,0.05879109097188141,0.0942082630291312,0.2458094260323262,0.17838625441645045,0.06473594938141017,0.1027337809401829,0.269638840510197,0.10711750364139887,0.0046247781937255985,0.0989133451000925,0.1096175444329932,1.6852081029255164,0.6860618086550845,0.937201991447471,2.726010734318446,2.4882830111325407,1.1433067320496868,1.291760947369537,3.954437274204084,2.857399932783495,1.3256466028357716,1.3333587365083326,4.588269346431479,-0.0653198971762144,0.008427337846955225,-0.0770488677407341,-0.0557247820560765,20.017872685856403,7.340077209300651,13.205485240028112,31.431041265213512,21.743551365671614,7.972842485964502,14.343889140030536,34.14061378807675,22.82936507936508,8.17909066899895,12.625,32.285714285714285
gating,fold4,test,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.13807245740229682,0.02664065216805492,0.0908485914850663,0.1531447240834189,0.1508564172841693,0.029223297679823172,0.0990565362363951,0.1673971483091825,0.11805869210257063,0.0004378526738941399,0.1174041569900458,0.1184583750145229,1.2777180113486568,0.24681771884574683,0.8390971925436205,1.4131305472378777,1.7128215725276585,0.3286474558827971,1.1296828793411755,1.8968529437049149,2.535642162277541,0.49881780736263587,1.6473495861528509,2.787265675371814,-0.059556590806690825,0.0016378574103772404,-0.0607270653929905,-0.0566633288540601,10.761488865632298,12.3997563575538,0.9191553270912796,29.214010461088403,11.689203423014394,13.468700871136024,0.9983928552888036,31.73245963876844,115.95111111111112,108.49210974325833,14.533333333333331,232.0
gating,fold4,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.0208052581870511,0.0021645010623885987,0.0173128282138288,0.0232971442706058,0.02261912617192514,0.002355129604974308,0.0188192733334304,0.0253307519128247,0.1543052414590131,0.0002483290522162506,0.1538614329781849,0.1544223971610463,0.14656982058171944,0.015079883040823423,0.1223131292173701,0.1640618424713383,0.19960367006034044,0.020839679868098617,0.1658189021954369,0.2233077907870313,0.1828813312681137,0.02167846777186586,0.1470408305539377,0.206180572408941,-0.12388304190211523,0.002294024749745264,-0.1279867181281131,-0.1228571228456156,2.6110233981036033,2.682702414251172,0.9669736957025212,7.140568728573428,2.8361116220780516,2.9139698637555838,1.0503334970561868,7.756134998278035,173.75,82.37794000823278,57.25,232.0
gating,fold5,test,1239.0,0.0,1239,1239,232.0,0.0,232,232,232.0,0.0,232,232,-0.03477186657057528,0.06438589852844905,-0.1346749670265326,0.0248988190824761,-0.037700060342179154,0.06986605985746436,-0.145979507362867,0.027192860241737,0.061744773807180665,0.004716558408499953,0.0543246951769989,0.067386266168891,-0.6827149792623954,1.2509500640608702,-2.687166617083472,0.403537126891454,-0.9531181032817813,1.684074152558082,-3.567042892531324,0.540369836655275,-0.290471469322834,0.6659766853872365,-1.0488646978065788,0.5002556951912468,-0.0748740646265194,0.03746520003788107,-0.1391785877321872,-0.0482717294402338,59.20323748436439,45.5358799226754,29.409541036845983,139.36471352820058,64.58534998294297,49.675505370191345,32.08313567655925,152.03423293985517,8.774621848739496,4.26185268633653,2.3142857142857145,13.6
gating,fold5,val,1239.0,0.0,1239,1239,233.0,0.0,233,233,233.0,0.0,233,233,0.03903410878558822,0.04980446916899308,-0.0160682296017692,0.1117950561311575,0.04255893386005198,0.05431271037111019,-0.0174412740140429,0.1219987895313243,0.11183721587336133,0.005383533576631222,0.102633394215462,0.1161585495113811,0.3798974975477751,0.4710845897430153,-0.1516104696795648,1.0502781762040767,0.5465637836777599,0.6545200645552347,-0.1981375934048195,1.4523637132029557,0.706745905707601,0.929676271456803,-0.2561109309229454,2.140714285328013,-0.06276530536767548,0.005308453837554086,-0.0681004670561694,-0.0569897582164408,48.79698046141129,23.65185017421657,23.141098407891967,87.35535294781691,53.00361670808468,25.690802775442144,25.136020684434374,94.88598682262872,9.959290043290043,5.004949757276512,4.204545454545454,17.916666666666668
