variant,strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
no_sentiment,transformer_tdqn_stitched,0.09496813521518233,0.013373214428237246,0.15433100437714714,0.08665280500317608,0.09984592226414862,0.033592116054258776,-0.39810574620058214,228.0328139750237,33.39004597426263,19.723684210526315
gating,transformer_tdqn_stitched,0.061030597452683244,0.008712139469585711,0.1473533029739438,0.05912415462533786,0.06899308525572893,0.022184773471331555,-0.392708065324356,288.5614748198915,42.253045702854536,12.767857142857142
no_gating,transformer_tdqn_stitched,-0.025132180136461235,-0.003720113377871148,0.12948328356162375,-0.028730452885840432,-0.03608045170044655,-0.011434344198943276,-0.3253455828463646,365.9207950922638,53.58049992054066,8.528662420382165
