variant,fold,num_samples,dir_mae,reg_mae,ret_mae_std
gating,fold1,232,0.5775862068965517,0.3232758620689655,0.33587773374193963
gating,fold2,232,0.5818965517241379,0.1939655172413793,0.31523339369250003
gating,fold3,232,0.8405172413793104,0.14224137931034483,0.5859566307048018
gating,fold4,232,0.7413793103448276,0.3706896551724138,0.5303590281095258
gating,fold5,231,0.5627705627705628,0.0735930735930736,0.3362815823427706
gating,fold6,231,0.8744588744588745,0.1645021645021645,0.9803768378142858
gating,fold7,232,0.7543103448275862,0.39655172413793105,0.7480529928379309
gating,fold8,92,1.0108695652173914,0.15217391304347827,2.7046248858706523
no_gating,fold1,232,0.5862068965517241,0.1810344827586207,0.3370036386890086
no_gating,fold2,232,0.5474137931034483,0.21982758620689655,0.3076056781762931
no_gating,fold3,232,0.7241379310344828,0.1724137931034483,0.5800015404046982
no_gating,fold4,232,0.7068965517241379,0.5603448275862069,0.528010458065388
no_gating,fold5,231,0.4329004329004329,0.12121212121212122,0.36897906884285714
no_gating,fold6,231,0.8484848484848485,0.1471861471861472,0.9597848504513854
no_gating,fold7,232,0.7844827586206896,0.3146551724137931,0.713989166699569
no_gating,fold8,92,1.0978260869565217,0.07608695652173914,2.7414304739304347
no_sentiment,fold1,232,0.5646551724137931,0.375,0.33664551627142236
no_sentiment,fold2,232,0.5991379310344828,0.24568965517241378,0.31818832316508616
no_sentiment,fold3,232,0.8275862068965517,0.12931034482758622,0.5853530855675
no_sentiment,fold4,232,0.7456896551724138,0.40948275862068967,0.5292234926067672
no_sentiment,fold5,231,0.5757575757575758,0.09956709956709957,0.38044596075194803
no_sentiment,fold6,231,0.8744588744588745,0.16017316017316016,0.9841968725580088
no_sentiment,fold7,232,0.7456896551724138,0.3922413793103448,0.748478809174138
no_sentiment,fold8,92,1.0217391304347827,0.09782608695652174,2.705283200957609
